model,generative_type,rank,french,italian,spanish,parameters,vocabulary_size,context,commercial,merge,allocine,eltec,scala_fr,fquad,orange_sum,mmlu_fr,hellaswag_fr,sentipolc16,multinerd_it,scala_it,squad_it,ilpost_sum,mmlu_it,hellaswag_it,sentiment_headlines_es,conll_es,scala_es,mlqa_es,mlsum_es,mmlu_es,hellaswag_es,allocine_version,eltec_version,scala_fr_version,fquad_version,orange_sum_version,mmlu_fr_version,hellaswag_fr_version,sentipolc16_version,multinerd_it_version,scala_it_version,squad_it_version,ilpost_sum_version,mmlu_it_version,hellaswag_it_version,sentiment_headlines_es_version,conll_es_version,scala_es_version,mlqa_es_version,mlsum_es_version,mmlu_es_version,hellaswag_es_version
<a href='https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct (few-shot)</a>,📝,1.53@@1.53,1.51@@1.51,1.64@@1.64,1.43@@1.43,70553706496.0,128256.0,131072.0,✓,✗,94.71 ± 0.51 / 97.35 ± 0.26@@94.70722374699048,68.16 ± 1.97 / 62.15 ± 2.31@@68.16048649437094,40.63 ± 1.70 / 63.78 ± 1.64@@40.62918065084098,65.10 ± 0.97 / 33.68 ± 0.94@@65.09773817604189,67.24 ± 0.14 / 19.76 ± 0.35@@67.23563273379114,70.68 ± 0.70 / 77.99 ± 0.54@@70.68053886233162,75.70 ± 1.20 / 81.62 ± 0.93@@75.69662198397621,49.78 ± 0.61 / 49.73 ± 0.31@@49.78099709246962,83.25 ± 1.02 / 57.76 ± 2.17@@83.25423942274546,22.47 ± 2.13 / 55.30 ± 1.53@@22.474688834927523,66.82 ± 1.04 / 36.83 ± 1.77@@66.81971648779822,67.20 ± 0.36 / 21.94 ± 0.96@@67.20462882396532,71.76 ± 0.78 / 78.83 ± 0.58@@71.75597417563702,76.56 ± 0.94 / 82.22 ± 0.75@@76.56401443129339,53.31 ± 1.30 / 67.48 ± 1.13@@53.313391189189396,76.14 ± 0.94 / 69.80 ± 1.27@@76.1411139612955,30.04 ± 0.98 / 58.32 ± 0.79@@30.037894521432285,55.86 ± 1.09 / 26.33 ± 1.17@@55.86324744781551,63.52 ± 0.08 / 13.83 ± 0.27@@63.52404069912154,70.24 ± 1.04 / 77.70 ± 0.78@@70.2367311504536,79.32 ± 0.93 / 84.45 ± 0.69@@79.31770272089835,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/google/gemma-3-27b-it'>google/gemma-3-27b-it (few-shot)</a>,📝,1.55@@1.55,1.57@@1.57,1.63@@1.63,1.45@@1.45,27432406640.0,262144.0,,✓,✗,95.00 ± 0.43 / 97.50 ± 0.22@@95.00464563929289,62.81 ± 1.89 / 58.35 ± 2.41@@62.8056551043548,44.39 ± 2.70 / 69.69 ± 1.90@@44.394849362399555,68.46 ± 0.79 / 35.92 ± 1.19@@68.45535204874268,66.26 ± 0.10 / 16.87 ± 0.24@@66.25960101402598,64.97 ± 0.66 / 73.60 ± 0.52@@64.96745719012272,69.64 ± 1.23 / 77.03 ± 0.92@@69.64014808784232,66.68 ± 1.09 / 77.02 ± 1.10@@66.68174065766064,75.58 ± 1.06 / 54.84 ± 2.26@@75.5801036061839,23.61 ± 3.29 / 57.25 ± 2.94@@23.60998032695973,71.39 ± 0.54 / 50.30 ± 1.27@@71.38507252600328,65.79 ± 0.10 / 17.98 ± 0.28@@65.7871889215312,64.12 ± 1.22 / 73.03 ± 0.92@@64.1217587478194,70.86 ± 1.12 / 78.06 ± 0.86@@70.8627409730742,52.65 ± 1.71 / 67.15 ± 1.50@@52.64842415275872,70.92 ± 1.02 / 61.26 ± 2.19@@70.91529110673261,32.89 ± 3.60 / 64.43 ± 2.48@@32.89085815016941,62.29 ± 0.77 / 34.14 ± 1.73@@62.28898599621486,62.81 ± 0.10 / 12.35 ± 0.31@@62.80817517705145,66.30 ± 0.83 / 74.68 ± 0.63@@66.30044723952432,73.83 ± 1.03 / 80.28 ± 0.78@@73.83393779756516,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0.dev0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://docs.anthropic.com/en/docs/about-claude/models/all-models'>claude-3-5-sonnet-20241022 (zero-shot, val)</a>",📝,1.58@@1.58,1.51@@1.51,1.59@@1.59,1.62@@1.62,,,200000.0,✓,✗,89.83 ± 1.71 / 94.71 ± 0.91@@89.82825055562304,73.35 ± 3.04 / 69.37 ± 3.29@@73.34777277240022,41.76 ± 3.91 / 66.85 ± 1.96@@41.76032575022618,62.19 ± 0.88 / 25.82 ± 1.00@@62.194143379333,66.87 ± 0.14 / 16.69 ± 0.25@@66.87386335106567,72.54 ± 2.33 / 79.57 ± 1.77@@72.54139381204105,70.26 ± 2.11 / 77.66 ± 1.58@@70.26445739621342,70.47 ± 1.65 / 79.35 ± 1.17@@70.46509166526856,70.71 ± 1.90 / 53.69 ± 1.70@@70.70860202655783,25.65 ± 1.73 / 50.14 ± 1.55@@25.64671578825782,67.95 ± 0.73 / 35.48 ± 1.04@@67.9519918640969,64.30 ± 0.18 / 14.23 ± 0.20@@64.2980698379688,78.39 ± 1.53 / 83.79 ± 1.17@@78.38822566044051,69.02 ± 2.23 / 76.72 ± 1.71@@69.02403044000762,39.43 ± 2.19 / 48.45 ± 1.55@@39.42721660347991,68.62 ± 0.96 / 66.07 ± 1.20@@68.62009142975232,28.34 ± 3.73 / 56.72 ± 2.21@@28.343115422142983,56.11 ± 0.94 / 20.02 ± 1.05@@56.10691422570725,62.31 ± 0.14 / 11.49 ± 0.21@@62.30869464576244,74.59 ± 1.23 / 80.82 ± 0.95@@74.58871315159541,76.47 ± 1.70 / 82.30 ± 1.33@@76.46674844527193,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.4.0@@140400,14.4.0@@140400,15.3.1@@150301,15.3.1.dev0@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.4.1@@150401,15.6.1.dev0@@150601,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402
"<a href='https://platform.openai.com/docs/models/gpt-4o'>gpt-4o-2024-05-13 (zero-shot, val)</a>",📝,1.59@@1.59,1.49@@1.49,1.78@@1.78,1.49@@1.49,,200019.0,128000.0,✓,✗,93.73 ± 1.52 / 96.80 ± 0.78@@93.72906818377155,67.03 ± 2.75 / 51.31 ± 3.47@@67.03442480301506,45.51 ± 2.97 / 68.41 ± 1.52@@45.50621073397135,67.96 ± 0.79 / 34.76 ± 1.21@@67.95571208193444,66.69 ± 0.14 / 15.90 ± 0.29@@66.69429493835196,68.78 ± 2.11 / 76.88 ± 1.52@@68.77657601414062,70.77 ± 1.58 / 77.54 ± 1.18@@70.77149009754268,46.19 ± 2.23 / 47.58 ± 1.12@@46.18920151351958,66.14 ± 1.43 / 35.52 ± 1.37@@66.14237025496327,24.47 ± 2.48 / 50.58 ± 1.47@@24.465987419810453,74.30 ± 0.85 / 51.46 ± 1.11@@74.29739579268372,65.02 ± 0.18 / 14.99 ± 0.21@@65.01545558450744,75.98 ± 1.61 / 81.99 ± 1.23@@75.98251688470096,71.59 ± 1.51 / 78.36 ± 1.19@@71.59303247506872,40.21 ± 1.99 / 52.87 ± 1.59@@40.212192327924996,68.93 ± 1.72 / 60.45 ± 2.04@@68.93134327319872,31.47 ± 4.18 / 61.50 ± 2.42@@31.473554525731,65.63 ± 1.09 / 31.04 ± 1.42@@65.63336735705424,62.72 ± 0.15 / 11.44 ± 0.18@@62.72060772986151,77.36 ± 1.59 / 82.89 ± 1.20@@77.36162025427721,75.77 ± 1.51 / 81.68 ± 1.12@@75.76814813838982,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.4.0@@140400,14.4.0@@140400,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.59@@1.59,1.55@@1.55,1.72@@1.72,1.50@@1.50,,,1047576.0,✓,✗,96.02 ± 0.82 / 97.99 ± 0.42@@96.01845533561523,59.17 ± 1.88 / 41.18 ± 1.72@@59.16624271754423,42.95 ± 2.63 / 67.37 ± 1.33@@42.95353784209356,64.37 ± 0.75 / 26.93 ± 0.82@@64.36979613623457,66.73 ± 0.14 / 16.23 ± 0.24@@66.73413207288831,72.99 ± 1.60 / 79.80 ± 1.21@@72.98647459824588,72.80 ± 1.73 / 79.30 ± 1.28@@72.80143038844929,53.49 ± 1.35 / 56.32 ± 1.10@@53.492491195977244,65.26 ± 2.07 / 36.83 ± 1.60@@65.2577234568842,24.77 ± 2.76 / 50.73 ± 1.49@@24.767389143668915,68.37 ± 1.09 / 40.38 ± 1.47@@68.36815404547694,65.13 ± 0.20 / 15.97 ± 0.28@@65.12896895874292,79.50 ± 1.68 / 84.65 ± 1.27@@79.50306807794118,74.50 ± 2.05 / 80.62 ± 1.61@@74.50435406392258,40.41 ± 2.49 / 54.35 ± 1.92@@40.40924529752729,68.69 ± 1.81 / 54.51 ± 2.22@@68.68563664970517,31.72 ± 3.87 / 61.77 ± 2.32@@31.72331912555605,59.74 ± 0.83 / 21.99 ± 0.93@@59.73705248658471,62.75 ± 0.14 / 11.22 ± 0.17@@62.749715003883466,78.33 ± 1.52 / 83.59 ± 1.16@@78.3319685414859,76.33 ± 1.86 / 82.19 ± 1.38@@76.33289122377448,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://platform.openai.com/docs/models/o4-mini'>o4-mini-2025-04-16 (zero-shot, val)</a>",🤔,1.59@@1.59,1.58@@1.58,1.63@@1.63,1.57@@1.57,,,200000.0,✓,✗,96.01 ± 1.00 / 97.99 ± 0.50@@96.00751483703499,67.91 ± 3.44 / 58.41 ± 3.41@@67.91356063112259,35.38 ± 3.57 / 56.23 ± 2.66@@35.37929829964286,65.28 ± 1.06 / 34.50 ± 1.56@@65.28136353453598,65.74 ± 0.09 / 14.97 ± 0.12@@65.74184813769534,82.76 ± 1.81 / 87.30 ± 1.32@@82.76437921030515,62.63 ± 2.30 / 71.02 ± 1.81@@62.62530798745409,70.34 ± 1.74 / 79.44 ± 1.17@@70.34468396326788,70.58 ± 2.08 / 45.39 ± 1.31@@70.5808270577168,25.40 ± 2.33 / 48.71 ± 1.91@@25.403177820331646,69.93 ± 0.84 / 45.99 ± 1.21@@69.93138641832734,64.01 ± 0.18 / 14.29 ± 0.25@@64.01225142879412,85.31 ± 1.98 / 88.98 ± 1.51@@85.31480541436724,57.45 ± 2.89 / 67.58 ± 2.30@@57.44977597950742,40.73 ± 1.99 / 54.06 ± 1.48@@40.72608096526468,68.41 ± 1.48 / 46.23 ± 1.78@@68.4064487613614,32.44 ± 3.13 / 57.43 ± 2.09@@32.44156954368044,60.53 ± 1.00 / 27.40 ± 1.26@@60.52581636272911,61.79 ± 0.14 / 9.88 ± 0.17@@61.7891219293233,81.43 ± 1.11 / 86.05 ± 0.84@@81.43396566663046,63.04 ± 1.85 / 72.23 ± 1.43@@63.03771067883861,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.7.1.dev0@@150701,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://huggingface.co/CohereForAI/aya-expanse-32b'>CohereForAI/aya-expanse-32b (few-shot)</a>,📝,1.59@@1.59,1.66@@1.66,1.56@@1.56,1.55@@1.55,32296476672.0,256000.0,8192.0,✗,✗,93.26 ± 0.88 / 96.56 ± 0.47@@93.26215261798009,60.13 ± 1.98 / 51.40 ± 2.89@@60.12564785983041,38.15 ± 2.70 / 68.03 ± 1.09@@38.15273231497321,68.53 ± 1.03 / 38.44 ± 0.79@@68.52838398392299,67.24 ± 0.14 / 19.66 ± 0.29@@67.23712540260749,58.81 ± 0.78 / 69.01 ± 0.60@@58.81075515073666,73.97 ± 0.94 / 80.30 ± 0.74@@73.96875761683773,65.35 ± 1.98 / 75.62 ± 2.01@@65.35017159764848,73.34 ± 1.46 / 52.63 ± 2.04@@73.33727563710387,29.71 ± 1.88 / 64.06 ± 1.36@@29.70690434871549,72.10 ± 0.68 / 50.43 ± 1.79@@72.10382788044367,65.66 ± 0.12 / 17.66 ± 0.33@@65.66327530730632,60.17 ± 1.05 / 70.08 ± 0.78@@60.169396026831954,74.80 ± 0.86 / 81.04 ± 0.65@@74.79842552326674,48.75 ± 1.90 / 65.43 ± 1.41@@48.753732528895846,67.72 ± 0.99 / 58.57 ± 1.36@@67.71697065711393,27.76 ± 2.91 / 62.92 ± 2.09@@27.76384165676806,66.52 ± 0.46 / 38.66 ± 1.01@@66.52080856333347,63.33 ± 0.08 / 14.56 ± 0.46@@63.33045982537442,58.86 ± 0.83 / 69.00 ± 0.62@@58.86079838334615,78.25 ± 0.66 / 83.65 ± 0.49@@78.24642690563113,15.4.1@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401
"<a href='https://platform.openai.com/docs/models/gpt-4o-mini'>gpt-4o-mini-2024-07-18 (few-shot, val)</a>",📝,1.62@@1.62,1.65@@1.65,1.74@@1.74,1.46@@1.46,,200019.0,128000.0,✓,✗,92.88 ± 1.37 / 96.36 ± 0.71@@92.88383512012162,58.85 ± 2.72 / 52.10 ± 2.72@@58.85070940888032,41.60 ± 3.34 / 62.05 ± 2.32@@41.6033776395203,71.95 ± 1.63 / 38.21 ± 1.77@@71.9491786470527,66.98 ± 0.14 / 16.53 ± 0.29@@66.98082837741822,58.35 ± 3.16 / 68.52 ± 2.42@@58.35188984275735,65.77 ± 2.42 / 73.87 ± 1.85@@65.76525056928507,52.64 ± 3.65 / 58.71 ± 5.80@@52.63813494258491,72.68 ± 1.81 / 48.23 ± 2.52@@72.68375593904308,26.54 ± 2.71 / 50.68 ± 1.85@@26.538050021763055,75.69 ± 1.46 / 50.01 ± 2.13@@75.68508235735186,65.53 ± 0.24 / 16.48 ± 0.38@@65.53438734961674,62.10 ± 2.96 / 71.64 ± 2.22@@62.09911346224324,63.21 ± 2.42 / 71.84 ± 1.96@@63.21337855554242,51.12 ± 2.57 / 64.50 ± 2.17@@51.122460641898826,72.49 ± 1.94 / 58.91 ± 3.38@@72.49352698143754,29.24 ± 3.10 / 57.10 ± 1.90@@29.240424338256254,66.40 ± 1.42 / 33.13 ± 2.25@@66.3988695435224,62.94 ± 0.18 / 11.65 ± 0.24@@62.94271455495618,66.24 ± 2.22 / 74.41 ± 1.66@@66.2447767210282,73.40 ± 2.17 / 79.73 ± 1.64@@73.39959564628928,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.6.1.dev0@@150601,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402
<a href='https://huggingface.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt (few-shot)</a>,🧠,1.63@@1.63,1.69@@1.69,1.69@@1.69,1.51@@1.51,27432406640.0,262144.0,,✓,✗,93.42 ± 0.43 / 96.66 ± 0.23@@93.42415695606059,51.12 ± 4.79 / 49.83 ± 4.74@@51.12150218704974,38.53 ± 2.10 / 63.96 ± 2.16@@38.53107738975075,76.08 ± 1.83 / 46.65 ± 1.52@@76.07720082754913,67.91 ± 0.73 / 24.34 ± 1.09@@67.90708468586672,65.84 ± 1.00 / 74.37 ± 0.75@@65.83784387202682,61.86 ± 2.25 / 70.92 ± 1.80@@61.864698345363664,59.39 ± 3.20 / 70.94 ± 3.23@@59.39059532806586,65.20 ± 3.17 / 55.94 ± 2.90@@65.20227035789267,25.79 ± 4.63 / 59.34 ± 3.09@@25.79046826731131,72.87 ± 5.07 / 54.31 ± 4.25@@72.87021829999895,68.26 ± 0.46 / 25.98 ± 0.87@@68.25825237348909,64.04 ± 1.16 / 73.01 ± 0.91@@64.04468456093736,56.12 ± 4.43 / 65.80 ± 3.92@@56.12398486317569,45.76 ± 2.22 / 60.83 ± 2.39@@45.763477371487994,60.36 ± 1.70 / 56.98 ± 1.54@@60.36071422849973,40.39 ± 1.73 / 69.58 ± 1.14@@40.38518654355686,66.26 ± 2.64 / 37.82 ± 4.14@@66.25898883777754,63.16 ± 0.49 / 19.54 ± 0.57@@63.160078410146525,66.56 ± 0.58 / 74.94 ± 0.45@@66.55628219084447,59.16 ± 2.93 / 68.53 ± 2.30@@59.163361993454714,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
"<a href='https://docs.x.ai/docs/models'>xai/grok-3-beta (zero-shot, val)</a>",📝,1.63@@1.63,1.58@@1.58,1.76@@1.76,1.54@@1.54,,,131072.0,✓,✗,96.47 ± 1.25 / 98.23 ± 0.63@@96.47349425357905,66.38 ± 3.26 / 55.47 ± 3.30@@66.37580594284607,39.96 ± 3.45 / 67.07 ± 1.70@@39.95526092740086,65.50 ± 0.93 / 30.06 ± 1.24@@65.49873847998774,66.33 ± 0.18 / 15.36 ± 0.27@@66.32503910921514,69.45 ± 2.08 / 76.60 ± 1.65@@69.45083375545607,69.01 ± 2.49 / 76.33 ± 1.95@@69.00696757418771,63.29 ± 2.63 / 73.73 ± 1.86@@63.28644172977535,63.81 ± 0.88 / 41.90 ± 1.16@@63.814881892109554,22.01 ± 3.62 / 50.73 ± 1.80@@22.00795618046926,71.44 ± 1.22 / 40.27 ± 1.85@@71.44156754406909,64.96 ± 0.19 / 15.18 ± 0.23@@64.96293588308617,69.47 ± 1.90 / 76.80 ± 1.50@@69.47440392489679,68.90 ± 2.15 / 76.29 ± 1.69@@68.89825582552814,48.10 ± 2.53 / 63.31 ± 2.07@@48.09949993695341,72.80 ± 1.38 / 63.76 ± 1.78@@72.79707734626732,22.05 ± 5.02 / 58.21 ± 2.76@@22.05217457252365,59.35 ± 0.77 / 24.07 ± 0.80@@59.35228172785596,62.59 ± 0.17 / 10.40 ± 0.21@@62.5920106319245,74.81 ± 1.67 / 80.74 ± 1.26@@74.80933013846993,74.36 ± 1.58 / 80.04 ± 1.25@@74.36419344416159,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/meta-llama/Meta-Llama-3-70B-Instruct'>meta-llama/Meta-Llama-3-70B-Instruct (few-shot)</a>,📝,1.64@@1.64,1.61@@1.61,1.76@@1.76,1.56@@1.56,70553706496.0,128256.0,8192.0,✓,✗,94.07 ± 0.33 / 97.01 ± 0.17@@94.0666795660911,65.43 ± 2.55 / 58.78 ± 2.87@@65.43078651391114,40.16 ± 1.09 / 65.14 ± 1.19@@40.16387721359611,68.57 ± 0.70 / 35.58 ± 0.66@@68.57216024964944,67.14 ± 0.11 / 19.88 ± 0.29@@67.13926104595885,64.69 ± 0.80 / 73.47 ± 0.61@@64.68790941642555,63.35 ± 1.18 / 71.84 ± 0.94@@63.34984643075432,49.11 ± 0.82 / 49.45 ± 0.45@@49.114268271991214,80.71 ± 0.98 / 61.33 ± 1.82@@80.71483154737697,22.28 ± 1.86 / 54.39 ± 1.25@@22.281574886842222,69.48 ± 0.92 / 41.65 ± 2.28@@69.47914782428246,67.01 ± 0.19 / 21.70 ± 0.60@@67.00926076882752,64.26 ± 0.86 / 73.14 ± 0.64@@64.2635228349062,64.33 ± 1.33 / 72.75 ± 1.11@@64.32886460633857,50.45 ± 0.87 / 65.98 ± 0.89@@50.45015354839519,75.20 ± 0.88 / 67.90 ± 0.95@@75.20229989052594,27.24 ± 1.61 / 57.81 ± 0.66@@27.237238748419035,60.16 ± 0.70 / 29.72 ± 1.45@@60.163089295239445,63.74 ± 0.10 / 15.28 ± 0.34@@63.73603761239792,61.17 ± 5.21 / 70.83 ± 3.90@@61.16506774362497,65.83 ± 1.73 / 73.98 ± 1.35@@65.83117459926717,15.6.1.dev0@@150601,15.7.0.dev0@@150700,15.6.1.dev0@@150601,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700
<a href='https://huggingface.co/google/gemma-3-12b-it'>google/gemma-3-12b-it (few-shot)</a>,📝,1.64@@1.64,1.67@@1.67,1.65@@1.65,1.61@@1.61,12187325040.0,262144.0,,✓,✗,93.18 ± 0.52 / 96.58 ± 0.26@@93.18170522018609,65.14 ± 1.48 / 59.29 ± 2.18@@65.13519279731726,39.65 ± 2.12 / 65.71 ± 1.19@@39.654429171900915,67.76 ± 1.21 / 37.42 ± 0.58@@67.76150078161638,66.25 ± 0.08 / 17.16 ± 0.17@@66.24660206609406,56.73 ± 0.69 / 67.39 ± 0.52@@56.72535944716122,64.82 ± 1.90 / 73.44 ± 1.48@@64.8215373010466,66.38 ± 1.11 / 77.08 ± 0.89@@66.38060583295398,75.55 ± 1.42 / 54.23 ± 1.66@@75.55016416786468,25.77 ± 3.06 / 57.00 ± 3.09@@25.769062011287204,70.95 ± 0.76 / 48.52 ± 1.44@@70.95324215135864,65.94 ± 0.09 / 18.39 ± 0.26@@65.9440653429192,56.67 ± 1.07 / 67.45 ± 0.79@@56.66784156663238,66.34 ± 1.04 / 74.68 ± 0.77@@66.34125845409292,47.12 ± 2.19 / 61.63 ± 1.96@@47.118615926852044,68.47 ± 1.54 / 60.01 ± 1.97@@68.46854895814609,33.05 ± 2.27 / 63.45 ± 1.61@@33.05336026078539,62.21 ± 0.48 / 34.65 ± 1.46@@62.20531678483754,62.70 ± 0.15 / 12.25 ± 0.34@@62.702010312787024,56.56 ± 0.81 / 67.32 ± 0.60@@56.560546573414086,65.67 ± 1.05 / 74.13 ± 0.85@@65.67151329996115,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0.dev0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
