model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,sst5,conll_en,scala_en,squad,cnn_dailymail,mmlu,hellaswag,sst5_version,conll_en_version,scala_en_version,squad_version,cnn_dailymail_version,mmlu_version,hellaswag_version
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-1.7B-Instruct'>HuggingFaceTB/SmolLM2-1.7B-Instruct (few-shot)</a>,📝,2.76@@2.76,1711376384.0,49152.0,8192.0,✓,✗,60.57 ± 1.49 / 67.84 ± 0.91@@60.56695192920879,42.67 ± 2.29 / 35.45 ± 1.21@@42.665581581381836,17.75 ± 2.27 / 55.65 ± 3.44@@17.750006162877245,72.26 ± 0.98 / 58.69 ± 1.11@@72.25971457585965,68.77 ± 0.08 / 21.39 ± 0.25@@68.76654047024203,21.91 ± 1.36 / 41.11 ± 1.09@@21.911649707035103,17.50 ± 1.22 / 37.12 ± 1.21@@17.49757855401186,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/microsoft/phi-2'>microsoft/phi-2 (few-shot)</a>,🧠,2.79@@2.79,2779683840.0,51200.0,2048.0,✓,✗,59.17 ± 2.16 / 66.01 ± 1.44@@59.17252988500066,44.65 ± 2.89 / 41.34 ± 2.37@@44.65076252565418,13.02 ± 4.02 / 49.59 ± 4.89@@13.015454249817948,86.24 ± 1.55 / 76.54 ± 2.09@@86.23880680674476,58.47 ± 6.09 / 19.62 ± 1.90@@58.46782834378246,35.41 ± 1.22 / 50.93 ± 0.87@@35.412161457997435,16.10 ± 1.13 / 34.04 ± 1.00@@16.0968131871636,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/ibm-granite/granite-3.0-3b-a800m-base'>ibm-granite/granite-3.0-3b-a800m-base (few-shot)</a>,🧠,2.80@@2.80,3374286336.0,49152.0,4096.0,✓,✗,65.82 ± 1.36 / 66.60 ± 0.79@@65.81740733217683,45.55 ± 4.09 / 38.34 ± 2.43@@45.5494334623347,13.07 ± 2.14 / 53.41 ± 2.66@@13.067416914091034,76.11 ± 2.95 / 64.37 ± 3.87@@76.11024617442794,65.90 ± 0.52 / 21.16 ± 0.86@@65.89797467458993,18.45 ± 1.10 / 38.73 ± 0.84@@18.452765418875476,13.89 ± 0.97 / 33.74 ± 1.00@@13.892829863958358,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/BSC-LT/salamandra-7b'>BSC-LT/salamandra-7b (few-shot)</a>,🧠,2.81@@2.81,7768117248.0,256000.0,8192.0,✓,✗,56.04 ± 3.25 / 64.68 ± 1.59@@56.03847050106287,53.10 ± 6.12 / 49.03 ± 4.84@@53.09895274542381,17.35 ± 3.17 / 54.66 ± 3.62@@17.354843623307268,79.75 ± 1.94 / 69.42 ± 2.65@@79.75385304844514,65.56 ± 2.37 / 19.78 ± 2.41@@65.55612162745092,23.20 ± 0.97 / 41.10 ± 0.92@@23.204360823123782,4.28 ± 1.39 / 26.69 ± 0.76@@4.275763604728529,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/meta-llama/Llama-3.2-1B-Instruct'>meta-llama/Llama-3.2-1B-Instruct (few-shot)</a>,📝,2.81@@2.81,1235814400.0,128256.0,131073.0,✓,✗,59.46 ± 1.16 / 65.61 ± 1.08@@59.4612202979224,56.41 ± 1.79 / 52.05 ± 1.57@@56.40954100345935,8.36 ± 0.71 / 49.50 ± 2.90@@8.356607825305428,67.95 ± 2.10 / 47.26 ± 3.09@@67.950968018329,66.61 ± 0.54 / 21.06 ± 1.04@@66.60822887468385,25.59 ± 0.93 / 43.75 ± 0.65@@25.588850907127377,18.56 ± 1.15 / 38.13 ± 0.88@@18.559387830889296,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
<a href='https://huggingface.co/occiglot/occiglot-7b-eu5-instruct'>occiglot/occiglot-7b-eu5-instruct (few-shot)</a>,📝,2.82@@2.82,7241748480.0,32002.0,4096.0,✗,✗,61.40 ± 2.17 / 69.69 ± 1.49@@61.402386160138,58.58 ± 3.03 / 50.61 ± 1.74@@58.57836323223633,23.07 ± 2.08 / 60.88 ± 1.03@@23.067667473695398,38.12 ± 2.17 / 0.05 ± 0.04@@38.117882467475866,69.13 ± 0.08 / 24.28 ± 0.47@@69.13475162466057,26.31 ± 1.40 / 43.83 ± 1.09@@26.31398773155633,10.98 ± 1.08 / 31.23 ± 1.22@@10.97772947294096,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/MaLA-LM/emma-500-llama2-7b'>MaLA-LM/emma-500-llama2-7b (few-shot)</a>,🧠,2.83@@2.83,6738415616.0,32000.0,4096.0,✓,✗,62.76 ± 1.78 / 66.66 ± 1.73@@62.75703739996816,41.74 ± 4.37 / 38.93 ± 3.85@@41.744639569647276,8.23 ± 2.10 / 46.83 ± 3.62@@8.22672383445953,83.69 ± 0.84 / 74.57 ± 1.12@@83.69063836169641,67.34 ± 0.38 / 21.61 ± 0.61@@67.34498838719446,16.59 ± 1.01 / 35.35 ± 0.70@@16.590416410100815,11.97 ± 1.35 / 32.72 ± 0.94@@11.971000338421504,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
<a href='https://huggingface.co/google/gemma-2-2b'>google/gemma-2-2b (few-shot)</a>,🧠,2.85@@2.85,2614341888.0,256000.0,8192.0,✓,✗,63.14 ± 1.80 / 65.91 ± 0.99@@63.13633250384727,23.71 ± 4.63 / 21.95 ± 3.56@@23.714074653201685,13.69 ± 3.09 / 53.22 ± 2.17@@13.694519778956703,79.31 ± 1.62 / 67.57 ± 1.78@@79.3074674620686,66.82 ± 0.97 / 21.23 ± 0.91@@66.8216803247924,31.72 ± 0.91 / 47.90 ± 0.74@@31.716646297167806,9.60 ± 1.83 / 29.44 ± 1.62@@9.602286091529438,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.4.1.dev0@@150401,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/LumiOpen/Viking-33B'>LumiOpen/Viking-33B (few-shot)</a>,🧠,2.85@@2.85,33119034368.0,131072.0,4096.0,✓,✗,64.45 ± 1.41 / 61.45 ± 1.55@@64.44833058716571,46.20 ± 5.62 / 43.11 ± 5.57@@46.201970483484224,19.05 ± 1.30 / 56.57 ± 1.95@@19.052173985066588,78.27 ± 1.98 / 68.12 ± 2.27@@78.2678164404654,65.46 ± 0.78 / 18.30 ± 0.39@@65.46480432974931,9.52 ± 1.25 / 30.68 ± 1.08@@9.522411378010444,1.66 ± 1.42 / 26.56 ± 0.88@@1.65668403528457,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://huggingface.co/Qwen/Qwen1.5-1.8B-Chat'>Qwen/Qwen1.5-1.8B-Chat (few-shot)</a>,📝,2.85@@2.85,1836828672.0,151936.0,32768.0,✗,✗,55.33 ± 1.77 / 64.53 ± 0.70@@55.33237524769212,40.89 ± 2.63 / 37.44 ± 2.39@@40.89333233545186,11.23 ± 1.81 / 52.85 ± 2.65@@11.233755772434659,74.24 ± 0.82 / 60.69 ± 1.44@@74.23662032859507,67.23 ± 0.14 / 18.87 ± 0.43@@67.23135487336549,26.84 ± 0.41 / 44.86 ± 0.31@@26.8391990938998,23.89 ± 1.20 / 42.78 ± 0.95@@23.885223706409793,11.0.0@@110000,12.5.2@@120502,12.1.0@@120100,12.5.0@@120500,12.5.0@@120500,12.1.0@@120100,12.1.0@@120100
<a href='https://huggingface.co/tiiuae/Falcon3-1B-Instruct'>tiiuae/Falcon3-1B-Instruct (few-shot)</a>,📝,2.87@@2.87,1669408768.0,131072.0,8192.0,✓,✗,54.47 ± 1.37 / 64.39 ± 0.56@@54.469992225819965,43.00 ± 1.94 / 39.96 ± 1.87@@43.00364561255301,17.44 ± 1.67 / 50.79 ± 2.44@@17.436468869722155,70.06 ± 0.79 / 53.15 ± 1.38@@70.05640697176162,67.33 ± 0.15 / 22.37 ± 0.27@@67.32603477677912,20.49 ± 1.00 / 38.88 ± 0.87@@20.48672603621958,17.50 ± 0.84 / 36.85 ± 0.65@@17.49630897936989,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-20b-instruct'>AI-Sweden-Models/gpt-sw3-20b-instruct (few-shot)</a>,📝,2.89@@2.89,20918423552.0,64000.0,2048.0,✓,✗,65.58 ± 1.59 / 57.86 ± 1.13@@65.58029301561092,39.21 ± 1.52 / 34.08 ± 1.88@@39.20816416723184,7.82 ± 1.43 / 51.19 ± 1.75@@7.8183522919124115,83.08 ± 1.30 / 72.25 ± 2.19@@83.07827040150495,64.07 ± 0.60 / 19.27 ± 0.54@@64.07087367202621,14.98 ± 0.77 / 36.11 ± 0.75@@14.979452332386664,13.55 ± 1.51 / 34.03 ± 1.55@@13.551073754852903,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301
<a href='https://huggingface.co/TrustLLMeu/baseline-7-8b_2-3t-tokens_llama'>TrustLLMeu/baseline-7-8b_2-3t-tokens_llama (few-shot)</a>,🧠,2.90@@2.90,7799574528.0,100096.0,4096.0,✓,✗,64.18 ± 1.29 / 63.37 ± 0.99@@64.18152138387676,49.13 ± 4.99 / 46.42 ± 4.35@@49.126974362082734,8.25 ± 2.90 / 46.19 ± 3.48@@8.248579141438984,79.20 ± 1.69 / 68.55 ± 1.87@@79.19839152190181,67.86 ± 0.51 / 23.06 ± 0.53@@67.86123461679381,8.07 ± 1.07 / 30.00 ± 0.99@@8.070248040300312,1.46 ± 0.70 / 25.49 ± 0.44@@1.4621175447956407,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0.dev0@@150000,15.0.0.dev0@@150000,15.0.0.dev0@@150000
<a href='https://huggingface.co/ibm-granite/granite-3.0-1b-a400m-instruct'>ibm-granite/granite-3.0-1b-a400m-instruct (few-shot)</a>,📝,2.91@@2.91,1334628352.0,49155.0,4096.0,✓,✗,63.47 ± 0.73 / 60.77 ± 1.39@@63.4657865146212,46.26 ± 3.26 / 40.49 ± 2.54@@46.259019265083104,13.17 ± 1.60 / 54.31 ± 1.93@@13.174664409167752,72.97 ± 0.96 / 59.32 ± 1.48@@72.96539974843787,66.43 ± 0.60 / 20.68 ± 0.92@@66.43074953884934,9.68 ± 1.07 / 31.43 ± 0.85@@9.68197567429225,4.99 ± 0.71 / 26.87 ± 0.63@@4.989885311785943,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-1.7B'>HuggingFaceTB/SmolLM2-1.7B (few-shot)</a>,🧠,2.93@@2.93,1711376384.0,49152.0,8192.0,✓,✗,59.85 ± 1.69 / 66.43 ± 1.06@@59.848953701844735,38.53 ± 3.35 / 36.24 ± 3.25@@38.528353281974304,10.67 ± 2.29 / 50.96 ± 4.60@@10.665943946215414,68.22 ± 2.94 / 57.22 ± 3.19@@68.22127467601186,65.48 ± 0.64 / 20.13 ± 0.59@@65.48209825748927,24.09 ± 1.56 / 42.21 ± 1.22@@24.08607024906432,12.36 ± 1.13 / 32.04 ± 1.19@@12.36419137410251,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://ollama.com/library/gemma3:1b'>ollama_chat/gemma3:1b (few-shot)</a>,📝,2.99@@2.99,1000000000.0,262144.0,32768.0,✓,✗,55.34 ± 1.06 / 59.73 ± 0.90@@55.34490075147927,41.61 ± 2.15 / 36.21 ± 1.27@@41.613057125145566,16.97 ± 1.44 / 57.16 ± 1.03@@16.965614340624345,66.70 ± 0.94 / 50.32 ± 1.27@@66.70405246904822,67.05 ± 0.12 / 18.69 ± 0.28@@67.05322770547355,11.50 ± 0.68 / 31.74 ± 0.51@@11.496578370886457,5.74 ± 1.12 / 26.87 ± 0.91@@5.7409410787651645,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://huggingface.co/VAGOsolutions/SauerkrautLM-Gemma-2b'>VAGOsolutions/SauerkrautLM-Gemma-2b (few-shot)</a>,🧠,3.00@@3.00,2506172416.0,256000.0,8192.0,✗,✗,61.91 ± 2.08 / 67.80 ± 1.12@@61.90628247201576,23.28 ± 6.45 / 21.81 ± 5.61@@23.27856132854233,6.92 ± 2.36 / 44.29 ± 3.87@@6.92143627203733,76.60 ± 0.51 / 64.68 ± 1.06@@76.60475943178524,65.15 ± 0.86 / 20.15 ± 0.50@@65.14987161768659,22.65 ± 0.87 / 41.40 ± 0.67@@22.6488149443914,14.54 ± 1.87 / 34.39 ± 1.49@@14.537240444466597,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601
<a href='https://huggingface.co/microsoft/Phi-4-mini-reasoning'>microsoft/Phi-4-mini-reasoning (few-shot)</a>,🤔,3.00@@3.00,3836021760.0,200064.0,131072.0,✓,✗,45.14 ± 2.89 / 57.98 ± 2.38@@45.14168072239528,69.04 ± 0.59 / 59.21 ± 0.61@@69.0401642979684,19.06 ± 3.20 / 56.86 ± 3.76@@19.06063063117977,13.66 ± 0.67 / 0.00 ± 0.00@@13.66493636162591,62.40 ± 0.39 / 12.68 ± 0.42@@62.40439139342925,45.56 ± 5.76 / 56.19 ± 5.22@@45.55723957811975,25.29 ± 3.35 / 40.99 ± 3.18@@25.2906765713509,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://huggingface.co/TrustLLMeu/baseline-7-8b_1t-tokens_llama'>TrustLLMeu/baseline-7-8b_1t-tokens_llama (few-shot)</a>,🧠,3.00@@3.00,7799574528.0,100096.0,4096.0,✓,✗,57.89 ± 2.69 / 64.47 ± 1.33@@57.891019161781756,45.74 ± 3.17 / 43.28 ± 3.05@@45.741396730786406,9.65 ± 1.68 / 51.33 ± 1.92@@9.647916912253281,76.80 ± 1.35 / 66.04 ± 1.37@@76.80452028973794,68.18 ± 0.37 / 21.83 ± 0.52@@68.17529515305068,0.52 ± 0.68 / 23.21 ± 0.49@@0.5168164019657467,1.47 ± 1.00 / 25.21 ± 0.61@@1.4689411819704807,15.0.0.dev0@@150000,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/google/gemma-3-1b-it'>google/gemma-3-1b-it (few-shot)</a>,📝,3.02@@3.02,999885952.0,262144.0,32768.0,✓,✗,54.88 ± 1.55 / 63.14 ± 1.10@@54.87924809866218,48.64 ± 0.91 / 45.26 ± 1.05@@48.63686698178871,16.74 ± 1.61 / 55.17 ± 2.53@@16.73623540793297,66.07 ± 0.95 / 47.00 ± 1.57@@66.07090989240302,66.64 ± 0.12 / 18.12 ± 0.25@@66.64219366793986,5.52 ± 1.37 / 27.44 ± 1.02@@5.524346818345447,3.37 ± 1.45 / 27.20 ± 0.94@@3.3738510369214625,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/google/gemma-7b-it'>google/gemma-7b-it (few-shot)</a>,📝,3.07@@3.07,8537680896.0,256000.0,8192.0,✗,✗,63.09 ± 1.26 / 64.81 ± 1.79@@63.0904995191649,58.81 ± 2.00 / 53.00 ± 1.79@@58.810073021504536,23.04 ± 2.04 / 58.18 ± 3.13@@23.03919838038677,21.78 ± 1.14 / 3.42 ± 1.24@@21.78378441137776,62.39 ± 0.70 / 13.87 ± 0.98@@62.39080467785243,18.76 ± 1.97 / 35.02 ± 2.08@@18.755233844063607,4.67 ± 1.97 / 26.51 ± 1.10@@4.672235374198713,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/LumiOpen/Viking-13B'>LumiOpen/Viking-13B (few-shot)</a>,🧠,3.12@@3.12,14030361600.0,131072.0,4097.0,✓,✗,59.90 ± 4.98 / 54.05 ± 2.70@@59.90013615125419,42.78 ± 4.24 / 40.64 ± 2.84@@42.779438600865795,5.68 ± 1.91 / 50.82 ± 2.18@@5.678383594092685,68.97 ± 1.86 / 58.52 ± 1.88@@68.97323207299786,64.83 ± 0.95 / 18.37 ± 0.46@@64.83435590489535,1.63 ± 0.89 / 23.51 ± 0.83@@1.6314823810992796,0.54 ± 1.01 / 24.93 ± 0.46@@0.5401685334216444,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005
<a href='https://huggingface.co/ibm-granite/granite-3b-code-instruct-2k'>ibm-granite/granite-3b-code-instruct-2k (few-shot)</a>,📝,3.12@@3.12,3482503680.0,49152.0,2048.0,✓,✗,59.87 ± 1.18 / 59.40 ± 0.64@@59.87481640103829,61.06 ± 2.47 / 56.52 ± 1.91@@61.056387528544406,12.15 ± 1.13 / 54.37 ± 1.83@@12.153357605016387,78.94 ± 0.89 / 67.39 ± 1.02@@78.93560921182663,37.73 ± 11.68 / 12.76 ± 3.79@@37.728952176257735,8.96 ± 1.51 / 30.61 ± 1.25@@8.963828083476102,6.17 ± 0.99 / 28.52 ± 0.69@@6.170759270531288,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200
<a href='https://huggingface.co/BSC-LT/salamandra-2b-instruct'>BSC-LT/salamandra-2b-instruct (few-shot)</a>,📝,3.14@@3.14,2253490176.0,256000.0,8192.0,✓,✗,59.30 ± 1.75 / 59.91 ± 1.21@@59.302612886642414,39.39 ± 2.37 / 37.30 ± 2.19@@39.389670534957794,3.45 ± 1.09 / 48.12 ± 3.11@@3.4511388599856687,70.17 ± 1.03 / 53.00 ± 1.78@@70.16628389001946,67.86 ± 0.21 / 23.54 ± 0.28@@67.86252786099794,0.89 ± 0.72 / 25.55 ± 0.71@@0.8901973404176725,0.27 ± 1.18 / 25.21 ± 0.65@@0.2747672876856276,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/NorwAI/NorwAI-Llama2-7B'>NorwAI/NorwAI-Llama2-7B (few-shot)</a>,🧠,3.15@@3.15,7033270272.0,67993.0,4096.0,✓,✗,63.60 ± 2.87 / 58.50 ± 1.25@@63.60406167982754,38.51 ± 3.33 / 38.08 ± 2.64@@38.50906704447816,2.23 ± 1.32 / 34.15 ± 0.60@@2.2323511645010257,59.52 ± 2.98 / 45.44 ± 3.61@@59.51906444690908,67.11 ± 0.90 / 21.77 ± 0.72@@67.11247968385578,5.02 ± 1.22 / 25.76 ± 1.01@@5.01809717082237,2.08 ± 0.75 / 25.95 ± 0.35@@2.076192380341471,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004
<a href='https://huggingface.co/ibm-granite/granite-3b-code-base-2k'>ibm-granite/granite-3b-code-base-2k (few-shot)</a>,🧠,3.15@@3.15,3482503680.0,49152.0,2048.0,✓,✗,60.55 ± 1.09 / 61.93 ± 1.50@@60.546941444657755,58.96 ± 3.00 / 54.75 ± 2.19@@58.95858690804982,6.55 ± 1.34 / 46.33 ± 3.08@@6.55040952862302,80.39 ± 1.26 / 70.81 ± 1.74@@80.39184246143681,38.29 ± 11.32 / 13.20 ± 3.93@@38.289253549228306,11.18 ± 1.09 / 32.70 ± 0.79@@11.178010869252319,6.64 ± 1.04 / 29.17 ± 0.68@@6.636586556252902,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200
<a href='https://huggingface.co/openGPT-X/Teuken-7B-instruct-research-v0.4'>openGPT-X/Teuken-7B-instruct-research-v0.4 (few-shot)</a>,📝,3.15@@3.15,7452725248.0,250680.0,4096.0,✗,✗,27.52 ± 3.38 / 31.81 ± 3.98@@27.520026123785012,50.73 ± 2.64 / 38.64 ± 1.60@@50.72554833843028,2.96 ± 2.64 / 35.23 ± 1.82@@2.9640238762847955,76.38 ± 1.18 / 63.42 ± 1.34@@76.37892306704819,68.74 ± 0.08 / 21.51 ± 0.20@@68.73698563547805,16.65 ± 0.64 / 35.86 ± 0.47@@16.652813827309508,10.69 ± 1.12 / 29.62 ± 0.77@@10.692914462712261,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://huggingface.co/Qwen/Qwen1.5-0.5B'>Qwen/Qwen1.5-0.5B (few-shot)</a>,📝,3.18@@3.18,619570176.0,151936.0,32768.0,✓,✗,57.15 ± 2.35 / 52.82 ± 1.40@@57.151936317539295,37.51 ± 1.56 / 33.24 ± 2.24@@37.50721409370712,2.94 ± 2.00 / 44.53 ± 3.65@@2.943176817761557,55.17 ± 1.29 / 42.57 ± 1.97@@55.170400667783916,65.22 ± 0.29 / 19.22 ± 0.18@@65.21741346339695,18.24 ± 1.14 / 37.15 ± 0.82@@18.239493218038913,10.89 ± 1.01 / 32.65 ± 0.85@@10.8877166497064,10.0.1@@100001,12.5.2@@120502,12.1.0@@120100,12.1.0@@120100,12.1.0@@120100,12.1.0@@120100,12.1.0@@120100
<a href='https://huggingface.co/infly/OpenCoder-8B-Base'>infly/OpenCoder-8B-Base (few-shot)</a>,📝,3.19@@3.19,7771263040.0,96640.0,8192.0,✓,✗,50.61 ± 2.24 / 61.28 ± 1.17@@50.61496827848276,62.36 ± 1.55 / 52.40 ± 1.96@@62.35595447346702,9.67 ± 2.12 / 52.37 ± 3.34@@9.672173273035833,34.18 ± 2.69 / 0.16 ± 0.10@@34.17802804825008,63.18 ± 1.36 / 16.02 ± 0.87@@63.18207171178074,10.85 ± 2.21 / 30.76 ± 1.65@@10.849689722768755,6.10 ± 1.00 / 27.91 ± 0.79@@6.0993664103824745,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/NorwAI/NorwAI-Mistral-7B'>NorwAI/NorwAI-Mistral-7B (few-shot)</a>,🧠,3.21@@3.21,7536586752.0,67993.0,4096.0,✓,✗,56.87 ± 8.16 / 59.62 ± 5.61@@56.87349391700018,35.84 ± 5.12 / 35.76 ± 4.29@@35.84162530756692,3.08 ± 2.98 / 40.66 ± 4.63@@3.0788958716528163,66.64 ± 1.58 / 52.77 ± 1.53@@66.64454513513121,63.96 ± 1.61 / 19.20 ± 1.54@@63.95672193735663,7.42 ± 1.60 / 28.95 ± 1.40@@7.424261445261829,2.24 ± 1.08 / 25.72 ± 0.82@@2.241029577008354,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004
<a href='https://huggingface.co/openGPT-X/Teuken-7B-instruct-commercial-v0.4'>openGPT-X/Teuken-7B-instruct-commercial-v0.4 (few-shot)</a>,📝,3.21@@3.21,7452725248.0,250680.0,4096.0,✓,✗,24.29 ± 3.50 / 26.74 ± 3.81@@24.29214908681366,43.55 ± 3.34 / 36.02 ± 2.39@@43.54543449975745,7.23 ± 2.96 / 48.70 ± 2.93@@7.227904446468749,71.41 ± 1.28 / 56.97 ± 1.53@@71.40755039917516,68.81 ± 0.06 / 22.48 ± 0.20@@68.81097182675148,15.31 ± 1.45 / 35.07 ± 1.13@@15.305383963419219,9.35 ± 1.36 / 29.47 ± 1.09@@9.34918660692511,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://huggingface.co/ibm-granite/granite-3.0-1b-a400m-base'>ibm-granite/granite-3.0-1b-a400m-base (few-shot)</a>,🧠,3.21@@3.21,1384956928.0,49152.0,4096.0,✓,✗,64.13 ± 1.51 / 56.76 ± 0.96@@64.12890493963961,29.84 ± 4.45 / 28.13 ± 3.61@@29.836286367375813,3.99 ± 1.63 / 43.68 ± 3.91@@3.990527860713433,65.95 ± 1.64 / 55.74 ± 1.72@@65.95421655237489,64.55 ± 0.62 / 19.04 ± 0.65@@64.54742450965568,1.42 ± 1.20 / 26.10 ± 0.80@@1.4152738078997793,1.42 ± 0.61 / 25.58 ± 0.70@@1.4202823188130331,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200
<a href='https://huggingface.co/Qwen/Qwen1.5-0.5B-Chat'>Qwen/Qwen1.5-0.5B-Chat (few-shot)</a>,📝,3.22@@3.22,619570176.0,151936.0,32768.0,✗,✗,55.41 ± 2.17 / 54.48 ± 1.65@@55.411499294037995,33.86 ± 2.16 / 32.80 ± 2.21@@33.85701765403287,1.15 ± 1.81 / 34.47 ± 1.12@@1.1460360379617835,64.09 ± 1.26 / 53.34 ± 1.21@@64.08551275187344,65.81 ± 1.90 / 20.88 ± 0.66@@65.80669141447288,11.66 ± 1.13 / 32.84 ± 0.97@@11.658644064135851,5.22 ± 1.17 / 27.95 ± 1.10@@5.219813882305635,11.0.0@@110000,12.5.2@@120502,12.1.0@@120100,12.5.0@@120500,12.5.0@@120500,12.1.0@@120100,12.1.0@@120100
<a href='https://huggingface.co/meta-llama/Llama-3.2-1B'>meta-llama/Llama-3.2-1B (few-shot)</a>,🧠,3.24@@3.24,1235814400.0,128256.0,131073.0,✓,✗,54.40 ± 2.92 / 64.38 ± 2.10@@54.39587391796944,35.08 ± 5.88 / 32.44 ± 4.89@@35.084012947818756,2.97 ± 0.84 / 45.05 ± 4.18@@2.9696638626429324,71.04 ± 1.83 / 58.30 ± 2.84@@71.0426050438733,62.19 ± 1.70 / 16.53 ± 1.13@@62.1926721719501,7.91 ± 0.72 / 29.30 ± 0.46@@7.911436054878132,1.60 ± 1.21 / 26.25 ± 0.85@@1.6025142961889858,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
