model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,dbrd,conll_nl,scala_nl,squad_nl,wiki_lingua_nl,mmlu_nl,hellaswag_nl,dbrd_version,conll_nl_version,scala_nl_version,squad_nl_version,wiki_lingua_nl_version,mmlu_nl_version,hellaswag_nl_version
<a href='https://huggingface.co/BSC-LT/salamandra-2b'>BSC-LT/salamandra-2b (few-shot)</a>,🧠,3.35@@3.35,2253490176.0,256000.0,8192.0,✓,✗,69.02 ± 13.25 / 80.80 ± 10.13@@69.02446383909307,29.61 ± 3.81 / 28.10 ± 3.52@@29.61023665046302,-0.12 ± 0.78 / 33.87 ± 0.63@@-0.12430680144840427,58.74 ± 1.34 / 46.40 ± 1.27@@58.73868123527674,59.15 ± 1.44 / 16.78 ± 0.68@@59.1534986635088,-1.08 ± 0.89 / 24.30 ± 0.75@@-1.0846799126701845,-1.07 ± 0.92 / 23.34 ± 0.41@@-1.069154018004158,15.7.1.dev0@@150701,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/google/gemma-7b-it'>google/gemma-7b-it (few-shot)</a>,📝,3.40@@3.40,8537680896.0,256000.0,8192.0,✗,✗,49.33 ± 11.04 / 71.80 ± 6.02@@49.32541341915345,45.08 ± 4.16 / 39.03 ± 4.16@@45.079960864056325,5.37 ± 2.12 / 46.76 ± 4.10@@5.367287972044736,24.21 ± 2.12 / 5.17 ± 1.38@@24.213597709518634,60.17 ± 0.47 / 10.64 ± 0.72@@60.17309154121904,5.37 ± 1.53 / 26.86 ± 1.09@@5.371691956287676,1.00 ± 0.81 / 25.04 ± 0.86@@0.998311215785129,15.7.0.dev0@@150700,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/ibm-granite/granite-3.0-1b-a400m-instruct'>ibm-granite/granite-3.0-1b-a400m-instruct (few-shot)</a>,📝,3.41@@3.41,1334628352.0,49155.0,4096.0,✓,✗,64.57 ± 2.64 / 80.22 ± 2.20@@64.56639359382244,30.60 ± 2.69 / 26.10 ± 1.90@@30.60093435180251,1.04 ± 1.52 / 45.97 ± 3.20@@1.0423676315549435,41.33 ± 1.21 / 31.91 ± 1.05@@41.32654951925465,61.20 ± 1.00 / 13.03 ± 0.49@@61.20123239459645,2.10 ± 1.04 / 26.02 ± 0.92@@2.104132154709824,-0.52 ± 0.72 / 23.98 ± 0.59@@-0.5226640985239069,15.7.1.dev0@@150701,13.2.0@@130200,13.2.0@@130200,14.2.0.dev0@@140200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200
<a href='https://huggingface.co/meta-llama/Llama-3.2-1B'>meta-llama/Llama-3.2-1B (few-shot)</a>,🧠,3.43@@3.43,1235814400.0,128256.0,131328.0,✓,✗,82.49 ± 2.08 / 90.56 ± 1.32@@82.48738922110645,22.03 ± 4.43 / 19.22 ± 3.92@@22.032185133590517,1.46 ± 1.83 / 42.29 ± 4.01@@1.45727686669834,53.55 ± 1.62 / 40.32 ± 1.73@@53.55249255816449,51.56 ± 1.45 / 10.34 ± 0.52@@51.55592895585869,5.46 ± 1.05 / 28.09 ± 0.78@@5.459933785183857,-0.58 ± 0.81 / 23.58 ± 0.50@@-0.582880085814704,15.7.1.dev0@@150701,13.0.0@@130000,13.0.0@@130000,14.3.0@@140300,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
<a href='https://huggingface.co/NorwAI/NorwAI-Llama2-7B'>NorwAI/NorwAI-Llama2-7B (few-shot)</a>,🧠,3.44@@3.44,7033270272.0,67993.0,4224.0,✓,✗,77.25 ± 3.24 / 87.38 ± 2.13@@77.24584114295719,22.50 ± 2.27 / 24.09 ± 2.40@@22.50410129173471,-0.61 ± 1.30 / 46.51 ± 2.55@@-0.6081091262073046,45.36 ± 2.90 / 32.97 ± 2.21@@45.364615086329664,56.55 ± 3.05 / 13.22 ± 1.01@@56.545331024681225,0.27 ± 1.29 / 24.94 ± 0.91@@0.26920046894127464,1.47 ± 0.79 / 25.75 ± 0.39@@1.468607706074073,15.7.1.dev0@@150701,12.10.4@@121004,12.10.4@@121004,14.3.0@@140300,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004
<a href='https://huggingface.co/utter-project/EuroLLM-1.7B-Instruct'>utter-project/EuroLLM-1.7B-Instruct (few-shot)</a>,📝,3.46@@3.46,1656850432.0,128000.0,4096.0,✓,✗,29.84 ± 6.79 / 50.04 ± 5.65@@29.83531402774679,28.88 ± 2.13 / 26.35 ± 1.73@@28.880391059298056,2.30 ± 1.68 / 41.14 ± 3.85@@2.298076158529994,53.57 ± 2.55 / 38.88 ± 1.80@@53.57004652917099,61.96 ± 0.80 / 14.66 ± 0.48@@61.955366453621544,2.53 ± 1.10 / 25.95 ± 1.10@@2.531998238832601,1.04 ± 0.74 / 25.13 ± 0.68@@1.0366156464808585,15.7.1.dev0@@150701,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100
<a href='https://huggingface.co/RuterNorway/Llama-2-7b-chat-norwegian'>RuterNorway/Llama-2-7b-chat-norwegian (few-shot)</a>,📝,3.48@@3.48,,32000.0,4096.0,✗,✗,49.20 ± 9.70 / 67.23 ± 8.56@@49.199837070332954,35.49 ± 3.10 / 29.35 ± 2.75@@35.48815925866721,2.52 ± 2.14 / 42.60 ± 4.80@@2.521546942782741,21.47 ± 1.36 / 16.14 ± 1.35@@21.473958575259584,62.24 ± 0.86 / 15.62 ± 0.60@@62.24441529833712,5.41 ± 1.15 / 27.75 ± 0.75@@5.40769524220498,0.15 ± 0.98 / 25.59 ± 0.57@@0.15026280412931584,15.7.1.dev0@@150701,9.3.1@@90301,9.3.1@@90301,14.2.0.dev0@@140200,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301
<a href='https://huggingface.co/google/gemma-3-1b-pt'>google/gemma-3-1b-pt (few-shot)</a>,🧠,3.48@@3.48,999885952.0,262144.0,32768.0,✓,✗,68.53 ± 2.55 / 81.43 ± 1.82@@68.53355351952719,27.11 ± 2.77 / 26.41 ± 3.16@@27.10517622653892,1.24 ± 2.42 / 46.98 ± 2.78@@1.2369200391954858,52.15 ± 2.19 / 37.64 ± 2.24@@52.15178396006068,51.94 ± 2.31 / 8.88 ± 0.82@@51.93529589967512,-0.77 ± 0.67 / 24.44 ± 0.57@@-0.7698861005650167,-0.68 ± 1.07 / 24.15 ± 0.47@@-0.6771565243822562,15.7.1.dev0@@150701,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/ibm-granite/granite-3b-code-instruct-2k'>ibm-granite/granite-3b-code-instruct-2k (few-shot)</a>,📝,3.49@@3.49,3482503680.0,49152.0,2048.0,✓,✗,23.65 ± 9.36 / 49.03 ± 6.61@@23.65062265604499,52.75 ± 3.32 / 40.11 ± 3.27@@52.75126807318766,0.91 ± 1.31 / 33.79 ± 0.46@@0.9085071684560334,58.69 ± 0.82 / 44.39 ± 1.63@@58.68912722823744,46.13 ± 9.06 / 11.06 ± 2.06@@46.12815655316808,5.71 ± 1.46 / 28.50 ± 1.09@@5.714106891180652,2.31 ± 1.53 / 25.44 ± 1.10@@2.3147788537106258,15.7.1.dev0@@150701,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200
<a href='https://huggingface.co/ibm-granite/granite-7b-instruct'>ibm-granite/granite-7b-instruct (few-shot)</a>,📝,3.51@@3.51,6738481152.0,32008.0,4096.0,✓,✗,-2.34 ± 3.52 / 45.30 ± 2.92@@-2.3424059848499086,33.73 ± 2.02 / 30.41 ± 1.57@@33.72932791994705,3.78 ± 2.04 / 50.30 ± 1.51@@3.779948220795886,38.27 ± 2.96 / 14.99 ± 2.18@@38.26749700697868,64.37 ± 0.44 / 16.25 ± 0.30@@64.36758947034832,13.67 ± 1.39 / 34.95 ± 1.02@@13.674415927833145,11.51 ± 0.68 / 33.35 ± 0.60@@11.511515158109283,15.7.1.dev0@@150701,13.2.0@@130200,13.2.0@@130200,14.2.0.dev0@@140200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200
<a href='https://huggingface.co/PleIAs/Pleias-3b-Preview'>PleIAs/Pleias-3b-Preview (few-shot)</a>,🧠,3.52@@3.52,3211926528.0,65536.0,4096.0,✓,✗,53.19 ± 5.27 / 71.71 ± 4.57@@53.191796781441205,31.13 ± 3.71 / 29.34 ± 2.26@@31.12973835223176,1.23 ± 1.73 / 44.71 ± 3.28@@1.2251465041528857,39.42 ± 1.97 / 29.42 ± 1.35@@39.4221036282341,56.85 ± 0.66 / 11.52 ± 0.17@@56.85221689898754,1.79 ± 1.11 / 26.12 ± 0.72@@1.7881674169659774,-0.63 ± 1.13 / 23.93 ± 0.71@@-0.6331838079053081,15.7.1.dev0@@150701,14.0.4@@140004,14.1.2@@140102,14.3.0@@140300,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://huggingface.co/PleIAs/Pleias-1.2b-Preview'>PleIAs/Pleias-1.2b-Preview (few-shot)</a>,🧠,3.52@@3.52,1195468800.0,65536.0,2048.0,✓,✗,57.60 ± 7.66 / 76.15 ± 6.19@@57.59515299401596,38.22 ± 3.45 / 35.62 ± 3.90@@38.21682827363587,1.85 ± 1.45 / 40.34 ± 3.41@@1.8465237265966752,41.43 ± 1.95 / 29.92 ± 1.72@@41.430281255627186,49.31 ± 4.05 / 8.77 ± 1.00@@49.311089220282156,-1.45 ± 0.89 / 24.35 ± 0.73@@-1.449917330499989,0.83 ± 0.92 / 26.03 ± 0.51@@0.8326128446610933,15.7.1.dev0@@150701,14.0.4@@140004,14.1.2@@140102,14.3.0@@140300,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://huggingface.co/ibm-granite/granite-3.0-1b-a400m-base'>ibm-granite/granite-3.0-1b-a400m-base (few-shot)</a>,🧠,3.53@@3.53,1384956928.0,49152.0,4096.0,✓,✗,73.42 ± 1.82 / 85.88 ± 1.17@@73.4151109679633,12.76 ± 7.37 / 14.65 ± 5.86@@12.758974809317342,0.69 ± 1.52 / 44.03 ± 3.52@@0.6865998451471176,47.01 ± 1.39 / 36.69 ± 1.41@@47.00622652320453,56.45 ± 1.86 / 12.01 ± 0.44@@56.4519047956128,-0.05 ± 0.51 / 24.48 ± 0.64@@-0.05221098922246096,-0.85 ± 0.88 / 23.82 ± 0.73@@-0.8523944988376362,15.7.1.dev0@@150701,13.2.0@@130200,13.2.0@@130200,14.3.0@@140300,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-20b'>AI-Sweden-Models/gpt-sw3-20b (few-shot)</a>,🧠,3.58@@3.58,20918423552.0,64000.0,2048.0,✓,✗,32.84 ± 6.07 / 65.57 ± 3.39@@32.841987915327344,35.98 ± 3.72 / 34.31 ± 2.76@@35.97509054908276,1.93 ± 1.04 / 47.93 ± 2.28@@1.931156508074026,56.02 ± 0.94 / 43.71 ± 1.22@@56.015567332204,44.96 ± 7.95 / 10.26 ± 1.46@@44.95792265712225,6.24 ± 1.54 / 29.02 ± 1.30@@6.238033168952704,0.47 ± 1.20 / 24.89 ± 0.59@@0.4690774992040204,15.7.0.dev0@@150700,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,9.3.1@@90301,9.3.1@@90301
<a href='https://huggingface.co/state-spaces/mamba-2.8b-hf'>state-spaces/mamba-2.8b-hf (few-shot)</a>,🧠,3.61@@3.61,2768345600.0,50280.0,33024.0,✓,✗,69.95 ± 4.46 / 82.37 ± 3.16@@69.95191555183322,22.95 ± 1.99 / 23.05 ± 1.55@@22.952993805133374,3.12 ± 1.51 / 45.58 ± 4.56@@3.1150587582386473,34.26 ± 1.79 / 22.23 ± 1.22@@34.26305254087459,50.36 ± 2.03 / 9.96 ± 0.95@@50.357394799793845,-0.48 ± 0.81 / 24.57 ± 0.67@@-0.47549871513336023,1.28 ± 1.03 / 26.62 ± 0.80@@1.2753840839008606,15.7.1.dev0@@150701,13.0.0@@130000,13.0.0@@130000,15.6.1.dev0@@150601,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
<a href='https://huggingface.co/tiiuae/Falcon3-1B-Instruct'>tiiuae/Falcon3-1B-Instruct (few-shot)</a>,📝,3.62@@3.62,1669408768.0,131072.0,8192.0,✓,✗,38.71 ± 1.75 / 67.66 ± 1.58@@38.71297208201552,28.25 ± 3.03 / 25.24 ± 2.38@@28.247163312628608,0.76 ± 1.10 / 33.57 ± 0.34@@0.7593472973319758,31.17 ± 3.06 / 20.69 ± 2.06@@31.17063030603331,57.20 ± 1.38 / 10.23 ± 0.61@@57.204885549945175,5.45 ± 0.96 / 28.87 ± 0.86@@5.450208714961948,2.34 ± 1.16 / 26.19 ± 0.80@@2.3424625310574108,15.7.2.dev0@@150702,14.1.2@@140102,14.1.2@@140102,14.3.0@@140300,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102
<a href='https://huggingface.co/infly/OpenCoder-1.5B-Instruct'>infly/OpenCoder-1.5B-Instruct (few-shot)</a>,📝,3.63@@3.63,1905650880.0,96640.0,4096.0,✗,✗,25.48 ± 6.17 / 53.74 ± 7.08@@25.48492776220787,40.04 ± 3.53 / 30.62 ± 2.76@@40.03736740798154,1.66 ± 2.54 / 37.30 ± 3.78@@1.6605625666340587,33.96 ± 0.89 / 20.92 ± 1.32@@33.956046698944036,56.08 ± 1.53 / 9.44 ± 0.42@@56.081001305137754,0.25 ± 1.46 / 25.03 ± 1.01@@0.2518524190919351,-0.50 ± 1.46 / 24.53 ± 0.87@@-0.4981987717690863,15.7.1.dev0@@150701,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/PleIAs/Pleias-Nano'>PleIAs/Pleias-Nano (few-shot)</a>,🧠,3.67@@3.67,1195468800.0,65536.0,2048.0,✓,✗,48.23 ± 11.13 / 68.79 ± 9.77@@48.22859954372479,23.58 ± 4.08 / 26.01 ± 4.43@@23.584987295467926,1.79 ± 1.38 / 40.53 ± 3.24@@1.7859099249687884,29.98 ± 4.10 / 18.11 ± 4.41@@29.980407886476286,53.77 ± 3.32 / 10.12 ± 0.52@@53.774959658330765,-0.41 ± 0.68 / 24.81 ± 0.50@@-0.4114618631991888,-0.45 ± 0.84 / 25.39 ± 0.66@@-0.45377066348945627,15.7.1.dev0@@150701,14.0.4@@140004,14.1.2@@140102,14.3.0@@140300,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://huggingface.co/DiscoResearch/DiscoLM-70b'>DiscoResearch/DiscoLM-70b (few-shot)</a>,🧠,3.70@@3.70,68977172480.0,32032.0,8192.0,✗,✗,3.50 ± 0.95 / 34.06 ± 0.31@@3.499388500313966,59.81 ± 2.26 / 45.63 ± 1.86@@59.81079201548026,0.00 ± 0.00 / 33.36 ± 0.27@@0.0,3.29 ± 1.94 / 1.27 ± 1.04@@3.286811005384594,52.74 ± 0.07 / 1.14 ± 0.03@@52.74123285271344,13.52 ± 4.92 / 32.41 ± 3.47@@13.519809988418496,8.54 ± 2.60 / 25.25 ± 1.02@@8.537185828617929,15.7.0.dev0@@150700,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://huggingface.co/Qwen/Qwen1.5-0.5B-Chat'>Qwen/Qwen1.5-0.5B-Chat (few-shot)</a>,📝,3.72@@3.72,619570176.0,151936.0,32768.0,✗,✗,13.19 ± 7.00 / 38.67 ± 3.96@@13.188267941479953,18.66 ± 4.43 / 17.56 ± 4.28@@18.664772037610774,0.34 ± 2.02 / 43.92 ± 3.15@@0.3377735597528041,37.70 ± 1.55 / 27.48 ± 1.17@@37.70479907348333,62.36 ± 0.81 / 11.72 ± 0.73@@62.359184878732776,2.09 ± 1.13 / 25.90 ± 0.60@@2.0859531815010954,1.44 ± 1.12 / 26.50 ± 0.68@@1.4410307830116842,15.7.1.dev0@@150701,12.5.2@@120502,12.1.0@@120100,14.2.0.dev0@@140200,12.5.0@@120500,12.1.0@@120100,12.1.0@@120100
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-20b-instruct'>AI-Sweden-Models/gpt-sw3-20b-instruct (few-shot)</a>,📝,3.73@@3.73,20918423552.0,64000.0,2048.0,✓,✗,30.08 ± 10.60 / 56.38 ± 8.18@@30.077644662639614,24.44 ± 1.62 / 25.02 ± 1.72@@24.4444708170711,4.85 ± 2.01 / 49.10 ± 2.56@@4.853754190693031,26.67 ± 3.62 / 8.58 ± 4.14@@26.669270724298105,54.89 ± 1.27 / 13.01 ± 0.47@@54.88568074513751,4.38 ± 1.45 / 27.07 ± 1.30@@4.38156589156395,1.95 ± 0.83 / 24.88 ± 0.71@@1.9527308477108367,15.7.0.dev0@@150700,9.3.1@@90301,9.3.1@@90301,14.3.0@@140300,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301
<a href='https://huggingface.co/Tweeties/tweety-7b-dutch-v24a'>Tweeties/tweety-7b-dutch-v24a (few-shot)</a>,📝,3.74@@3.74,7391293440.0,50257.0,1024.0,✓,✗,5.32 ± 3.61 / 43.92 ± 6.17@@5.3202245735225695,35.83 ± 3.06 / 29.15 ± 2.80@@35.82522238960587,16.81 ± 3.31 / 53.38 ± 5.08@@16.808212724575792,4.02 ± 0.08 / 0.00 ± 0.00@@4.020295740766086,51.61 ± 0.65 / 9.48 ± 0.19@@51.60825421662594,20.21 ± 1.63 / 37.93 ± 1.39@@20.205548207970608,5.94 ± 1.54 / 28.98 ± 0.98@@5.944350848932118,15.7.1.dev0@@150701,12.6.1@@120601,12.6.1@@120601,14.3.0@@140300,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601
<a href='https://huggingface.co/microsoft/phi-2'>microsoft/phi-2 (few-shot)</a>,🧠,3.79@@3.79,2779683840.0,51200.0,2048.0,✓,✗,24.16 ± 5.28 / 58.81 ± 5.06@@24.160202790656147,38.14 ± 2.47 / 34.49 ± 2.24@@38.1372255011012,0.08 ± 2.20 / 41.56 ± 4.05@@0.075298592677501,35.25 ± 1.96 / 27.90 ± 1.82@@35.24921232170326,40.34 ± 9.40 / 8.25 ± 1.76@@40.344558107171906,6.12 ± 1.12 / 28.63 ± 0.87@@6.115363946526468,1.38 ± 0.96 / 24.66 ± 0.55@@1.3839387075473877,15.7.1.dev0@@150701,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/Qwen/Qwen1.5-1.8B'>Qwen/Qwen1.5-1.8B (few-shot)</a>,📝,3.80@@3.80,1836828672.0,151936.0,32768.0,✓,✗,27.26 ± 7.89 / 48.30 ± 6.41@@27.263000358069796,11.66 ± 6.46 / 15.15 ± 4.38@@11.664556477041536,2.89 ± 1.91 / 41.36 ± 4.63@@2.8893121713400465,16.05 ± 0.42 / 0.02 ± 0.03@@16.050442923163722,55.00 ± 1.73 / 11.21 ± 0.64@@55.001601790281704,13.56 ± 0.64 / 34.17 ± 0.48@@13.55512205074452,5.89 ± 0.82 / 29.17 ± 0.66@@5.8882838825483494,15.7.1.dev0@@150701,12.5.2@@120502,12.1.0@@120100,14.3.0@@140300,12.1.0@@120100,12.1.0@@120100,12.1.0@@120100
<a href='https://huggingface.co/Qwen/Qwen1.5-0.5B'>Qwen/Qwen1.5-0.5B (few-shot)</a>,📝,3.82@@3.82,619570176.0,151936.0,32768.0,✓,✗,10.94 ± 4.50 / 37.10 ± 2.23@@10.938407824162681,28.30 ± 3.90 / 28.67 ± 3.15@@28.30373171900602,-0.42 ± 2.41 / 37.60 ± 3.89@@-0.41976482958202416,11.77 ± 0.42 / 0.02 ± 0.02@@11.77248759201972,58.40 ± 2.03 / 10.34 ± 0.54@@58.40132296922093,7.44 ± 0.51 / 29.86 ± 0.35@@7.4374626200324725,1.70 ± 1.42 / 26.04 ± 0.91@@1.7003534311594157,15.7.1.dev0@@150701,12.5.2@@120502,12.1.0@@120100,14.3.0@@140300,12.1.0@@120100,12.1.0@@120100,12.1.0@@120100
<a href='https://huggingface.co/Qwen/Qwen2.5-Math-1.5B'>Qwen/Qwen2.5-Math-1.5B (few-shot)</a>,📝,3.86@@3.86,1543714304.0,151936.0,4096.0,✓,✗,26.68 ± 6.62 / 61.48 ± 3.19@@26.683057173236325,20.07 ± 2.97 / 16.76 ± 2.65@@20.072564402243824,0.00 ± 0.00 / 33.30 ± 0.27@@0.0,12.21 ± 1.24 / 0.00 ± 0.00@@12.20802100228789,53.74 ± 1.61 / 8.62 ± 0.52@@53.73963302568882,8.13 ± 0.93 / 30.28 ± 0.64@@8.12641617819078,1.04 ± 0.88 / 25.34 ± 0.83@@1.0376270064792787,15.7.1.dev0@@150701,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-360M'>HuggingFaceTB/SmolLM2-360M (few-shot)</a>,🧠,3.88@@3.88,361821120.0,49152.0,8192.0,✓,✗,22.65 ± 9.29 / 52.75 ± 9.30@@22.650998417859565,20.95 ± 2.02 / 25.63 ± 1.96@@20.948963378240542,-1.50 ± 1.30 / 34.07 ± 0.45@@-1.497650617963242,27.47 ± 1.08 / 19.71 ± 0.69@@27.46878808549949,53.89 ± 2.61 / 10.53 ± 0.37@@53.89124403896858,-0.45 ± 1.59 / 24.24 ± 0.79@@-0.44901222338127617,-0.31 ± 1.39 / 23.58 ± 0.40@@-0.30508320825653584,15.7.1.dev0@@150701,13.1.0@@130100,13.1.0@@130100,14.3.0@@140300,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100
<a href='https://huggingface.co/timpal0l/Mistral-7B-v0.1-flashback-v2'>timpal0l/Mistral-7B-v0.1-flashback-v2 (few-shot)</a>,📝,3.88@@3.88,7241732096.0,32000.0,4096.0,✓,✗,74.48 ± 3.17 / 86.64 ± 1.75@@74.4773044608823,33.98 ± 3.34 / 23.26 ± 2.04@@33.98298482137455,-0.34 ± 0.84 / 37.53 ± 3.67@@-0.3395238593391679,21.22 ± 1.68 / 0.01 ± 0.01@@21.219904674038723,32.80 ± 9.35 / 5.47 ± 1.69@@32.795122897732654,0.96 ± 0.62 / 25.43 ± 0.58@@0.9603816486685043,-0.06 ± 0.75 / 25.94 ± 0.65@@-0.06390995645512458,15.7.1.dev0@@150701,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/ChocoLlama/ChocoLlama-2-7B-tokentrans-base'>ChocoLlama/ChocoLlama-2-7B-tokentrans-base (few-shot)</a>,🧠,4.01@@4.01,6885871616.0,50000.0,4096.0,✓,✗,68.53 ± 12.97 / 83.11 ± 7.49@@68.53140536436631,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,1.56 ± 1.61 / 35.05 ± 1.19@@1.5557595683555834,7.35 ± 1.38 / 0.01 ± 0.01@@7.354472030968,46.53 ± 1.97 / 6.38 ± 0.71@@46.53272251962335,3.49 ± 0.58 / 25.94 ± 0.72@@3.4866693233123534,0.75 ± 0.87 / 25.46 ± 0.63@@0.7520651836876192,15.7.1.dev0@@150701,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
<a href='https://huggingface.co/PleIAs/Pleias-Pico'>PleIAs/Pleias-Pico (few-shot)</a>,🧠,4.03@@4.03,353424384.0,65536.0,2048.0,✓,✗,9.67 ± 3.64 / 47.30 ± 3.64@@9.666583610329715,21.32 ± 2.14 / 22.20 ± 2.65@@21.31874514069744,-0.19 ± 1.24 / 41.66 ± 3.35@@-0.1884032677791554,16.17 ± 2.49 / 8.96 ± 2.06@@16.171303110649188,50.94 ± 2.76 / 7.92 ± 0.87@@50.940764909100835,0.33 ± 1.58 / 24.74 ± 1.23@@0.3279542363978196,-0.81 ± 0.69 / 24.22 ± 0.67@@-0.8101298040573341,15.7.1.dev0@@150701,14.0.4@@140004,14.1.2@@140102,14.3.0@@140300,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-135M'>HuggingFaceTB/SmolLM2-135M (few-shot)</a>,🧠,4.04@@4.04,134515008.0,49152.0,8192.0,✓,✗,2.75 ± 2.51 / 37.21 ± 3.81@@2.7515328118695126,20.10 ± 1.79 / 21.24 ± 2.72@@20.099455970776763,0.48 ± 0.81 / 34.97 ± 3.08@@0.48118087962729694,7.20 ± 0.89 / 3.66 ± 1.18@@7.200613274624677,56.55 ± 2.84 / 9.21 ± 0.81@@56.553805254079634,0.10 ± 1.14 / 24.72 ± 0.79@@0.09595536521434045,-0.35 ± 0.90 / 24.82 ± 0.62@@-0.3533614997101731,15.7.0.dev0@@150700,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-135M-Instruct'>HuggingFaceTB/SmolLM2-135M-Instruct (few-shot)</a>,📝,4.07@@4.07,134515008.0,49152.0,8192.0,✓,✗,0.68 ± 4.54 / 45.36 ± 3.41@@0.6752999219236092,14.58 ± 1.49 / 16.55 ± 2.11@@14.575587894088498,0.07 ± 1.31 / 38.64 ± 3.84@@0.06869216464780806,5.99 ± 0.81 / 1.50 ± 0.55@@5.993714068182087,59.92 ± 1.51 / 9.63 ± 1.24@@59.923079034633695,-1.52 ± 0.73 / 24.07 ± 0.61@@-1.5155009027274018,-0.51 ± 0.97 / 25.12 ± 0.78@@-0.5143451678529259,15.7.1.dev0@@150701,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-360M-Instruct'>HuggingFaceTB/SmolLM2-360M-Instruct (few-shot)</a>,📝,4.08@@4.08,361821120.0,49152.0,8192.0,✓,✗,6.16 ± 3.17 / 39.98 ± 4.64@@6.156893625242625,15.68 ± 5.54 / 22.21 ± 5.42@@15.683161091210932,0.63 ± 1.05 / 43.48 ± 2.98@@0.6254322896064181,18.72 ± 1.19 / 9.66 ± 0.81@@18.723171732825175,50.53 ± 2.03 / 9.14 ± 0.47@@50.52855965855997,1.30 ± 0.75 / 24.43 ± 0.78@@1.2980504997313078,-0.36 ± 0.85 / 24.09 ± 0.49@@-0.36427158958149974,15.7.1.dev0@@150701,13.1.0@@130100,13.1.0@@130100,14.3.0@@140300,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100
