generative_type,model,rank,danish,norwegian,swedish,parameters,vocabulary_size,context,commercial,merge,angry_tweets,dansk,scala_da,scandiqa_da,norec,norne_nb,norne_nn,scala_nb,scala_nn,norquad,swerec,suc3,scala_sv,scandiqa_sv,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,swerec_version,suc3_version,scala_sv_version,scandiqa_sv_version
📝,"<a href='https://platform.openai.com/docs/models/gpt-4o-mini'>gpt-4o-mini-2024-07-18 (few-shot, val)</a>",1.51@@1.51,1.49@@1.49,1.48@@1.48,1.54@@1.54,,200019.0,8191.0,✓,✗,56.91 ± 2.34 / 71.25 ± 1.60@@56.91403167576825,59.96 ± 1.64 / 41.55 ± 2.90@@59.956447152855716,67.13 ± 4.29 / 83.05 ± 2.24@@67.13339863678074,65.87 ± 1.53 / 54.44 ± 1.48@@65.86953441489553,67.45 ± 4.03 / 77.50 ± 2.90@@67.45354338429006,72.74 ± 1.75 / 57.58 ± 4.14@@72.74053009268455,69.17 ± 2.61 / 56.34 ± 3.95@@69.172021370748,74.27 ± 2.57 / 86.86 ± 1.43@@74.26882065130759,54.83 ± 3.96 / 76.91 ± 1.98@@54.82939284320224,72.28 ± 2.04 / 40.12 ± 3.09@@72.28340958558194,77.69 ± 2.28 / 78.73 ± 2.17@@77.68592235200666,62.45 ± 2.79 / 46.68 ± 4.08@@62.45059782627551,68.93 ± 3.67 / 84.15 ± 2.01@@68.92650292184513,61.39 ± 1.54 / 50.68 ± 1.67@@61.38746283228488,14.0.0@@140000,14.0.0@@140000,14.0.0@@140000,15.1.0.dev0@@150100,14.0.0@@140000,14.0.0@@140000,14.0.0@@140000,14.0.0@@140000,14.0.0@@140000,15.1.0.dev0@@150100,14.0.0@@140000,14.0.0@@140000,14.0.0@@140000,15.1.0.dev0@@150100
🔍,<a href='https://huggingface.co/ltg/norbert3-large'>ltg/norbert3-large</a>,1.51@@1.51,1.81@@1.81,1.25@@1.25,1.46@@1.46,354407427.0,50000.0,508.0,✓,✗,45.28 ± 4.04 / 62.00 ± 4.14@@45.28198736955629,62.39 ± 2.00 / 59.22 ± 1.73@@62.391376295260535,65.56 ± 3.38 / 82.00 ± 1.86@@65.55608038019241,53.68 ± 0.85 / 47.93 ± 0.90@@53.67681832328035,60.11 ± 4.76 / 71.17 ± 5.72@@60.11382314371474,87.27 ± 1.06 / 88.14 ± 0.90@@87.27367407815076,82.61 ± 1.96 / 84.47 ± 1.67@@82.60651485225466,69.49 ± 6.81 / 83.06 ± 4.61@@69.48537009586525,75.05 ± 2.08 / 87.26 ± 1.00@@75.04962944818074,78.89 ± 0.89 / 63.80 ± 1.11@@78.88535875505355,75.32 ± 1.55 / 69.39 ± 3.64@@75.321547764715,79.01 ± 1.13 / 73.76 ± 1.48@@79.01390630049447,69.11 ± 1.50 / 84.32 ± 0.70@@69.1122015149959,54.15 ± 0.83 / 48.88 ± 0.87@@54.14667737643539,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
📝,<a href='https://huggingface.co/google/gemma-3-27b-it'>google/gemma-3-27b-it (few-shot)</a>,1.55@@1.55,1.55@@1.55,1.60@@1.60,1.51@@1.51,27432406640.0,262144.0,128000.0,✓,✗,57.40 ± 1.48 / 71.71 ± 1.09@@57.40479481080871,61.91 ± 1.26 / 50.60 ± 2.37@@61.91137846512318,62.41 ± 1.38 / 81.00 ± 0.81@@62.41480228864287,64.35 ± 0.84 / 54.15 ± 1.32@@64.3490406362606,64.97 ± 0.95 / 76.70 ± 0.51@@64.97266936582659,70.30 ± 1.73 / 60.24 ± 2.64@@70.30451783250558,69.83 ± 1.85 / 60.63 ± 2.06@@69.83318810587292,69.26 ± 1.34 / 84.47 ± 0.81@@69.26288432995655,58.07 ± 1.84 / 78.95 ± 0.95@@58.07331029991729,67.79 ± 0.89 / 37.28 ± 1.31@@67.7939599622243,78.73 ± 0.99 / 78.65 ± 0.97@@78.73026696645769,62.38 ± 2.44 / 52.25 ± 2.81@@62.38345264378607,67.64 ± 1.18 / 83.75 ± 0.62@@67.64314741191244,64.34 ± 0.56 / 53.75 ± 0.91@@64.34402805416167,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.4.2.dev0@@150402,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301
🧠,<a href='https://huggingface.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt (few-shot)</a>,1.56@@1.56,1.63@@1.63,1.66@@1.66,1.38@@1.38,27432406640.0,262144.0,128000.0,✓,✗,52.10 ± 1.53 / 64.42 ± 2.23@@52.09696999776008,56.59 ± 1.77 / 41.42 ± 2.46@@56.59399820311302,62.75 ± 2.10 / 81.02 ± 1.28@@62.752440046835254,69.13 ± 0.65 / 62.57 ± 1.37@@69.12624295972411,56.07 ± 2.87 / 68.72 ± 3.03@@56.068729240790496,70.49 ± 1.94 / 62.31 ± 3.27@@70.48747864140087,68.15 ± 2.09 / 61.58 ± 2.55@@68.14612023019755,66.11 ± 2.37 / 82.70 ± 1.41@@66.11026672379656,58.97 ± 2.40 / 79.23 ± 1.24@@58.97479791833173,76.89 ± 3.32 / 51.99 ± 5.49@@76.89399808065328,81.69 ± 0.81 / 79.72 ± 1.39@@81.69087839735502,65.32 ± 2.93 / 51.46 ± 4.74@@65.32020350813832,66.02 ± 2.33 / 82.56 ± 1.41@@66.0223839822444,69.17 ± 0.52 / 62.27 ± 1.02@@69.17322225843967,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.2.dev0@@150402,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
📝,<a href='https://huggingface.co/ThatsGroes/gemma-2-27b-it-FP8-Dynamic'>ThatsGroes/gemma-2-27b-it-FP8-Dynamic (few-shot)</a>,1.56@@1.56,1.53@@1.53,1.59@@1.59,1.57@@1.57,28410968576.0,256000.0,4096.0,✓,✗,58.93 ± 1.72 / 72.70 ± 1.38@@58.930191161736964,66.50 ± 2.00 / 45.33 ± 2.92@@66.50051732056049,57.27 ± 1.30 / 78.52 ± 0.62@@57.2697157778826,64.14 ± 0.46 / 55.02 ± 0.88@@64.13738793191973,67.19 ± 0.71 / 78.48 ± 0.53@@67.18870326312418,76.25 ± 1.39 / 60.31 ± 3.22@@76.2501753703093,77.91 ± 0.47 / 61.81 ± 3.84@@77.90799330851716,59.75 ± 1.66 / 78.91 ± 1.21@@59.747183039485485,47.82 ± 2.00 / 73.51 ± 1.21@@47.82481488522809,69.77 ± 1.17 / 40.99 ± 1.38@@69.77222071459184,79.51 ± 0.63 / 79.57 ± 0.65@@79.51135946027318,62.91 ± 1.46 / 47.13 ± 3.48@@62.914571485651294,60.28 ± 1.19 / 79.99 ± 0.66@@60.279420962049834,64.81 ± 0.62 / 55.44 ± 0.92@@64.81453205318785,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,15.4.2.dev0@@150402,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
🧠,<a href='https://huggingface.co/meta-llama/Meta-Llama-3-70B'>meta-llama/Meta-Llama-3-70B (few-shot)</a>,1.58@@1.58,1.49@@1.49,1.98@@1.98,1.26@@1.26,70553706496.0,128256.0,8192.0,✓,✗,58.13 ± 1.33 / 71.61 ± 1.04@@58.131617427553216,63.21 ± 1.85 / 49.31 ± 2.84@@63.20953489572727,56.12 ± 2.42 / 76.82 ± 2.07@@56.123007082781804,69.67 ± 0.59 / 63.62 ± 1.18@@69.67019995617225,39.77 ± 0.44 / 40.05 ± 0.38@@39.773733720969325,79.76 ± 1.61 / 69.73 ± 3.22@@79.76262913022751,78.23 ± 1.12 / 69.33 ± 3.61@@78.22593363186228,54.98 ± 1.98 / 75.21 ± 1.36@@54.97700424864477,45.17 ± 1.81 / 71.03 ± 1.66@@45.16896233283162,78.09 ± 3.73 / 55.34 ± 6.10@@78.08941097723824,81.52 ± 0.71 / 79.89 ± 1.55@@81.52007884604083,75.15 ± 2.00 / 59.47 ± 4.87@@75.14683816033596,64.20 ± 1.38 / 81.88 ± 0.69@@64.20256814238014,68.74 ± 1.30 / 62.31 ± 2.66@@68.74063602307541,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
📝,<a href='https://huggingface.co/meta-llama/Llama-3.1-70B-Instruct'>meta-llama/Llama-3.1-70B-Instruct (few-shot)</a>,1.60@@1.60,1.47@@1.47,2.00@@2.00,1.34@@1.34,70553706496.0,128256.0,131072.0,✓,✗,60.52 ± 1.22 / 72.91 ± 1.05@@60.51964839745465,68.57 ± 0.95 / 50.90 ± 2.30@@68.56762479703879,57.57 ± 0.79 / 78.54 ± 0.46@@57.56688398132251,63.94 ± 0.72 / 54.33 ± 1.19@@63.9398431462442,40.59 ± 0.44 / 40.53 ± 0.29@@40.59144661252646,79.86 ± 0.86 / 67.69 ± 1.93@@79.86066130372468,80.18 ± 0.93 / 68.67 ± 3.23@@80.17544080284186,56.73 ± 1.75 / 76.47 ± 1.37@@56.72836535878856,37.64 ± 3.25 / 64.40 ± 3.15@@37.638500780756765,74.92 ± 1.35 / 49.22 ± 2.20@@74.92381588285137,81.69 ± 0.62 / 81.33 ± 0.85@@81.68601698785386,72.16 ± 1.93 / 50.59 ± 2.82@@72.16440437487452,63.97 ± 1.73 / 81.83 ± 0.85@@63.96774957808214,66.35 ± 0.76 / 57.99 ± 1.26@@66.34580773585478,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003
📝,<a href='https://ollama.com/library/gemma3:27b-it-fp16'>ollama_chat/gemma3:27b-it-fp16 (few-shot)</a>,1.62@@1.62,1.61@@1.61,1.66@@1.66,1.58@@1.58,,,,✓,✗,56.38 ± 1.59 / 70.85 ± 1.19@@56.38274309469195,63.09 ± 1.90 / 50.67 ± 2.61@@63.089608248790476,56.28 ± 1.84 / 77.57 ± 1.04@@56.27680942386728,62.80 ± 0.90 / 53.53 ± 1.50@@62.80043783194242,64.30 ± 0.89 / 76.10 ± 0.63@@64.29707679147168,74.40 ± 1.43 / 66.94 ± 2.52@@74.39510836810317,72.04 ± 1.42 / 65.71 ± 2.38@@72.03949569026555,61.11 ± 0.73 / 80.31 ± 0.39@@61.11335335759704,54.28 ± 2.06 / 76.86 ± 1.07@@54.27979848104372,66.82 ± 1.22 / 37.18 ± 1.19@@66.82270414254356,78.10 ± 1.26 / 78.49 ± 1.00@@78.09536310728716,64.10 ± 3.03 / 56.61 ± 2.99@@64.10305875275635,60.11 ± 1.05 / 79.68 ± 0.68@@60.11270124754395,62.99 ± 0.69 / 53.13 ± 1.13@@62.9882040889986,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
📝,<a href='https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct (few-shot)</a>,1.63@@1.63,1.51@@1.51,1.98@@1.98,1.38@@1.38,70553706496.0,128256.0,131072.0,✓,✗,59.89 ± 0.97 / 72.51 ± 0.84@@59.89211210149722,67.07 ± 1.22 / 48.82 ± 2.09@@67.06667524215585,56.56 ± 2.10 / 77.06 ± 1.62@@56.56096729716398,62.78 ± 0.39 / 49.02 ± 0.61@@62.77754255397783,41.11 ± 0.41 / 40.48 ± 0.38@@41.10970924416197,79.84 ± 1.02 / 67.96 ± 2.10@@79.83736629339629,79.93 ± 0.81 / 68.93 ± 2.65@@79.92632577116983,57.84 ± 1.77 / 77.97 ± 1.19@@57.84278666902291,43.52 ± 2.51 / 69.59 ± 2.20@@43.51958684350309,69.52 ± 1.07 / 40.92 ± 1.45@@69.52442913263751,81.15 ± 0.64 / 80.25 ± 0.97@@81.14877715130234,71.98 ± 2.05 / 51.44 ± 3.30@@71.9772104255384,64.46 ± 1.14 / 81.56 ± 0.73@@64.46015051141342,64.14 ± 1.00 / 51.22 ± 1.77@@64.14300091599014,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003
📝,"<a href='https://platform.openai.com/docs/models/gpt-4o'>gpt-4o-2024-05-13 (zero-shot, val)</a>",1.64@@1.64,1.58@@1.58,1.92@@1.92,1.42@@1.42,,200019.0,8191.0,✓,✗,53.07 ± 1.45 / 68.64 ± 1.04@@53.072441743589884,64.80 ± 1.56 / 45.57 ± 1.47@@64.79769253130317,64.18 ± 3.36 / 81.90 ± 1.68@@64.1777759757754,63.09 ± 1.29 / 49.02 ± 1.18@@63.08891304537468,36.27 ± 1.67 / 35.73 ± 0.92@@36.27418415804607,77.72 ± 1.59 / 57.89 ± 2.50@@77.71944880756472,71.70 ± 2.52 / 50.78 ± 2.60@@71.70436585173273,71.70 ± 2.39 / 85.59 ± 1.30@@71.69890606124767,58.79 ± 1.33 / 76.83 ± 0.92@@58.78724887700185,72.82 ± 0.88 / 40.95 ± 1.31@@72.81905970663874,74.85 ± 2.89 / 74.58 ± 2.54@@74.85129158055011,75.06 ± 2.26 / 44.92 ± 1.50@@75.06377528453866,65.23 ± 2.16 / 80.52 ± 1.22@@65.22993669891697,63.85 ± 1.17 / 53.02 ± 1.40@@63.852505460146084,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003
📝,"<a href='https://platform.openai.com/docs/models/gpt-3.5-turbo'>gpt-3.5-turbo-0613 (few-shot, val)</a>",1.65@@1.65,1.64@@1.64,1.82@@1.82,1.48@@1.48,,100256.0,4095.0,✓,✗,52.52 ± 2.05 / 68.10 ± 1.35@@52.519715044101936,61.31 ± 2.34 / 49.86 ± 2.18@@61.31246842191167,57.63 ± 2.80 / 77.01 ± 1.83@@57.63386027920654,65.51 ± 1.48 / 57.03 ± 1.95@@65.51467384173678,58.88 ± 3.23 / 71.00 ± 2.87@@58.87826531047657,77.70 ± 2.64 / 68.71 ± 2.97@@77.70493240369429,73.92 ± 2.53 / 67.96 ± 2.67@@73.91743058632116,54.29 ± 4.27 / 73.02 ± 3.26@@54.293667671298905,32.82 ± 3.43 / 56.05 ± 4.14@@32.8165829907981,73.47 ± 1.69 / 45.35 ± 2.97@@73.4660781237623,72.77 ± 2.64 / 72.56 ± 2.45@@72.76622965720918,73.04 ± 2.74 / 61.64 ± 3.63@@73.03726762470237,58.06 ± 3.84 / 76.06 ± 2.51@@58.06237846244562,66.84 ± 1.38 / 58.02 ± 2.11@@66.84458576008727,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,12.9.0@@120900,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,12.9.0@@120900
📝,"<a href='https://ollama.com/library/gemma3:27b-it-q4_K_M'>ollama_chat/gemma3:27b-it-q4_K_M (few-shot, val)</a>",1.65@@1.65,1.68@@1.68,1.72@@1.72,1.54@@1.54,27400000000.0,262144.0,128000.0,✓,✗,56.02 ± 2.06 / 70.33 ± 1.66@@56.02246185083652,62.83 ± 1.93 / 55.69 ± 3.19@@62.83287739046914,54.27 ± 2.85 / 76.19 ± 1.68@@54.27073950814633,61.33 ± 0.71 / 52.46 ± 1.24@@61.32973788189322,64.84 ± 2.33 / 75.55 ± 1.61@@64.83735041612559,71.74 ± 1.20 / 68.48 ± 2.54@@71.73815739414555,67.96 ± 3.08 / 61.58 ± 3.08@@67.95751158316759,59.26 ± 1.76 / 78.87 ± 1.18@@59.26140048830021,51.70 ± 3.57 / 74.95 ± 1.83@@51.7017148807285,64.09 ± 1.51 / 33.06 ± 1.97@@64.08556929171955,77.29 ± 2.25 / 78.34 ± 1.52@@77.28669112063396,67.07 ± 1.61 / 61.00 ± 2.45@@67.06679674123419,66.79 ± 3.14 / 82.90 ± 1.81@@66.79050970969274,58.81 ± 0.81 / 48.80 ± 1.73@@58.81439349092765,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300
📝,<a href='https://huggingface.co/google/gemma-3-12b-it'>google/gemma-3-12b-it (few-shot)</a>,1.67@@1.67,1.65@@1.65,1.78@@1.78,1.60@@1.60,12187325040.0,262144.0,128000.0,✓,✗,56.67 ± 1.45 / 71.25 ± 0.98@@56.665855330913175,60.61 ± 1.76 / 39.25 ± 2.41@@60.61352682383866,56.51 ± 1.91 / 77.61 ± 1.20@@56.51410997928795,64.61 ± 0.42 / 55.95 ± 0.97@@64.61422906461549,63.08 ± 0.90 / 75.35 ± 0.55@@63.0753426903633,66.67 ± 0.91 / 51.27 ± 1.19@@66.66802821644463,67.08 ± 1.32 / 53.14 ± 2.06@@67.08370348984467,63.35 ± 1.44 / 81.54 ± 0.75@@63.34936098816948,50.21 ± 1.73 / 74.70 ± 1.06@@50.21352266436535,66.84 ± 1.62 / 37.77 ± 1.59@@66.83728449950674,79.38 ± 0.87 / 78.27 ± 1.03@@79.37787259485421,61.45 ± 2.76 / 43.05 ± 2.57@@61.45011113535425,59.51 ± 1.68 / 79.43 ± 0.92@@59.514452812334206,63.88 ± 0.60 / 54.82 ± 0.94@@63.87549611060945,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.4.2.dev0@@150402,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301
🔍,<a href='https://huggingface.co/danish-foundation-models/encoder-large-v1'>danish-foundation-models/encoder-large-v1</a>,1.68@@1.68,1.61@@1.61,1.83@@1.83,1.60@@1.60,355090435.0,50000.0,512.0,✓,✗,49.07 ± 1.31 / 65.35 ± 1.15@@49.073850025866605,69.52 ± 1.94 / 65.17 ± 1.63@@69.51749897963512,71.73 ± 2.92 / 84.39 ± 2.03@@71.73102651019786,52.84 ± 1.53 / 46.71 ± 1.45@@52.83998631418522,50.09 ± 11.20 / 63.00 ± 9.19@@50.08776548874555,83.54 ± 1.08 / 82.49 ± 0.87@@83.54403676556228,82.68 ± 0.69 / 81.22 ± 0.81@@82.6792949810024,62.95 ± 4.72 / 79.71 ± 2.94@@62.94616581512867,40.41 ± 12.70 / 68.45 ± 6.58@@40.405641973018405,67.74 ± 2.21 / 51.85 ± 2.64@@67.73576317375856,75.11 ± 1.19 / 74.74 ± 0.94@@75.11327229061432,74.18 ± 2.01 / 68.89 ± 2.46@@74.17802494687447,64.11 ± 3.27 / 81.63 ± 1.66@@64.10517406662002,52.40 ± 1.77 / 46.79 ± 1.61@@52.39929337752881,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
🧠,<a href='https://huggingface.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt (few-shot)</a>,1.68@@1.68,1.76@@1.76,1.81@@1.81,1.49@@1.49,12187325040.0,262144.0,128000.0,✓,✗,52.61 ± 1.41 / 67.83 ± 1.30@@52.60938588795027,52.50 ± 1.99 / 39.06 ± 2.94@@52.50132730512205,56.32 ± 2.63 / 76.82 ± 1.86@@56.31952573581047,69.00 ± 0.43 / 63.80 ± 0.61@@69.00130314613665,59.44 ± 2.15 / 73.62 ± 1.37@@59.43764290346355,63.13 ± 1.15 / 54.60 ± 3.05@@63.130198750799195,61.82 ± 1.56 / 53.95 ± 2.18@@61.816600897700425,61.18 ± 1.73 / 79.65 ± 1.11@@61.180791437982485,50.41 ± 3.72 / 73.70 ± 2.66@@50.4102178430932,73.98 ± 5.27 / 50.10 ± 6.45@@73.98288317817556,81.99 ± 0.56 / 80.62 ± 1.30@@81.99497200676889,60.20 ± 1.52 / 44.92 ± 4.09@@60.19674054690017,61.42 ± 2.17 / 80.05 ± 1.47@@61.42470548740002,68.37 ± 0.94 / 62.66 ± 2.02@@68.37265800874016,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.2.dev0@@150402,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
📝,<a href='https://huggingface.co/google/gemma-2-27b-it'>google/gemma-2-27b-it (few-shot)</a>,1.68@@1.68,1.66@@1.66,1.70@@1.70,1.67@@1.67,27227128320.0,256000.0,8192.0,✓,✗,58.92 ± 1.81 / 72.67 ± 1.43@@58.91536378807227,58.59 ± 2.22 / 34.06 ± 1.66@@58.58674796361901,56.03 ± 1.46 / 77.98 ± 0.72@@56.02995684522849,64.29 ± 0.48 / 55.36 ± 0.90@@64.28741018744752,67.35 ± 0.59 / 78.51 ± 0.48@@67.35298114592926,65.62 ± 0.97 / 42.46 ± 2.10@@65.62467540916288,64.70 ± 1.10 / 43.61 ± 2.61@@64.69972366366375,60.22 ± 1.30 / 79.62 ± 0.83@@60.21944137830978,48.32 ± 1.57 / 74.03 ± 0.78@@48.316098598448484,70.22 ± 1.24 / 40.72 ± 1.58@@70.22341959278313,79.11 ± 0.70 / 78.90 ± 0.73@@79.10918463572573,53.47 ± 1.57 / 30.36 ± 2.43@@53.465162258342716,59.30 ± 1.16 / 79.58 ± 0.62@@59.29537591529418,65.00 ± 0.55 / 55.78 ± 0.79@@64.99861667736052,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402,15.4.2.dev0@@150402
📝,<a href='https://huggingface.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct (few-shot)</a>,1.72@@1.72,1.59@@1.59,2.07@@2.07,1.51@@1.51,72706203648.0,152064.0,32768.0,✓,✗,54.50 ± 1.55 / 69.89 ± 1.02@@54.50245805775646,63.81 ± 1.27 / 42.18 ± 2.59@@63.81398165175176,57.19 ± 1.30 / 78.30 ± 0.79@@57.193622064101454,67.26 ± 0.69 / 55.77 ± 0.97@@67.26418879394669,39.85 ± 0.65 / 39.69 ± 0.52@@39.84702501889114,72.21 ± 1.25 / 49.58 ± 2.05@@72.20709874153111,70.24 ± 1.23 / 52.09 ± 2.38@@70.24170336145446,63.14 ± 1.27 / 81.41 ± 0.62@@63.14315211250159,43.24 ± 1.56 / 71.36 ± 0.86@@43.24488479341772,73.20 ± 2.14 / 43.41 ± 3.02@@73.19899041091432,79.89 ± 0.97 / 80.23 ± 0.85@@79.89367811810679,62.12 ± 2.14 / 39.19 ± 2.64@@62.123626022245816,61.71 ± 1.08 / 80.82 ± 0.54@@61.70943546167471,66.56 ± 0.46 / 54.99 ± 0.94@@66.55547349114569,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
🔍,<a href='https://huggingface.co/intfloat/multilingual-e5-large'>intfloat/multilingual-e5-large</a>,1.75@@1.75,1.92@@1.92,1.87@@1.87,1.47@@1.47,559893507.0,250002.0,512.0,✓,✗,52.91 ± 1.69 / 68.05 ± 1.36@@52.906687440039704,62.23 ± 2.29 / 59.24 ± 2.21@@62.23039328320195,49.76 ± 9.48 / 72.95 ± 6.77@@49.76338042269452,52.58 ± 1.11 / 45.59 ± 1.26@@52.575816802685765,61.71 ± 1.19 / 72.31 ± 1.61@@61.70978027794361,86.39 ± 2.22 / 87.33 ± 1.69@@86.39167684989927,80.62 ± 1.96 / 83.13 ± 1.64@@80.61952229159061,59.82 ± 2.07 / 78.66 ± 1.47@@59.8157943918449,19.01 ± 6.77 / 57.90 ± 3.90@@19.01237398770856,61.25 ± 2.17 / 40.87 ± 2.95@@61.247788265575096,79.65 ± 1.05 / 78.90 ± 1.32@@79.65420573388602,80.36 ± 1.12 / 78.57 ± 1.27@@80.35953004847902,63.15 ± 1.65 / 81.06 ± 0.95@@63.15280509045855,53.49 ± 0.89 / 46.99 ± 1.18@@53.490682031504456,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
