model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,angry_tweets_primary,angry_tweets_secondary,dansk_primary,dansk_secondary,scala_da_primary,scala_da_secondary,scandiqa_da_primary,scandiqa_da_secondary,nordjylland_news_primary,nordjylland_news_secondary,danske_talemaader_primary,danske_talemaader_secondary,danish_citizen_tests_primary,danish_citizen_tests_secondary,hellaswag_da_primary,hellaswag_da_secondary,swerec_primary,swerec_secondary,suc3_primary,suc3_secondary,scala_sv_primary,scala_sv_secondary,scandiqa_sv_primary,scandiqa_sv_secondary,swedn_primary,swedn_secondary,mmlu_sv_primary,mmlu_sv_secondary,hellaswag_sv_primary,hellaswag_sv_secondary,norec_primary,norec_secondary,norne_nb_primary,norne_nb_secondary,norne_nn_primary,norne_nn_secondary,scala_nb_primary,scala_nb_secondary,scala_nn_primary,scala_nn_secondary,norquad_primary,norquad_secondary,no_sammendrag_primary,no_sammendrag_secondary,mmlu_no_primary,mmlu_no_secondary,hellaswag_no_primary,hellaswag_no_secondary,hotter_and_colder_sentiment_primary,hotter_and_colder_sentiment_secondary,mim_gold_ner_primary,mim_gold_ner_secondary,scala_is_primary,scala_is_secondary,nqii_primary,nqii_secondary,rrn_primary,rrn_secondary,arc_is_primary,arc_is_secondary,winogrande_is_primary,winogrande_is_secondary,fosent_primary,fosent_secondary,fone_primary,fone_secondary,scala_fo_primary,scala_fo_secondary,foqa_primary,foqa_secondary,dutch_social_primary,dutch_social_secondary,conll_nl_primary,conll_nl_secondary,scala_nl_primary,scala_nl_secondary,squad_nl_primary,squad_nl_secondary,wiki_lingua_nl_primary,wiki_lingua_nl_secondary,mmlu_nl_primary,mmlu_nl_secondary,hellaswag_nl_primary,hellaswag_nl_secondary,sb10k_primary,sb10k_secondary,germeval_primary,germeval_secondary,scala_de_primary,scala_de_secondary,germanquad_primary,germanquad_secondary,mlsum_primary,mlsum_secondary,mmlu_de_primary,mmlu_de_secondary,hellaswag_de_primary,hellaswag_de_secondary,sst5_primary,sst5_secondary,conll_en_primary,conll_en_secondary,scala_en_primary,scala_en_secondary,squad_primary,squad_secondary,cnn_dailymail_primary,cnn_dailymail_secondary,mmlu_primary,mmlu_secondary,hellaswag_primary,hellaswag_secondary,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version,nordjylland_news_version,danske_talemaader_version,danish_citizen_tests_version,hellaswag_da_version,swerec_version,suc3_version,scala_sv_version,scandiqa_sv_version,swedn_version,mmlu_sv_version,hellaswag_sv_version,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,no_sammendrag_version,mmlu_no_version,hellaswag_no_version,hotter_and_colder_sentiment_version,mim_gold_ner_version,scala_is_version,nqii_version,rrn_version,arc_is_version,winogrande_is_version,fosent_version,fone_version,scala_fo_version,foqa_version,dutch_social_version,conll_nl_version,scala_nl_version,squad_nl_version,wiki_lingua_nl_version,mmlu_nl_version,hellaswag_nl_version,sb10k_version,germeval_version,scala_de_version,germanquad_version,mlsum_version,mmlu_de_version,hellaswag_de_version,sst5_version,conll_en_version,scala_en_version,squad_version,cnn_dailymail_version,mmlu_version,hellaswag_version,speed_version
EuropeanParliament/EUBERT,3.37,999.0,94.0,66.0,512,20070.41,True,False,27.33,49.78,41.09,40.4,21.58,59.41,26.68,20.68,,,,,,,,,59.0,56.25,38.36,37.63,19.4,58.63,26.64,19.23,,,,,,,19.81,40.9,49.92,49.17,44.37,43.43,8.64,53.17,3.11,50.44,26.33,15.89,,,,,,,36.28,56.0,29.71,28.69,2.71,49.68,27.51,6.5,,,,,,,0.94,23.64,59.5,58.98,3.25,49.77,10.14,5.56,14.86,35.33,49.54,50.44,27.9,62.47,29.4,20.65,,,,,,,40.29,59.76,49.95,49.1,25.88,61.54,8.94,2.59,,,,,,,17.53,38.67,71.43,71.51,23.93,59.48,42.98,31.01,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,13.3.0,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,13.3.0,12.6.1,12.6.1,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0
ibm-granite/granite-3.0-3b-a800m-base (few-shot),3.39,3.37,3374.0,49.0,4096,10504.04,True,False,6.85,19.42,31.8,23.06,0.97,36.48,55.19,49.83,63.43,16.85,15.97,36.37,17.19,45.23,3.07,27.05,57.18,62.72,36.01,24.61,1.52,38.3,56.97,51.04,58.57,15.09,13.42,34.81,7.33,29.31,31.9,53.03,40.08,33.17,43.96,32.96,-0.07,35.01,1.27,38.1,43.13,23.32,59.98,11.97,11.78,33.75,5.48,28.09,1.67,20.92,18.07,18.73,-0.72,33.96,30.66,12.27,56.49,8.77,0.32,24.82,1.0,51.21,4.35,26.17,41.27,40.85,-0.2,43.01,29.77,19.69,9.91,35.24,42.52,33.08,0.69,36.1,66.87,56.95,63.71,17.04,20.93,40.35,24.42,42.26,31.86,42.96,40.61,28.49,5.36,37.83,47.72,25.99,66.77,23.71,22.17,41.55,22.61,41.16,66.65,65.72,49.44,39.69,12.56,54.2,75.62,63.29,66.38,21.17,32.06,49.12,58.21,68.63,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.3.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
utter-project/EuroLLM-1.7B-Instruct (few-shot),3.45,3.79,1657.0,128.0,4096,15008.58,True,False,37.92,46.23,19.61,17.44,2.81,38.15,56.82,50.05,63.91,18.26,2.54,25.25,17.85,40.98,0.52,25.6,72.24,68.89,27.41,24.45,0.13,36.22,56.59,49.77,63.23,17.4,3.39,25.11,0.54,25.45,30.63,37.24,31.43,30.82,36.92,37.8,0.98,42.0,1.67,34.92,55.11,33.24,59.45,10.85,1.85,24.15,-1.18,24.23,6.83,31.41,13.29,14.72,0.92,42.09,24.16,7.49,56.76,9.8,0.59,23.09,1.87,49.58,4.25,26.21,33.53,35.41,-2.32,45.19,25.07,15.41,7.03,34.16,32.45,30.83,5.58,44.79,61.82,51.18,61.96,14.66,2.53,25.95,1.04,25.13,43.18,58.22,28.49,24.73,2.92,44.65,48.47,23.26,64.64,17.38,2.6,26.76,1.46,26.0,58.61,62.78,37.47,32.39,5.3,46.95,74.41,63.26,67.24,21.22,3.93,28.88,1.26,25.56,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.3.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.3.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
HuggingFaceTB/SmolLM2-1.7B-Instruct (few-shot),3.5,3.72,1711.0,49.0,8192,15970.88,True,False,18.49,35.29,29.44,20.31,1.73,38.18,50.4,44.39,61.76,15.33,22.03,37.29,12.61,41.82,2.06,26.03,64.46,69.83,37.37,26.31,4.49,46.63,49.57,43.92,54.5,12.92,8.61,29.95,4.51,27.64,24.05,40.36,37.6,29.3,38.38,30.13,3.56,38.6,2.61,38.57,25.34,13.58,48.55,8.21,9.52,30.72,3.62,27.07,6.86,23.96,26.23,23.26,2.69,45.61,28.57,10.84,60.43,15.28,1.93,25.06,3.27,54.02,3.94,30.51,40.28,42.15,-0.26,38.29,17.52,10.68,1.56,28.78,31.84,28.66,5.05,43.99,48.56,40.55,60.35,13.63,13.39,34.55,4.57,27.42,27.03,42.8,32.54,26.92,8.95,51.86,39.18,18.38,59.91,16.05,12.3,32.6,6.28,27.82,66.78,61.52,47.58,39.52,20.53,58.47,69.96,58.07,62.45,19.6,32.9,49.16,25.32,42.5,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.3.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.3.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
sentence-transformers/distiluse-base-multilingual-cased-v1,3.5,999.0,135.0,120.0,512,34041.87,True,False,27.78,49.38,46.78,44.41,3.04,46.85,23.22,15.52,,,,,,,,,60.06,55.65,49.86,44.53,3.18,48.38,23.46,16.08,,,,,,,25.98,40.58,60.76,58.35,59.62,55.9,2.65,48.09,3.47,48.98,0.82,0.2,,,,,,,35.18,55.52,45.47,47.67,1.14,48.47,21.45,1.63,,,,,,,9.82,36.4,75.63,76.23,3.65,48.34,0.0,0.0,17.82,37.11,58.67,68.27,9.27,52.04,8.02,2.17,,,,,,,51.7,67.81,28.29,27.54,2.12,49.13,0.69,0.03,,,,,,,36.75,47.8,71.33,73.43,0.24,47.55,9.37,1.3,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,13.3.0,12.6.1,0.0.0,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.8.0,12.8.0,12.8.0,12.8.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.8.0
sentence-transformers/distiluse-base-multilingual-cased,3.57,999.0,135.0,120.0,512,19205.51,True,False,30.13,46.78,26.96,25.63,2.01,48.79,16.49,8.25,,,,,,,,,63.04,56.5,51.67,53.62,2.32,48.77,17.75,8.93,,,,,,,32.83,43.32,63.79,67.14,60.96,64.65,1.09,48.72,0.18,47.3,0.0,0.0,,,,,,,33.35,53.45,47.62,50.59,2.64,49.47,12.2,1.27,,,,,,,10.41,34.36,77.16,78.0,4.09,47.26,0.0,0.0,9.66,31.17,56.98,66.91,19.37,56.74,7.91,3.11,,,,,,,48.71,65.32,40.2,40.33,5.53,51.1,1.12,0.06,,,,,,,36.22,45.8,71.9,74.21,0.47,48.67,8.5,2.44,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,13.3.0,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,13.3.0,12.6.1,0.0.0,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0
sentence-transformers/distiluse-base-multilingual-cased-v2,3.62,999.0,135.0,120.0,512,33246.61,True,False,30.13,46.78,26.96,25.63,2.01,48.79,16.4,8.22,,,,,,,,,62.71,57.24,51.67,53.62,2.32,48.77,17.62,8.76,,,,,,,32.83,43.32,63.79,67.14,60.96,64.65,1.09,48.72,0.18,47.3,0.0,0.0,,,,,,,34.19,53.26,48.62,51.75,2.64,49.47,12.16,1.22,,,,,,,9.59,32.95,77.0,77.85,4.09,47.26,0.0,0.0,2.7,26.12,49.82,62.06,6.6,50.71,6.8,2.13,,,,,,,49.38,66.1,41.82,42.03,4.77,49.48,0.92,0.05,,,,,,,36.22,45.8,71.9,74.21,0.47,48.67,8.51,2.4,,,,,,,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,13.3.0,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,13.3.0,12.6.1,0.0.0,13.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.8.0,12.8.0,12.8.0,12.8.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.8.0
HuggingFaceTB/SmolLM2-1.7B (few-shot),3.64,3.65,1711.0,49.0,8192,16248.88,True,False,9.93,23.57,24.47,18.7,1.22,35.31,47.54,42.09,61.62,14.36,19.65,36.46,19.01,46.27,1.34,25.88,68.31,72.51,35.96,26.41,3.61,49.47,49.32,43.26,57.04,13.24,10.86,31.65,2.53,26.17,23.25,36.07,26.7,24.56,28.23,28.27,-0.47,33.93,0.26,33.32,26.51,13.4,56.31,9.78,11.12,33.35,2.53,26.29,8.08,27.38,20.5,18.93,0.83,45.84,28.36,10.84,57.52,13.43,3.16,26.13,-1.83,49.8,3.16,23.85,27.91,30.98,-0.48,33.97,26.11,16.56,4.6,29.94,22.84,25.11,2.55,40.88,48.35,40.33,58.31,13.08,14.32,35.65,3.87,27.14,19.69,29.0,28.67,25.27,5.07,47.6,38.33,18.43,64.25,18.9,15.15,35.75,6.23,28.39,62.32,67.09,41.57,37.51,8.04,48.16,67.43,56.01,65.06,20.12,34.02,50.12,22.81,41.37,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.3.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.3.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
3ebdola/Dialectal-Arabic-XLM-R-Base,3.88,999.0,278.0,250.0,512,12782.54,True,False,22.07,44.7,36.51,36.31,1.63,45.36,9.48,3.09,,,,,,,,,44.95,48.17,42.78,40.46,1.43,48.66,16.77,8.71,,,,,,,12.69,32.23,55.55,52.52,53.53,50.23,2.79,47.71,1.66,46.6,0.6,0.0,,,,,,,20.94,42.72,46.95,50.04,1.4,48.02,28.8,10.48,,,,,,,1.49,20.15,73.34,74.24,0.97,44.25,0.01,0.0,8.39,30.69,44.46,60.04,2.07,48.42,9.24,4.3,,,,,,,32.66,53.17,30.18,29.11,2.1,47.1,4.04,0.46,,,,,,,1.92,28.84,68.25,70.44,1.08,47.42,10.0,2.79,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,13.3.0,12.6.1,12.6.1,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.8.0,12.8.0,12.8.0,12.8.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.8.0
dbmdz/bert-tiny-historic-multilingual-cased,3.92,999.0,5.0,32.0,512,78027.26,True,False,20.71,40.07,33.62,31.69,1.19,48.46,7.68,4.19,,,,,,,,,57.41,53.5,26.87,25.42,-1.06,48.72,10.83,5.54,,,,,,,19.19,37.36,46.11,43.54,35.18,33.22,2.76,50.99,0.42,49.39,0.0,0.0,,,,,,,9.46,28.69,43.93,46.59,0.04,47.53,21.73,6.13,,,,,,,-1.81,15.54,72.08,72.93,2.65,48.48,0.0,0.0,8.45,29.85,41.38,56.29,1.55,49.24,6.62,4.4,,,,,,,33.61,55.01,33.18,32.48,1.83,49.4,0.0,0.0,,,,,,,25.85,40.72,65.85,68.72,1.21,50.03,11.02,4.0,,,,,,,0.0.0,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,0.0.0
HuggingFaceTB/SmolLM2-360M (few-shot),4.11,4.21,362.0,49.0,8192,22023.39,True,False,3.61,19.01,12.68,12.32,1.79,36.23,32.48,28.12,56.85,10.17,-0.03,23.99,6.03,37.58,0.2,25.12,11.52,29.3,18.22,17.97,1.72,34.96,31.25,27.27,45.57,9.2,0.69,22.1,0.68,25.25,6.21,23.74,26.6,23.6,23.7,23.04,-0.39,33.4,0.21,35.33,10.23,4.65,48.59,6.8,-1.13,21.8,-0.51,24.82,1.77,25.49,13.43,13.81,1.14,36.93,16.21,3.71,51.93,8.48,0.95,22.52,2.9,56.72,3.06,28.82,28.14,28.12,-0.06,33.85,6.05,2.43,6.84,27.74,20.95,25.63,-1.5,34.07,30.14,22.67,53.89,10.53,-0.45,24.24,-0.31,23.58,19.64,36.97,19.94,18.01,0.0,33.32,20.5,8.78,57.06,11.78,0.32,22.52,-0.65,24.04,43.97,55.08,31.14,28.54,3.49,46.52,60.41,47.91,62.2,17.61,0.12,23.0,0.13,24.53,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.3.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.3.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
HuggingFaceTB/SmolLM2-360M-Instruct (few-shot),4.16,4.44,362.0,49.0,8192,21776.98,True,False,2.66,16.29,8.97,8.62,1.65,44.5,28.73,24.92,55.39,10.01,0.28,23.92,3.55,35.45,-0.41,25.02,9.34,26.0,13.64,16.38,2.2,41.62,30.05,26.06,37.49,9.36,-0.0,22.03,0.78,25.5,7.6,26.47,20.37,21.57,21.27,22.34,1.31,45.75,0.51,38.71,10.53,4.8,49.27,7.39,-0.9,21.85,-1.0,24.21,3.12,27.55,13.6,13.99,0.28,37.58,16.34,4.09,50.0,7.84,-0.11,22.28,2.51,51.41,3.07,28.68,26.85,27.35,-0.12,45.84,4.02,1.39,6.73,27.67,15.68,22.21,0.63,43.48,27.47,19.73,50.53,9.14,1.3,24.43,-0.36,24.09,12.59,22.64,18.77,18.65,1.64,34.84,21.58,9.27,46.31,8.68,0.84,22.5,0.01,24.43,59.51,54.82,30.73,29.47,1.55,43.18,60.0,49.03,57.73,15.68,0.11,23.2,-0.06,24.6,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.3.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.3.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
fresh-xlm-roberta-base,4.32,999.0,278.0,250.0,512,2214.08,True,False,17.37,36.83,16.04,15.6,1.34,35.45,6.64,1.58,,,,,,,,,51.11,50.09,11.91,11.31,0.86,39.16,7.2,2.0,,,,,,,12.6,32.27,25.49,23.54,25.94,24.1,0.5,36.93,1.83,37.67,0.0,0.0,,,,,,,25.25,44.4,17.34,16.43,-0.06,36.73,21.61,1.02,,,,,,,1.07,17.71,48.7,48.51,2.37,37.68,0.0,0.0,0.92,25.39,13.09,16.25,1.93,40.76,2.7,0.26,,,,,,,23.44,42.87,8.03,8.63,-0.17,39.21,0.0,0.0,,,,,,,4.0,24.24,34.64,34.41,1.33,42.07,6.18,0.43,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,13.3.0,0.0.0,0.0.0,13.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.6.1,12.6.1,12.6.1,12.6.1,0.0.0,0.0.0,0.0.0,12.6.1
HuggingFaceTB/SmolLM2-135M (few-shot),4.45,4.36,135.0,49.0,8192,26346.08,True,False,3.79,21.06,13.72,13.41,-0.45,39.69,17.28,14.69,47.44,6.04,-0.58,25.72,10.99,38.26,-0.51,24.79,-3.03,24.39,19.15,20.52,0.06,36.05,16.55,14.18,51.51,11.46,0.02,25.25,0.04,24.92,8.84,29.74,24.37,26.91,24.69,27.6,-1.2,36.09,-0.5,36.68,2.31,0.16,53.61,6.64,-0.81,24.67,-0.71,24.42,2.1,23.56,14.74,16.01,-0.25,34.69,10.92,1.35,52.66,8.73,1.21,26.2,1.69,49.46,-0.56,25.36,25.51,26.43,0.46,36.19,3.01,0.15,2.01,15.88,17.49,18.59,-0.02,34.86,3.23,0.53,52.46,9.47,0.33,25.12,-0.1,24.87,2.74,23.3,16.89,16.63,-0.34,39.21,2.91,0.28,54.79,8.47,-0.32,25.45,0.18,25.72,26.69,34.46,31.26,30.44,1.78,43.5,22.49,13.88,52.05,12.74,1.51,25.05,-0.76,24.52,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.3.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.3.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
HuggingFaceTB/SmolLM2-135M-Instruct (few-shot),4.46,4.39,135.0,49.0,8192,25602.11,True,False,2.61,18.95,12.11,11.48,0.25,39.65,16.74,14.02,56.53,8.45,1.05,26.37,10.81,38.73,-0.5,24.15,7.41,28.42,17.09,18.78,0.47,38.19,13.94,11.73,38.3,8.09,0.3,25.76,0.06,24.33,2.78,26.17,20.89,22.28,19.62,21.82,-0.98,40.63,0.93,40.91,2.19,0.15,53.93,6.6,-0.48,25.53,-0.53,24.68,3.01,22.58,13.7,15.01,-0.83,32.99,10.22,0.94,50.3,7.82,1.1,25.43,-0.07,46.28,3.78,27.36,23.22,24.3,0.41,39.64,3.34,0.54,-0.62,16.18,15.82,16.46,1.16,34.3,5.89,3.25,54.82,9.74,1.36,25.96,0.34,25.4,2.51,21.27,15.54,15.29,0.36,39.04,5.69,1.77,49.41,7.27,-1.46,24.84,-0.18,24.79,18.64,28.83,29.96,28.98,1.85,44.03,36.91,26.9,52.96,14.23,1.34,25.67,0.1,24.71,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.3.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.3.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0,13.1.0
