model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,allocine,eltec,scala_fr,fquad,orange_sum,mmlu_fr,hellaswag_fr,allocine_version,eltec_version,scala_fr_version,fquad_version,orange_sum_version,mmlu_fr_version,hellaswag_fr_version
<a href='https://huggingface.co/TrustLLMeu/baseline-7-8b_2-3t-tokens_llama'>TrustLLMeu/baseline-7-8b_2-3t-tokens_llama (few-shot)</a>,🧠,2.83@@2.83,7799574528.0,100096.0,4096.0,✓,✗,91.81 ± 0.61 / 95.88 ± 0.32@@91.8104201678748,45.30 ± 2.43 / 43.23 ± 2.59@@45.29698992742016,0.33 ± 1.42 / 33.92 ± 0.59@@0.3288892906402213,63.46 ± 1.55 / 40.30 ± 1.16@@63.45728252899054,64.78 ± 1.27 / 19.36 ± 1.37@@64.78124153072713,5.86 ± 1.05 / 27.41 ± 1.01@@5.863735751579989,1.11 ± 1.54 / 25.62 ± 0.92@@1.1103311282451738,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0.dev0@@150000,15.0.0.dev0@@150000,15.0.0.dev0@@150000
<a href='https://huggingface.co/openGPT-X/Teuken-7B-instruct-commercial-v0.4'>openGPT-X/Teuken-7B-instruct-commercial-v0.4 (few-shot)</a>,📝,2.89@@2.89,7452725248.0,250680.0,4096.0,✓,✗,79.50 ± 4.50 / 88.53 ± 2.83@@79.49628839873792,36.71 ± 1.46 / 25.25 ± 1.87@@36.711617659845,0.22 ± 0.43 / 33.37 ± 0.27@@0.21930477306603716,55.78 ± 3.04 / 31.24 ± 2.60@@55.7770158744522,67.39 ± 0.15 / 21.51 ± 0.17@@67.39319420157699,12.71 ± 0.96 / 33.59 ± 0.65@@12.708304470065777,11.11 ± 0.89 / 31.26 ± 0.81@@11.113864818217342,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/TrustLLMeu/baseline-7-8b_1t-tokens_llama'>TrustLLMeu/baseline-7-8b_1t-tokens_llama (few-shot)</a>,🧠,2.90@@2.90,7799574528.0,100096.0,4096.0,✓,✗,91.02 ± 0.74 / 95.46 ± 0.40@@91.0222316709019,43.85 ± 1.98 / 42.97 ± 1.97@@43.84682739649614,2.37 ± 1.42 / 34.99 ± 1.23@@2.368357569245149,58.60 ± 1.57 / 37.21 ± 1.38@@58.59666987167414,64.29 ± 1.01 / 17.91 ± 1.16@@64.28655056573916,1.48 ± 0.53 / 24.09 ± 0.50@@1.484103087519436,-0.24 ± 1.11 / 25.32 ± 0.50@@-0.24235534179376456,15.0.0.dev0@@150000,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B (few-shot)</a>,🤔,2.91@@2.91,751632384.0,151936.0,40960.0,✓,✗,76.18 ± 1.44 / 87.95 ± 0.75@@76.1836300504006,31.58 ± 1.32 / 26.57 ± 1.49@@31.57626247158537,10.13 ± 2.08 / 54.09 ± 1.18@@10.134555603261193,49.56 ± 0.95 / 26.57 ± 1.16@@49.5550012867875,65.12 ± 0.08 / 15.39 ± 0.14@@65.11930800697883,18.50 ± 1.39 / 37.48 ± 1.14@@18.497972980174595,11.04 ± 2.78 / 33.36 ± 1.98@@11.039643391455852,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701
<a href='https://huggingface.co/meta-llama/Llama-3.2-1B-Instruct'>meta-llama/Llama-3.2-1B-Instruct (few-shot)</a>,📝,2.95@@2.95,1235814400.0,128256.0,131072.0,✓,✗,81.92 ± 1.60 / 90.69 ± 0.99@@81.92389968691546,45.01 ± 1.36 / 33.37 ± 2.22@@45.00890903322726,3.12 ± 1.09 / 37.44 ± 3.06@@3.119438021725542,46.53 ± 2.29 / 26.05 ± 1.68@@46.53009720530393,65.61 ± 0.15 / 19.10 ± 0.44@@65.60579781595152,6.99 ± 0.61 / 27.67 ± 0.45@@6.985079493273616,3.36 ± 1.20 / 26.36 ± 0.79@@3.3569014845913063,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-1.7B'>HuggingFaceTB/SmolLM2-1.7B (few-shot)</a>,🧠,3.02@@3.02,1711376384.0,49152.0,8192.0,✓,✗,89.40 ± 0.91 / 94.62 ± 0.50@@89.39854130212396,35.20 ± 2.03 / 30.35 ± 1.94@@35.196352071240625,4.76 ± 1.49 / 41.50 ± 3.95@@4.764605376721623,44.34 ± 1.88 / 26.51 ± 1.27@@44.33697380961637,62.68 ± 1.20 / 16.26 ± 1.20@@62.68126625131117,9.18 ± 1.01 / 30.52 ± 0.84@@9.175353921512045,4.18 ± 1.31 / 26.63 ± 0.65@@4.17872310344307,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/BSC-LT/salamandra-2b-instruct'>BSC-LT/salamandra-2b-instruct (few-shot)</a>,📝,3.02@@3.02,2253490176.0,256000.0,8192.0,✓,✗,83.41 ± 2.17 / 91.28 ± 1.26@@83.4133346911679,31.20 ± 2.27 / 30.19 ± 2.40@@31.199794557944386,-1.10 ± 1.31 / 34.12 ± 0.80@@-1.0992894905922213,63.61 ± 0.81 / 35.05 ± 0.94@@63.60619526215753,64.67 ± 0.65 / 17.76 ± 1.07@@64.67309222294716,1.37 ± 1.03 / 25.87 ± 1.01@@1.3699361257424394,1.33 ± 1.00 / 25.24 ± 0.69@@1.3288272207125815,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-1.7B-Instruct'>HuggingFaceTB/SmolLM2-1.7B-Instruct (few-shot)</a>,📝,3.03@@3.03,1711376384.0,49152.0,8192.0,✓,✗,85.81 ± 0.85 / 92.80 ± 0.47@@85.80555242432291,26.15 ± 5.81 / 23.15 ± 3.17@@26.14778290742622,4.73 ± 2.37 / 34.98 ± 1.95@@4.734291672146653,52.23 ± 1.40 / 26.85 ± 0.80@@52.2321923053543,64.51 ± 0.14 / 15.30 ± 0.18@@64.50731700111646,8.28 ± 1.03 / 30.54 ± 0.82@@8.28272824229537,5.71 ± 1.44 / 28.21 ± 0.95@@5.714485500117515,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://ollama.com/library/gemma3:1b'>ollama_chat/gemma3:1b (few-shot)</a>,📝,3.06@@3.06,1000000000.0,262144.0,32768.0,✓,✗,75.28 ± 4.07 / 85.99 ± 2.69@@75.28370500605533,26.92 ± 1.41 / 20.21 ± 0.81@@26.920399886466654,11.80 ± 0.97 / 53.82 ± 1.38@@11.804559540276102,46.30 ± 1.26 / 24.28 ± 1.09@@46.30007746029212,65.38 ± 0.10 / 15.13 ± 0.26@@65.37586902006296,7.59 ± 0.92 / 29.91 ± 0.82@@7.59438554966024,5.83 ± 0.90 / 28.17 ± 0.69@@5.8272464890022375,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://huggingface.co/infly/OpenCoder-8B-Base'>infly/OpenCoder-8B-Base (few-shot)</a>,📝,3.08@@3.08,7771263040.0,96640.0,8192.0,✓,✗,84.15 ± 0.69 / 92.03 ± 0.34@@84.15254340320354,48.58 ± 2.25 / 42.72 ± 2.85@@48.5829808362518,3.82 ± 1.44 / 49.83 ± 1.53@@3.8172674662335018,33.24 ± 2.14 / 0.28 ± 0.15@@33.237264100859704,58.94 ± 1.40 / 13.15 ± 1.03@@58.94088328815996,7.27 ± 1.66 / 29.24 ± 1.37@@7.271400294590061,4.14 ± 1.74 / 27.37 ± 1.00@@4.138456218960713,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/google/gemma-3-1b-it'>google/gemma-3-1b-it (few-shot)</a>,📝,3.08@@3.08,999885952.0,262144.0,32768.0,✓,✗,86.17 ± 1.78 / 92.93 ± 1.05@@86.16548357664216,23.34 ± 1.84 / 22.36 ± 1.83@@23.34132397938871,11.80 ± 2.61 / 53.03 ± 2.79@@11.799771723646728,47.87 ± 1.07 / 23.93 ± 0.95@@47.874210551594395,63.78 ± 0.96 / 11.68 ± 2.09@@63.78140130284009,3.21 ± 0.87 / 26.35 ± 0.68@@3.2143287525159883,5.10 ± 1.09 / 26.60 ± 0.84@@5.0973771319008,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/google/gemma-2b'>google/gemma-2b (few-shot)</a>,🧠,3.13@@3.13,2506172416.0,256000.0,8192.0,✓,✗,89.15 ± 1.69 / 94.37 ± 0.94@@89.14904731779431,19.45 ± 3.91 / 19.16 ± 3.94@@19.453503161917006,-0.83 ± 1.50 / 35.32 ± 2.02@@-0.8305948035292632,57.85 ± 2.53 / 35.20 ± 1.26@@57.849493710035105,62.96 ± 1.45 / 16.86 ± 1.46@@62.961690066731535,6.71 ± 0.66 / 28.93 ± 0.64@@6.705704682461815,2.98 ± 1.47 / 26.52 ± 0.65@@2.9820988981602516,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/LumiOpen/Viking-13B'>LumiOpen/Viking-13B (few-shot)</a>,🧠,3.14@@3.14,14030361600.0,131072.0,4096.0,✓,✗,82.50 ± 1.79 / 90.62 ± 1.09@@82.4984178936538,31.99 ± 3.92 / 28.10 ± 3.12@@31.98816304200832,4.89 ± 1.17 / 49.15 ± 1.13@@4.885375761600559,46.04 ± 2.19 / 27.99 ± 1.24@@46.040975975285605,63.06 ± 0.49 / 15.24 ± 0.57@@63.06223767634946,0.16 ± 1.50 / 23.79 ± 0.54@@0.16468789241931275,0.05 ± 1.18 / 25.49 ± 0.47@@0.04789839304102494,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/google/gemma-7b-it'>google/gemma-7b-it (few-shot)</a>,📝,3.14@@3.14,8537680896.0,256000.0,8192.0,✗,✗,65.17 ± 12.78 / 78.04 ± 9.33@@65.16632791672656,46.91 ± 2.62 / 44.59 ± 2.81@@46.91151123990139,10.25 ± 1.27 / 47.25 ± 3.86@@10.253793489253734,20.68 ± 2.70 / 2.55 ± 1.04@@20.67531093240013,61.15 ± 0.70 / 12.94 ± 0.76@@61.1490439096815,8.02 ± 0.76 / 28.58 ± 1.28@@8.021481539737643,3.66 ± 1.61 / 26.78 ± 1.16@@3.658922490286265,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/google/gemma-2b-it'>google/gemma-2b-it (few-shot)</a>,📝,3.15@@3.15,2506172416.0,256000.0,8192.0,✗,✗,80.83 ± 3.52 / 89.68 ± 2.26@@80.83377517747707,33.90 ± 4.06 / 28.48 ± 2.92@@33.897761076473294,0.77 ± 1.64 / 43.48 ± 3.54@@0.7706706367414029,43.19 ± 2.18 / 18.82 ± 1.90@@43.1868071450378,61.92 ± 0.94 / 14.95 ± 0.84@@61.924315391806886,3.60 ± 0.93 / 26.89 ± 0.76@@3.6005500905131935,2.47 ± 1.20 / 26.77 ± 0.81@@2.4661464911903486,15.8.1.dev0@@150801,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/ibm-granite/granite-3.0-1b-a400m-instruct'>ibm-granite/granite-3.0-1b-a400m-instruct (few-shot)</a>,📝,3.16@@3.16,1334628352.0,49155.0,4096.0,✓,✗,69.26 ± 9.14 / 81.66 ± 6.66@@69.25586761341987,32.46 ± 1.20 / 20.51 ± 0.77@@32.45557221318262,1.95 ± 1.31 / 42.02 ± 3.73@@1.9532215269108624,48.49 ± 1.40 / 27.95 ± 1.06@@48.487168815407166,64.59 ± 0.24 / 16.51 ± 0.38@@64.59309956961079,0.05 ± 0.69 / 24.35 ± 0.64@@0.05016746984930213,1.88 ± 0.75 / 26.02 ± 0.63@@1.876663043784523,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/meta-llama/Llama-3.2-1B'>meta-llama/Llama-3.2-1B (few-shot)</a>,🧠,3.18@@3.18,1235814400.0,128256.0,131072.0,✓,✗,91.12 ± 0.79 / 95.52 ± 0.42@@91.12484439261104,30.94 ± 1.93 / 30.00 ± 1.55@@30.93968148641611,2.13 ± 1.75 / 47.90 ± 2.72@@2.1262016122097114,47.81 ± 3.15 / 28.32 ± 1.94@@47.807584273324636,58.55 ± 0.90 / 12.48 ± 0.86@@58.54892092989758,1.10 ± 0.90 / 25.32 ± 0.78@@1.0971203048680587,-0.42 ± 0.99 / 25.05 ± 0.89@@-0.41697843142911706,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/BSC-LT/salamandra-2b'>BSC-LT/salamandra-2b (few-shot)</a>,🧠,3.19@@3.19,2253490176.0,256000.0,8192.0,✓,✗,85.85 ± 2.62 / 92.72 ± 1.51@@85.84793119442763,28.07 ± 3.24 / 27.43 ± 3.34@@28.06645983828312,3.08 ± 1.52 / 41.62 ± 3.93@@3.078543219943266,53.13 ± 3.53 / 31.89 ± 2.06@@53.13241287547483,58.37 ± 2.29 / 13.73 ± 1.41@@58.37357604759745,-0.03 ± 1.08 / 23.95 ± 0.67@@-0.02654055839221077,-1.16 ± 0.99 / 24.17 ± 0.91@@-1.1643170428174667,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/OpenLLM-France/Lucie-7B'>OpenLLM-France/Lucie-7B (few-shot)</a>,🧠,3.22@@3.22,6706960384.0,65024.0,32000.0,✓,✗,92.08 ± 1.06 / 95.93 ± 0.57@@92.08343704297157,33.49 ± 1.79 / 32.90 ± 1.94@@33.493901244639524,5.68 ± 1.20 / 41.54 ± 2.91@@5.683264881676484,33.69 ± 1.48 / 0.12 ± 0.03@@33.694693153167634,56.74 ± 2.78 / 12.35 ± 2.82@@56.741216710070155,1.32 ± 1.05 / 26.76 ± 0.70@@1.3166028324985302,1.06 ± 0.63 / 25.53 ± 0.51@@1.062837571971504,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300
<a href='https://huggingface.co/google/gemma-3-1b-pt'>google/gemma-3-1b-pt (few-shot)</a>,🧠,3.24@@3.24,999885952.0,262144.0,32768.0,✓,✗,91.40 ± 0.92 / 95.66 ± 0.49@@91.40252486377216,29.63 ± 2.24 / 29.69 ± 2.26@@29.631695467241077,-0.50 ± 1.56 / 43.68 ± 3.15@@-0.4956901678032236,45.66 ± 2.87 / 27.19 ± 1.21@@45.662806478390614,57.49 ± 0.91 / 12.09 ± 0.66@@57.494430022197776,1.98 ± 1.18 / 24.04 ± 0.65@@1.983154006862033,-0.70 ± 0.85 / 25.30 ± 0.46@@-0.7013907881093076,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/utter-project/EuroLLM-1.7B-Instruct'>utter-project/EuroLLM-1.7B-Instruct (few-shot)</a>,📝,3.24@@3.24,1656850432.0,128000.0,4096.0,✓,✗,48.50 ± 13.72 / 65.80 ± 11.10@@48.50038281104913,24.44 ± 2.92 / 23.07 ± 2.83@@24.438033601089217,2.86 ± 1.39 / 40.64 ± 3.86@@2.8563683303594747,56.95 ± 2.28 / 31.82 ± 1.01@@56.95141983976936,65.72 ± 0.41 / 19.12 ± 0.72@@65.71633642393863,0.08 ± 0.68 / 24.53 ± 0.34@@0.08322406268239828,0.84 ± 0.75 / 25.20 ± 0.41@@0.8417874916143483,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/timpal0l/Mistral-7B-v0.1-flashback-v2'>timpal0l/Mistral-7B-v0.1-flashback-v2 (few-shot)</a>,📝,3.26@@3.26,7241732096.0,32000.0,4096.0,✓,✗,64.51 ± 10.51 / 77.75 ± 8.17@@64.50774066868676,43.82 ± 1.87 / 36.94 ± 2.62@@43.81868722253181,0.00 ± 0.00 / 33.30 ± 0.27@@0.0,24.62 ± 3.19 / 0.05 ± 0.03@@24.618917423934622,61.03 ± 1.11 / 13.40 ± 0.62@@61.02757741406094,3.64 ± 1.79 / 25.63 ± 0.66@@3.6414377758122147,0.47 ± 1.02 / 26.37 ± 0.86@@0.47060828503028024,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/utter-project/EuroLLM-1.7B'>utter-project/EuroLLM-1.7B (few-shot)</a>,🧠,3.26@@3.26,,128000.0,4096.0,✓,✗,67.54 ± 11.53 / 80.00 ± 8.65@@67.54353031454264,25.98 ± 2.34 / 25.71 ± 2.32@@25.97862201908091,1.17 ± 1.20 / 40.07 ± 4.64@@1.1670496942052757,52.01 ± 3.18 / 31.37 ± 1.63@@52.013086562341286,61.47 ± 1.12 / 15.35 ± 1.16@@61.470880190900054,-1.43 ± 1.24 / 23.32 ± 0.63@@-1.4301675237150944,-0.14 ± 1.00 / 24.88 ± 0.74@@-0.1352916879121072,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/ibm-granite/granite-3b-code-base-2k'>ibm-granite/granite-3b-code-base-2k (few-shot)</a>,🧠,3.28@@3.28,3482503680.0,49152.0,2048.0,✓,✗,8.35 ± 13.44 / 40.21 ± 9.67@@8.354482573464722,54.52 ± 1.55 / 53.48 ± 1.76@@54.524200795101216,3.60 ± 1.69 / 41.37 ± 4.72@@3.6013738323412015,58.70 ± 1.41 / 36.72 ± 0.90@@58.703305063951646,55.47 ± 3.57 / 15.12 ± 1.41@@55.4698989863391,3.97 ± 1.02 / 27.54 ± 0.82@@3.9705179758155675,4.34 ± 0.73 / 27.86 ± 0.60@@4.336623296529429,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200
<a href='https://huggingface.co/ibm-granite/granite-3.0-1b-a400m-base'>ibm-granite/granite-3.0-1b-a400m-base (few-shot)</a>,🧠,3.30@@3.30,1384956928.0,49152.0,4096.0,✓,✗,63.00 ± 16.02 / 75.84 ± 12.12@@62.99752933917626,28.26 ± 4.88 / 27.16 ± 4.47@@28.259656621851814,0.00 ± 0.00 / 33.36 ± 0.27@@0.0,45.64 ± 2.28 / 27.60 ± 0.81@@45.64066295898678,62.64 ± 0.77 / 15.65 ± 0.92@@62.6433403629926,-1.13 ± 1.08 / 23.46 ± 0.71@@-1.1334943341944705,1.24 ± 1.34 / 26.08 ± 1.00@@1.2359915474029457,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/PleIAs/Pleias-1.2b-Preview'>PleIAs/Pleias-1.2b-Preview (few-shot)</a>,🧠,3.36@@3.36,1195468800.0,65536.0,2048.0,✓,✗,48.67 ± 16.04 / 71.33 ± 10.31@@48.667996809108125,34.52 ± 3.02 / 32.16 ± 3.10@@34.515437128711746,-0.59 ± 1.45 / 38.18 ± 3.15@@-0.5912125299341281,44.72 ± 3.55 / 26.35 ± 1.34@@44.72270377793085,60.22 ± 0.63 / 12.65 ± 1.06@@60.217510986549314,-1.49 ± 0.90 / 23.18 ± 0.58@@-1.4909661262415779,1.60 ± 1.21 / 26.48 ± 0.87@@1.6001551297486007,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/ibm-granite/granite-3b-code-instruct-2k'>ibm-granite/granite-3b-code-instruct-2k (few-shot)</a>,📝,3.37@@3.37,3482503680.0,49152.0,2048.0,✓,✗,0.00 ± 0.00 / 34.41 ± 0.31@@0.0,49.37 ± 2.79 / 48.55 ± 2.64@@49.37180134064775,5.09 ± 2.70 / 48.71 ± 2.76@@5.092479193265243,56.31 ± 0.97 / 32.85 ± 0.54@@56.309574642750704,55.28 ± 3.42 / 14.83 ± 0.98@@55.2834007612546,5.09 ± 0.98 / 27.42 ± 0.78@@5.086904320881084,4.14 ± 1.17 / 27.70 ± 1.15@@4.136692410016279,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200
<a href='https://huggingface.co/microsoft/phi-2'>microsoft/phi-2 (few-shot)</a>,🧠,3.39@@3.39,2779683840.0,51200.0,2048.0,✓,✗,7.56 ± 12.23 / 39.73 ± 8.97@@7.560898607426332,39.83 ± 1.81 / 38.37 ± 2.13@@39.833461355346486,3.19 ± 2.29 / 46.88 ± 3.35@@3.1917813903806143,55.92 ± 1.85 / 34.80 ± 0.85@@55.92357745367965,55.50 ± 3.42 / 14.14 ± 1.22@@55.502378444653,9.43 ± 0.94 / 30.02 ± 0.93@@9.427658504913133,4.63 ± 0.99 / 26.84 ± 0.72@@4.629060605114941,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/DiscoResearch/DiscoLM-70b'>DiscoResearch/DiscoLM-70b (few-shot)</a>,🧠,3.45@@3.45,68977172480.0,32032.0,8192.0,✗,✗,33.97 ± 10.35 / 54.85 ± 8.69@@33.97129558561782,58.55 ± 2.37 / 52.42 ± 2.70@@58.547668364272035,7.78 ± 3.01 / 46.90 ± 4.67@@7.775879037368395,13.78 ± 3.47 / 0.86 ± 0.25@@13.777260021561492,51.11 ± 0.12 / 1.29 ± 0.05@@51.106024451437406,5.12 ± 2.09 / 25.59 ± 1.24@@5.123657037059119,4.21 ± 1.68 / 26.00 ± 0.57@@4.21277559211386,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-360M'>HuggingFaceTB/SmolLM2-360M (few-shot)</a>,🧠,3.52@@3.52,361821120.0,49152.0,8192.0,✓,✗,55.10 ± 6.27 / 72.30 ± 5.09@@55.09887934154391,23.05 ± 1.57 / 22.01 ± 2.28@@23.05481052813158,0.00 ± 0.00 / 33.36 ± 0.27@@0.0,31.88 ± 1.91 / 19.10 ± 0.88@@31.877141624303043,59.55 ± 1.13 / 13.63 ± 0.60@@59.546132043760736,-0.60 ± 1.15 / 23.53 ± 0.45@@-0.6025447888407959,0.02 ± 1.35 / 25.93 ± 0.56@@0.015777622475104114,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/Qwen/Qwen2.5-Math-1.5B'>Qwen/Qwen2.5-Math-1.5B (few-shot)</a>,📝,3.53@@3.53,1543714304.0,151936.0,4096.0,✓,✗,54.36 ± 8.27 / 73.28 ± 7.01@@54.36278063186235,25.83 ± 4.46 / 23.06 ± 4.53@@25.82946770409426,2.12 ± 1.53 / 34.35 ± 1.32@@2.1203793190786633,13.01 ± 0.56 / 0.02 ± 0.02@@13.012425576494795,56.74 ± 2.53 / 10.07 ± 1.18@@56.74076318071457,10.52 ± 0.78 / 32.02 ± 0.62@@10.523452449356284,3.63 ± 1.17 / 27.92 ± 0.79@@3.626788665851045,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/infly/OpenCoder-1.5B-Instruct'>infly/OpenCoder-1.5B-Instruct (few-shot)</a>,📝,3.57@@3.57,1905650880.0,96640.0,4096.0,✗,✗,11.34 ± 7.98 / 40.30 ± 5.23@@11.340768549560892,42.89 ± 1.63 / 41.13 ± 1.37@@42.88951411234979,1.22 ± 1.93 / 39.83 ± 3.34@@1.223628621199224,31.22 ± 0.91 / 14.62 ± 1.12@@31.2183152750273,60.10 ± 0.61 / 12.05 ± 0.33@@60.09988376783439,0.06 ± 1.45 / 23.75 ± 1.00@@0.05964019139561254,0.53 ± 1.41 / 25.16 ± 0.80@@0.5286653968093136,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/Qwen/Qwen1.5-0.5B-Chat'>Qwen/Qwen1.5-0.5B-Chat (few-shot)</a>,📝,3.58@@3.58,619570176.0,151936.0,32768.0,✗,✗,12.08 ± 5.70 / 37.07 ± 3.12@@12.075431613847135,27.47 ± 2.54 / 27.32 ± 2.51@@27.465446545471895,-0.32 ± 0.62 / 33.36 ± 0.27@@-0.316956872569649,44.28 ± 1.15 / 25.50 ± 0.65@@44.27933759477436,62.94 ± 0.15 / 14.43 ± 0.33@@62.93585691426416,0.60 ± 1.01 / 25.23 ± 0.72@@0.5962678316119021,0.97 ± 1.49 / 26.47 ± 1.02@@0.9691585284296448,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/croissantllm/CroissantLLMBase'>croissantllm/CroissantLLMBase (few-shot)</a>,🧠,3.67@@3.67,,32000.0,2048.0,✓,✗,32.85 ± 14.64 / 56.15 ± 12.12@@32.85255838229023,29.87 ± 6.04 / 29.78 ± 5.81@@29.868953386548235,1.53 ± 1.05 / 42.38 ± 4.01@@1.5274161991308544,30.91 ± 2.08 / 0.41 ± 0.14@@30.909737942427352,51.74 ± 0.60 / 9.70 ± 0.19@@51.73807680723257,-0.26 ± 1.18 / 24.27 ± 0.83@@-0.25594974189123076,0.92 ± 1.16 / 25.73 ± 0.75@@0.9234097146669676,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
