model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,scandisent_fi,turku_ner_fi,scala_fi,tydiqa_fi,xlsum_fi,hellaswag_fi,scandisent_fi_version,turku_ner_fi_version,scala_fi_version,tydiqa_fi_version,xlsum_fi_version,hellaswag_fi_version
<a href='https://huggingface.co/LumiOpen/Llama-Poro-2-70B-SFT'>LumiOpen/Llama-Poro-2-70B-SFT (few-shot)</a>,📝,1.34@@1.34,70553706496.0,128256.0,8192.0,✓,✗,93.25 ± 0.65 / 96.60 ± 0.34@@93.24824938448961,68.97 ± 1.83 / 44.41 ± 3.35@@68.96736993124001,45.60 ± 2.20 / 71.84 ± 1.60@@45.60114133583741,65.60 ± 1.53 / 46.24 ± 2.04@@65.59712821030492,66.51 ± 0.18 / 15.80 ± 0.34@@66.5110888655181,61.13 ± 0.97 / 70.54 ± 0.77@@61.131862448340925,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://huggingface.co/LumiOpen/Llama-Poro-2-70B-base'>LumiOpen/Llama-Poro-2-70B-base (few-shot)</a>,🧠,1.36@@1.36,70553706496.0,128256.0,8192.0,✓,✗,93.18 ± 0.68 / 96.56 ± 0.36@@93.17709345008097,74.27 ± 1.37 / 58.78 ± 4.26@@74.27066373402766,44.16 ± 2.15 / 71.59 ± 1.27@@44.16006328447723,76.52 ± 1.76 / 59.75 ± 2.10@@76.52082427682292,66.14 ± 0.72 / 15.92 ± 1.08@@66.14449282671558,40.67 ± 1.82 / 53.10 ± 1.53@@40.67172864370207,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://huggingface.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt (few-shot)</a>,🧠,1.40@@1.40,27432406640.0,262144.0,,✓,✗,93.82 ± 0.65 / 96.90 ± 0.33@@93.82085067497134,65.25 ± 1.02 / 47.69 ± 2.19@@65.24580066827357,41.87 ± 2.98 / 68.13 ± 2.50@@41.873550071739565,75.66 ± 1.52 / 58.64 ± 2.77@@75.66387011451408,66.02 ± 1.33 / 16.00 ± 1.43@@66.01991957766586,54.13 ± 2.53 / 65.29 ± 1.92@@54.1320665618249,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503 (few-shot)</a>,📝,1.41@@1.41,24011361280.0,131072.0,,✓,✗,92.17 ± 0.76 / 96.04 ± 0.40@@92.16811209498108,70.37 ± 1.35 / 55.35 ± 1.80@@70.37441794251353,38.28 ± 1.44 / 68.88 ± 0.84@@38.2785634694187,74.86 ± 1.78 / 55.80 ± 3.95@@74.85629237475537,65.01 ± 0.53 / 12.69 ± 0.82@@65.00869421608513,63.40 ± 1.13 / 72.35 ± 0.86@@63.39862409437489,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-preview-04-17'>gemini/gemini-2.5-flash-preview-04-17 (zero-shot, val)</a>",🤔,1.48@@1.48,,256128.0,1048576.0,✓,✗,88.36 ± 1.32 / 93.96 ± 0.69@@88.36333994164842,66.07 ± 2.13 / 47.38 ± 2.27@@66.06573811114613,47.25 ± 2.39 / 73.16 ± 1.16@@47.25168102809992,66.05 ± 0.96 / 51.12 ± 1.36@@66.04618004388047,63.03 ± 0.14 / 7.78 ± 0.23@@63.025321669410914,76.11 ± 1.97 / 82.23 ± 1.45@@76.11157913153693,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
"<a href='https://platform.openai.com/docs/models/o3'>o3-2025-04-16 (zero-shot, val)</a>",🤔,1.50@@1.50,,,200000.0,✓,✗,90.25 ± 1.13 / 94.98 ± 0.58@@90.24637051917776,69.71 ± 1.99 / 55.54 ± 2.08@@69.70905719728225,46.79 ± 2.99 / 73.20 ± 1.54@@46.793013554676754,59.83 ± 0.60 / 41.87 ± 1.27@@59.82710383568667,63.38 ± 0.15 / 8.37 ± 0.25@@63.3829352632165,72.77 ± 1.57 / 79.65 ± 1.12@@72.77087167878047,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://huggingface.co/meta-llama/Meta-Llama-3-70B'>meta-llama/Meta-Llama-3-70B (few-shot)</a>,🧠,1.51@@1.51,70553706496.0,128256.0,8192.0,✓,✗,92.39 ± 0.85 / 96.16 ± 0.44@@92.39422829523191,72.14 ± 1.02 / 51.90 ± 4.23@@72.14496458868693,36.33 ± 2.08 / 67.59 ± 1.17@@36.329770980953896,77.11 ± 1.27 / 59.23 ± 2.62@@77.10528477025564,65.17 ± 0.76 / 13.92 ± 0.77@@65.17134688270744,40.45 ± 2.48 / 53.70 ± 1.84@@40.453760971947325,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://huggingface.co/LumiOpen/Llama-Poro-2-70B-Instruct'>LumiOpen/Llama-Poro-2-70B-Instruct (few-shot)</a>,📝,1.53@@1.53,70553706496.0,128256.0,8192.0,✓,✗,93.10 ± 0.51 / 96.52 ± 0.26@@93.10316461796167,60.03 ± 1.15 / 34.72 ± 2.25@@60.033134399438694,46.71 ± 1.94 / 72.57 ± 1.35@@46.71013663274628,59.91 ± 1.24 / 39.57 ± 1.01@@59.910275935691516,65.85 ± 0.21 / 13.84 ± 0.47@@65.85357074072817,59.34 ± 0.69 / 68.95 ± 0.58@@59.33508845026532,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://huggingface.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B (few-shot)</a>,🧠,1.54@@1.54,70553706496.0,128256.0,131072.0,✓,✗,92.67 ± 0.60 / 96.30 ± 0.32@@92.66684539341435,73.64 ± 0.79 / 56.68 ± 3.59@@73.63740018017145,35.59 ± 2.09 / 67.21 ± 1.13@@35.59291447716415,76.96 ± 1.26 / 59.60 ± 2.49@@76.96367213120125,65.10 ± 0.70 / 13.59 ± 1.05@@65.10035916908237,40.62 ± 2.06 / 53.54 ± 1.53@@40.622582081029904,15.7.2@@150702,15.7.2@@150702,15.7.2.dev0@@150702,15.7.2@@150702,15.7.2@@150702,15.7.2.dev0@@150702
<a href='https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct (few-shot)</a>,📝,1.57@@1.57,70553706496.0,128256.0,131072.0,✓,✗,92.37 ± 0.65 / 96.15 ± 0.34@@92.37376003806868,69.08 ± 1.52 / 46.31 ± 2.82@@69.07865429353325,35.90 ± 2.62 / 64.12 ± 2.65@@35.89543327346088,53.60 ± 1.94 / 28.80 ± 2.26@@53.60371790892098,66.32 ± 0.25 / 15.21 ± 0.52@@66.31722062287736,59.07 ± 1.30 / 68.93 ± 1.03@@59.06765507523852,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
"<a href='https://docs.anthropic.com/en/docs/about-claude/models/all-models'>claude-3-7-sonnet-20250219@thinking (zero-shot, val)</a>",🤔,1.59@@1.59,,,200000.0,✓,✗,91.65 ± 0.98 / 95.73 ± 0.50@@91.64526840751756,61.63 ± 1.84 / 50.36 ± 2.40@@61.63382998638471,37.22 ± 4.09 / 68.33 ± 2.07@@37.21621148073693,59.16 ± 0.79 / 42.29 ± 1.07@@59.1620559501642,63.57 ± 0.14 / 8.45 ± 0.20@@63.571906867437065,79.46 ± 1.79 / 84.61 ± 1.35@@79.46385197199058,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
"<a href='https://docs.anthropic.com/en/docs/about-claude/models/all-models'>claude-3-5-sonnet-20241022 (zero-shot, val)</a>",📝,1.59@@1.59,,,200000.0,✓,✗,91.65 ± 0.98 / 95.73 ± 0.50@@91.64526840751756,52.56 ± 1.94 / 33.50 ± 1.89@@52.55753580769345,44.19 ± 2.53 / 70.21 ± 1.41@@44.194682890438855,58.32 ± 0.56 / 35.96 ± 0.82@@58.31646896398756,63.67 ± 0.11 / 9.27 ± 0.21@@63.66645195987075,78.49 ± 2.01 / 83.91 ± 1.49@@78.48921706145056,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B (few-shot)</a>,📝,1.61@@1.61,70553706496.0,128256.0,131072.0,✓,✗,92.75 ± 0.72 / 96.34 ± 0.37@@92.75317226450368,67.57 ± 1.83 / 43.58 ± 2.91@@67.57461502354126,33.43 ± 2.00 / 65.51 ± 1.84@@33.427806696115184,65.39 ± 1.03 / 45.87 ± 2.16@@65.39020443097381,64.34 ± 0.19 / 10.86 ± 0.37@@64.33625911609852,64.40 ± 1.07 / 73.29 ± 0.80@@64.40307591634372,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901
<a href='https://huggingface.co/google/gemma-3-27b-it'>google/gemma-3-27b-it (few-shot)</a>,📝,1.61@@1.61,27432406640.0,262144.0,,✓,✗,91.45 ± 1.19 / 95.65 ± 0.63@@91.45427509587914,61.34 ± 1.61 / 39.70 ± 2.11@@61.335055617567114,36.96 ± 3.07 / 66.70 ± 1.97@@36.96263615865376,65.15 ± 0.46 / 45.38 ± 1.44@@65.15038900383003,64.18 ± 0.13 / 10.48 ± 0.27@@64.18283586244797,62.59 ± 1.29 / 71.75 ± 1.01@@62.588972929856865,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B (few-shot)</a>,📝,1.63@@1.63,32759790592.0,151665.0,131072.0,✓,✗,90.90 ± 0.68 / 95.39 ± 0.36@@90.90169461278924,69.28 ± 1.52 / 45.66 ± 2.50@@69.27696852971292,34.30 ± 1.41 / 63.36 ± 1.54@@34.298064501933325,69.38 ± 0.83 / 51.14 ± 1.36@@69.37989618120768,63.76 ± 0.18 / 9.76 ± 0.35@@63.756794767396066,53.82 ± 1.02 / 65.11 ± 0.77@@53.817511256346194,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
"<a href='https://platform.openai.com/docs/models/gpt-4o'>gpt-4o-2024-05-13 (zero-shot, val)</a>",📝,1.63@@1.63,,200019.0,128000.0,✓,✗,87.86 ± 1.33 / 93.68 ± 0.69@@87.85865434773208,60.36 ± 2.31 / 31.65 ± 2.40@@60.36201707926847,39.39 ± 3.35 / 66.85 ± 1.23@@39.389601164645384,61.52 ± 0.79 / 41.81 ± 1.01@@61.51568565696327,63.35 ± 0.12 / 7.93 ± 0.19@@63.35442798910662,79.83 ± 1.81 / 84.88 ± 1.34@@79.82565908288389,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt (few-shot)</a>,🧠,1.65@@1.65,12187325040.0,262144.0,,✓,✗,92.83 ± 0.77 / 96.38 ± 0.41@@92.82833142496777,55.73 ± 1.61 / 33.42 ± 3.23@@55.73044525692189,36.36 ± 2.90 / 66.52 ± 2.72@@36.36236453824884,74.35 ± 1.33 / 59.63 ± 1.44@@74.3513785593768,66.27 ± 0.46 / 15.71 ± 0.83@@66.26767348163412,39.31 ± 1.19 / 53.66 ± 0.84@@39.309174379566095,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503 (few-shot)</a>,🧠,1.65@@1.65,24011361280.0,131072.0,,✓,✗,92.80 ± 0.55 / 96.37 ± 0.28@@92.80175091547956,67.16 ± 2.10 / 49.82 ± 2.42@@67.1638241287912,32.49 ± 1.39 / 62.29 ± 1.93@@32.48745322048217,76.86 ± 1.43 / 61.30 ± 2.09@@76.86390474515169,64.18 ± 2.03 / 12.59 ± 1.32@@64.17786266771145,42.27 ± 1.92 / 55.87 ± 1.47@@42.27388143944981,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.66@@1.66,,,1047576.0,✓,✗,88.72 ± 1.44 / 94.16 ± 0.75@@88.72402845032937,53.11 ± 2.00 / 28.88 ± 1.64@@53.113284461103284,41.78 ± 2.68 / 68.49 ± 1.58@@41.78181392420382,58.07 ± 0.67 / 35.58 ± 0.91@@58.074754106455636,63.77 ± 0.09 / 9.24 ± 0.19@@63.774710500147194,77.62 ± 1.18 / 83.20 ± 0.89@@77.6239750448141,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot, val)</a>",📝,1.68@@1.68,,,1047576.0,✓,✗,89.57 ± 1.04 / 94.59 ± 0.55@@89.57370773601635,49.13 ± 1.80 / 25.30 ± 1.25@@49.127431739918684,45.18 ± 2.89 / 72.47 ± 1.47@@45.18426977928892,62.75 ± 0.84 / 44.02 ± 1.22@@62.74993446974402,63.46 ± 0.11 / 8.27 ± 0.19@@63.46312937792391,68.56 ± 1.79 / 76.48 ± 1.33@@68.56118815228089,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro-preview-03-25'>gemini/gemini-2.5-pro-preview-03-25 (zero-shot, val)</a>",🤔,1.70@@1.70,,256128.0,1048576.0,✓,✗,88.86 ± 1.20 / 94.23 ± 0.63@@88.86435182751228,55.45 ± 2.21 / 33.48 ± 1.93@@55.449486084360345,41.36 ± 3.42 / 66.94 ± 1.81@@41.36047019212586,62.28 ± 0.65 / 38.84 ± 1.36@@62.27883883867717,63.01 ± 0.14 / 8.11 ± 0.22@@63.01208039280027,66.74 ± 1.78 / 74.77 ± 1.36@@66.7368045528147,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801
"<a href='https://docs.x.ai/docs/models'>xai/grok-3-beta (zero-shot, val)</a>",📝,1.70@@1.70,,,131072.0,✓,✗,87.86 ± 1.33 / 93.68 ± 0.69@@87.85865434773208,57.07 ± 1.29 / 25.73 ± 1.72@@57.0682771297639,38.12 ± 3.37 / 68.61 ± 1.67@@38.119955498941685,57.34 ± 0.74 / 28.93 ± 1.16@@57.33528529806498,63.49 ± 0.12 / 8.21 ± 0.16@@63.49476981908083,80.26 ± 1.08 / 85.27 ± 0.84@@80.26212569157174,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
"<a href='https://docs.x.ai/docs/models'>xai/grok-2-1212 (zero-shot, val)</a>",📝,1.73@@1.73,,,131072.0,✓,✗,91.28 ± 0.97 / 95.53 ± 0.50@@91.27675524192969,53.52 ± 1.75 / 28.46 ± 1.40@@53.523929062625996,38.34 ± 3.60 / 66.76 ± 2.13@@38.340786828023404,61.86 ± 0.75 / 36.01 ± 1.22@@61.861932775393896,63.22 ± 0.12 / 7.83 ± 0.18@@63.21535512106493,70.79 ± 1.37 / 78.28 ± 1.05@@70.78918138509009,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct (few-shot)</a>,📝,1.73@@1.73,72706203648.0,152064.0,32768.0,✓,✗,92.47 ± 0.69 / 96.21 ± 0.36@@92.47465753730951,65.09 ± 1.24 / 36.56 ± 2.08@@65.09016753226345,31.28 ± 2.50 / 63.69 ± 1.95@@31.28012347465346,69.76 ± 0.78 / 50.61 ± 2.30@@69.76330554865332,63.09 ± 0.09 / 8.37 ± 0.12@@63.087329879926976,57.79 ± 1.10 / 67.91 ± 0.88@@57.788474919574526,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://huggingface.co/NovaSky-AI/Sky-T1-32B-Preview'>NovaSky-AI/Sky-T1-32B-Preview (few-shot)</a>,📝,1.75@@1.75,32763876352.0,152064.0,32768.0,✓,✗,89.45 ± 0.69 / 94.59 ± 0.37@@89.45259890508804,61.48 ± 1.94 / 37.17 ± 3.19@@61.483787304580964,36.72 ± 1.25 / 67.32 ± 0.89@@36.717327879491236,69.16 ± 0.91 / 44.94 ± 2.35@@69.16444467117438,62.80 ± 0.08 / 8.10 ± 0.13@@62.80198322609068,49.13 ± 0.95 / 61.21 ± 0.73@@49.13083183487512,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802
<a href='https://huggingface.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B (few-shot)</a>,🤔,1.76@@1.76,32762123264.0,151936.0,40960.0,✓,✗,90.66 ± 0.75 / 95.26 ± 0.39@@90.66310122493638,59.89 ± 1.74 / 44.68 ± 1.42@@59.886086810551845,38.30 ± 1.73 / 68.93 ± 0.89@@38.304842316305965,65.96 ± 0.73 / 52.55 ± 1.07@@65.96043044102102,62.80 ± 0.08 / 7.69 ± 0.11@@62.79666140006157,54.73 ± 1.45 / 66.06 ± 1.10@@54.72879082299864,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/allenai/OLMo-2-0325-32B'>allenai/OLMo-2-0325-32B (few-shot)</a>,🧠,1.78@@1.78,32234279936.0,100352.0,4096.0,✓,✗,92.42 ± 0.60 / 96.19 ± 0.31@@92.4194683165313,58.46 ± 2.23 / 29.27 ± 2.13@@58.463246987700565,25.12 ± 1.41 / 60.89 ± 1.09@@25.12193777535017,73.13 ± 0.55 / 50.61 ± 1.47@@73.12931707261625,66.06 ± 0.27 / 15.15 ± 0.54@@66.05590864492115,36.38 ± 1.52 / 51.99 ± 1.17@@36.384550741152275,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/meta-llama/Meta-Llama-3-70B-Instruct'>meta-llama/Meta-Llama-3-70B-Instruct (few-shot)</a>,📝,1.78@@1.78,70553706496.0,128256.0,8192.0,✓,✗,92.39 ± 0.62 / 96.17 ± 0.32@@92.39309598036023,63.19 ± 1.90 / 39.45 ± 1.78@@63.19005145597567,29.85 ± 2.26 / 62.76 ± 2.13@@29.846221600167954,63.67 ± 1.31 / 42.68 ± 1.96@@63.67306085852084,64.70 ± 0.15 / 11.90 ± 0.29@@64.70051574287936,46.89 ± 1.17 / 59.83 ± 0.90@@46.89479951665558,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://huggingface.co/mistralai/Mistral-Small-24B-Instruct-2501'>mistralai/Mistral-Small-24B-Instruct-2501 (few-shot)</a>,📝,1.79@@1.79,23572403200.0,131072.0,32768.0,✓,✗,90.98 ± 0.98 / 95.41 ± 0.52@@90.97971533397909,57.34 ± 1.84 / 30.12 ± 1.57@@57.34375636134516,33.88 ± 1.30 / 66.73 ± 0.60@@33.8763881378714,66.66 ± 0.87 / 50.96 ± 0.93@@66.65510570822109,63.44 ± 0.10 / 8.96 ± 0.23@@63.44459963569534,58.34 ± 0.94 / 68.58 ± 0.74@@58.3422193871798,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-pro-002'>gemini/gemini-1.5-pro-002 (zero-shot, val)</a>",📝,1.80@@1.80,,256128.0,2097152.0,✓,✗,90.98 ± 1.43 / 95.37 ± 0.75@@90.97945657498772,50.03 ± 2.57 / 29.22 ± 1.62@@50.034552434550925,35.88 ± 2.58 / 65.54 ± 1.17@@35.87724606898001,55.84 ± 0.47 / 34.18 ± 0.98@@55.8362732586542,64.18 ± 0.13 / 10.09 ± 0.27@@64.17579081375152,70.95 ± 1.90 / 78.36 ± 1.42@@70.95213466913077,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
"<a href='https://platform.openai.com/docs/models/o4-mini'>o4-mini-2025-04-16 (zero-shot, val)</a>",🤔,1.80@@1.80,,,200000.0,✓,✗,89.58 ± 1.08 / 94.67 ± 0.56@@89.57540211630788,47.26 ± 2.79 / 36.42 ± 2.07@@47.25747671811337,38.25 ± 2.18 / 66.53 ± 1.22@@38.2504827849651,63.73 ± 0.57 / 47.84 ± 0.91@@63.73453264966408,62.88 ± 0.14 / 7.59 ± 0.23@@62.88071817019954,67.64 ± 1.43 / 75.27 ± 1.11@@67.64157453041707,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://huggingface.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B (few-shot)</a>,🤔,1.81@@1.81,30532122624.0,151936.0,40960.0,✓,✗,91.32 ± 0.57 / 95.62 ± 0.29@@91.32095815525959,70.09 ± 1.12 / 49.72 ± 1.88@@70.09494747747377,31.55 ± 1.96 / 65.48 ± 0.98@@31.546838549627886,65.15 ± 0.87 / 48.87 ± 1.70@@65.15155292268489,62.72 ± 0.07 / 7.51 ± 0.10@@62.72054063039831,47.36 ± 0.71 / 60.56 ± 0.53@@47.36290421173814,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801
<a href='https://huggingface.co/google/gemma-3-12b-it'>google/gemma-3-12b-it (few-shot)</a>,📝,1.81@@1.81,12187325040.0,262144.0,,✓,✗,91.54 ± 0.71 / 95.70 ± 0.38@@91.54002556028449,60.27 ± 1.09 / 33.56 ± 1.25@@60.265906522679046,31.21 ± 2.06 / 61.91 ± 2.37@@31.20810141269912,63.18 ± 1.23 / 44.41 ± 1.72@@63.17952395497114,64.08 ± 0.07 / 10.35 ± 0.15@@64.0774410951417,53.81 ± 0.97 / 65.39 ± 0.73@@53.812930045826555,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-lite-001'>gemini/gemini-2.0-flash-lite-001 (zero-shot, val)</a>",📝,1.85@@1.85,,256128.0,1048576.0,✓,✗,87.86 ± 1.33 / 93.68 ± 0.69@@87.85865434773208,53.73 ± 1.87 / 27.99 ± 1.48@@53.73406135230179,29.29 ± 2.78 / 60.79 ± 1.53@@29.288899084564868,58.62 ± 0.78 / 30.00 ± 1.13@@58.61891596318834,63.82 ± 0.09 / 8.84 ± 0.19@@63.816534844227135,66.89 ± 1.48 / 75.20 ± 1.11@@66.89427484460364,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B (few-shot)</a>,🤔,1.86@@1.86,14768307200.0,151936.0,40960.0,✓,✗,90.78 ± 0.89 / 95.33 ± 0.47@@90.7757976864824,58.05 ± 2.74 / 40.09 ± 2.13@@58.04932301285957,32.77 ± 2.48 / 65.26 ± 1.36@@32.7651998688439,67.97 ± 0.73 / 52.07 ± 1.45@@67.96558926414926,62.87 ± 0.09 / 7.87 ± 0.12@@62.87026401900221,45.17 ± 1.27 / 58.91 ± 0.97@@45.169278552661204,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://huggingface.co/meta-llama/Llama-2-70b-hf'>meta-llama/Llama-2-70b-hf (few-shot)</a>,🧠,1.86@@1.86,68976653312.0,32000.0,4096.0,✓,✗,93.51 ± 0.47 / 96.74 ± 0.24@@93.51154477873317,57.04 ± 2.09 / 43.05 ± 3.42@@57.04441627047171,28.34 ± 3.12 / 62.46 ± 1.94@@28.338349580213684,76.05 ± 0.99 / 58.75 ± 1.69@@76.04641241616986,65.64 ± 0.60 / 14.92 ± 0.57@@65.63564370590029,22.12 ± 1.15 / 39.66 ± 1.01@@22.1176250765143,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://huggingface.co/nvidia/Llama-3.1-Nemotron-70B-Instruct-HF'>nvidia/Llama-3.1-Nemotron-70B-Instruct-HF (few-shot)</a>,📝,1.87@@1.87,70553706496.0,128256.0,131072.0,✓,✗,92.66 ± 0.61 / 96.30 ± 0.31@@92.66072767492298,59.85 ± 1.51 / 29.42 ± 1.08@@59.84742202776469,35.89 ± 1.38 / 66.35 ± 1.19@@35.89253356110375,56.23 ± 1.08 / 32.94 ± 1.37@@56.23136626959085,62.46 ± 0.24 / 9.22 ± 0.15@@62.45550845051184,57.23 ± 0.93 / 67.60 ± 0.78@@57.22855179638928,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
