model,nlu_rank,nlg_rank,parameters,vocabulary_size,context,speed,commercial,merge,angry_tweets_primary,angry_tweets_secondary,dansk_primary,dansk_secondary,scala_da_primary,scala_da_secondary,scandiqa_da_primary,scandiqa_da_secondary,nordjylland_news_primary,nordjylland_news_secondary,danske_talemaader_primary,danske_talemaader_secondary,danish_citizen_tests_primary,danish_citizen_tests_secondary,hellaswag_da_primary,hellaswag_da_secondary,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version,nordjylland_news_version,danske_talemaader_version,danish_citizen_tests_version,hellaswag_da_version,speed_version
skole-gpt-mixtral (few-shot),2.03,2.19,,32.0,32768,3582.66,False,False,51.51,66.73,49.17,34.74,32.04,64.63,66.15,58.52,66.83,21.53,65.77,74.26,77.56,85.02,30.34,46.85,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0
pere/roberta-base-exp-32B,2.03,999.0,278.0,250.0,512,15102.57,True,False,47.83,64.9,71.81,66.85,54.99,75.82,34.74,29.92,,,,,,,,,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0,0.0.0
"RJuro/munin-neuralbeagle-7b (few-shot, val)",2.04,1.92,7242.0,32.0,32768,2492.75,False,True,54.91,67.84,51.44,41.38,22.77,52.29,64.01,56.51,68.06,24.28,74.24,80.62,70.86,80.31,41.49,55.86,9.3.2,9.3.2,9.3.2,12.5.2,12.6.1,10.0.1,10.0.1,9.3.2,9.3.2
"claude-3-5-haiku-20241022 (zero-shot, val)",2.08,2.58,,,200000,276.86,True,False,56.46,71.07,59.48,42.21,20.57,49.85,57.7,38.23,64.38,13.19,53.54,64.3,69.09,77.89,21.03,36.45,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1,14.0.1
four-two-labs/orpo-llama-3-swe (few-shot),2.11,2.52,8030.0,128.0,8192,4974.22,False,False,51.73,66.43,46.75,29.4,24.73,53.98,65.74,59.97,65.21,18.86,55.72,66.59,61.59,73.95,25.43,43.11,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
"timpal0l/BeagleCatMunin (few-shot, val)",2.11,2.26,7242.0,32.0,32768,2495.0,False,True,54.73,68.74,47.62,36.77,21.8,51.07,63.6,57.26,67.31,23.24,66.49,74.84,60.41,72.97,28.51,45.74,9.3.2,9.3.2,9.3.2,12.5.2,12.6.1,10.0.1,10.0.1,9.3.2,9.3.2
meta-llama/Meta-Llama-3-8B (few-shot),2.12,2.52,8030.0,128.0,8192,1046.19,True,False,51.29,66.35,46.31,29.09,25.7,55.65,65.44,59.79,65.16,18.74,56.2,66.91,61.16,73.63,24.99,42.57,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,14.0.2
meta-llama/Meta-Llama-3-8B-Instruct (few-shot),2.13,2.44,8030.0,128.0,8192,1040.29,True,False,48.43,62.09,57.74,40.66,27.12,60.4,59.77,46.76,66.36,19.75,57.87,67.43,50.42,65.43,29.17,44.59,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,12.6.1,14.0.2
"birgermoell/BeagleCatMunin-Flashback-Bellman (few-shot, val)",2.13,2.26,7242.0,32.0,32768,2890.1,False,True,52.3,64.19,50.4,38.57,21.3,47.78,63.79,58.17,66.25,20.33,65.32,73.95,64.76,75.94,33.7,50.16,9.3.1,9.3.1,9.3.1,12.5.2,12.6.1,10.0.1,10.0.1,9.3.1,9.3.1
"timpal0l/dolphin-2.9-llama3-8b-flashback (few-shot, val)",2.14,2.45,8030.0,128.0,8192,5018.29,False,True,52.17,67.14,51.37,37.56,27.98,60.57,59.94,51.65,66.25,19.93,57.31,68.05,54.17,68.2,27.65,44.53,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0,12.7.0
