model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,sentiment_headlines_es,conll_es,scala_es,mlqa_es,mlsum_es,mmlu_es,hellaswag_es,sentiment_headlines_es_version,conll_es_version,scala_es_version,mlqa_es_version,mlsum_es_version,mmlu_es_version,hellaswag_es_version
<a href='https://huggingface.co/openai-community/gpt2'>openai-community/gpt2 (few-shot)</a>,🧠,4.71@@4.71,137022720.0,50257.0,1024.0,✓,✗,0.04 ± 1.32 / 15.63 ± 0.94@@0.03591479855112982,1.33 ± 1.84 / 1.79 ± 2.51@@1.3300366905023353,0.01 ± 0.68 / 39.06 ± 3.73@@0.006531608552268519,2.24 ± 0.88 / 0.62 ± 0.40@@2.243258686925315,1.19 ± 0.86 / 0.18 ± 0.13@@1.1884830305643845,1.03 ± 1.17 / 22.93 ± 1.36@@1.0283635400541034,0.00 ± 0.00 / 25.18 ± 0.55@@0.0,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/google/rembert'>google/rembert</a>,🔍,-@@100,575923843.0,250300.0,512.0,✓,✗,7.84 ± 6.32 / 28.07 ± 7.07@@7.8400709653818375,84.58 ± 0.55 / 84.53 ± 0.50@@84.58248723996007,19.81 ± 11.33 / 54.88 ± 9.61@@19.805949503581445,49.44 ± 2.36 / 28.11 ± 2.05@@49.43963981233844,-@@-1,-0.23 ± 1.47 / 24.51 ± 1.06@@-0.23351665489977172,5.44 ± 7.17 / 29.13 ± 5.37@@5.440255041603623,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,-@@0,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/dbmdz/bert-base-historic-multilingual-cased'>dbmdz/bert-base-historic-multilingual-cased</a>,🔍,-@@100,111243522.0,32000.0,512.0,✓,✗,1.22 ± 4.08 / 26.71 ± 3.96@@1.2206679820864672,70.98 ± 0.92 / 73.62 ± 1.05@@70.97557149151491,-0.58 ± 1.78 / 43.40 ± 4.19@@-0.580214072400169,9.71 ± 4.93 / 3.85 ± 2.03@@9.714784011617233,-@@-1,-0.24 ± 1.13 / 24.76 ± 0.86@@-0.237111301512688,1.34 ± 0.81 / 26.02 ± 0.60@@1.3414063849996147,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,-@@0,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/sentence-transformers/distiluse-base-multilingual-cased-v2'>sentence-transformers/distiluse-base-multilingual-cased-v2</a>,🔍,-@@100,134734080.0,119547.0,512.0,✓,✗,20.81 ± 7.06 / 40.25 ± 8.28@@20.81411762659792,57.72 ± 1.82 / 61.53 ± 1.80@@57.72155839104796,1.22 ± 0.98 / 47.47 ± 1.79@@1.2224073650879625,-@@-1,-@@-1,-@@-1,-@@-1,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/Twitter/twhin-bert-base'>Twitter/twhin-bert-base</a>,🔍,-@@100,279080594.0,250002.0,512.0,✓,✗,31.19 ± 4.17 / 52.34 ± 3.37@@31.192796319793082,81.68 ± 0.98 / 82.60 ± 0.88@@81.67616473369414,1.48 ± 1.31 / 44.94 ± 3.73@@1.4751243639201528,15.03 ± 0.58 / 5.25 ± 0.30@@15.027472399205726,-@@-1,0.95 ± 1.87 / 24.75 ± 1.42@@0.9454408925404223,0.90 ± 1.00 / 25.73 ± 0.71@@0.9024032945516786,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,-@@0,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/Twitter/twhin-bert-large'>Twitter/twhin-bert-large</a>,🔍,-@@100,561713298.0,250002.0,512.0,✓,✗,33.72 ± 4.09 / 54.40 ± 3.50@@33.72494086558145,83.64 ± 0.93 / 83.97 ± 1.02@@83.64254739286048,4.87 ± 5.49 / 46.51 ± 5.81@@4.874803599374416,24.19 ± 6.82 / 12.22 ± 4.99@@24.191068425450105,-@@-1,0.48 ± 1.87 / 24.74 ± 1.43@@0.48034051603702804,2.89 ± 1.20 / 27.17 ± 0.93@@2.894787239518606,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,-@@0,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/setu4993/LaBSE'>setu4993/LaBSE</a>,🔍,-@@100,470927360.0,501153.0,512.0,✓,✗,40.27 ± 2.13 / 59.62 ± 1.54@@40.26511191463185,85.12 ± 0.92 / 85.22 ± 0.82@@85.11662836938238,6.45 ± 6.55 / 52.30 ± 3.51@@6.454778662334262,39.34 ± 1.15 / 21.19 ± 0.54@@39.33862142006757,-@@-1,0.53 ± 0.91 / 24.93 ± 0.78@@0.5326918074067997,3.10 ± 2.04 / 27.36 ± 1.56@@3.098184570718361,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,-@@0,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/sentence-transformers/stsb-xlm-r-multilingual'>sentence-transformers/stsb-xlm-r-multilingual</a>,🔍,-@@100,278044162.0,250002.0,512.0,✓,✗,40.93 ± 2.08 / 60.12 ± 1.53@@40.934205901908705,75.60 ± 0.60 / 77.04 ± 0.49@@75.59516653186124,-0.02 ± 1.29 / 49.03 ± 0.63@@-0.02196476845870647,12.59 ± 0.43 / 3.32 ± 0.43@@12.585773005892724,-@@-1,0.44 ± 0.86 / 25.21 ± 0.67@@0.44282660667356655,3.53 ± 0.82 / 27.68 ± 0.62@@3.5305217582431756,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,-@@0,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/sentence-transformers/quora-distilbert-multilingual'>sentence-transformers/quora-distilbert-multilingual</a>,🔍,-@@100,134734080.0,119547.0,512.0,✓,✗,36.39 ± 4.07 / 56.99 ± 2.91@@36.387925193030476,74.09 ± 0.51 / 75.77 ± 0.72@@74.09173649922647,0.42 ± 1.49 / 44.59 ± 4.33@@0.4164991274374462,11.55 ± 0.43 / 2.22 ± 0.18@@11.54999194748167,-@@-1,0.48 ± 0.89 / 24.90 ± 0.65@@0.4825135554569443,5.04 ± 1.01 / 28.82 ± 0.76@@5.041262153061734,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,-@@0,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/sentence-transformers/paraphrase-xlm-r-multilingual-v1'>sentence-transformers/paraphrase-xlm-r-multilingual-v1</a>,🔍,-@@100,278044162.0,250002.0,512.0,✓,✗,38.92 ± 2.23 / 58.97 ± 1.68@@38.9231400483644,75.38 ± 0.81 / 77.34 ± 0.63@@75.37847026962496,1.82 ± 2.94 / 47.35 ± 3.45@@1.817075782515318,12.45 ± 0.65 / 2.62 ± 0.45@@12.44836110188916,-@@-1,0.04 ± 0.72 / 24.76 ± 0.58@@0.04380054344987344,5.17 ± 0.96 / 28.91 ± 0.70@@5.166864702252511,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,-@@0,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2'>sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2</a>,🔍,-@@100,117654272.0,250037.0,512.0,✓,✗,33.83 ± 4.62 / 54.75 ± 3.25@@33.8281214069679,64.48 ± 1.55 / 67.27 ± 1.55@@64.48140502964932,0.29 ± 1.14 / 49.18 ± 0.60@@0.29390056947239074,12.70 ± 0.30 / 1.88 ± 0.23@@12.698120533140965,-@@-1,-0.35 ± 0.83 / 24.34 ± 0.64@@-0.34685604007863413,5.14 ± 0.96 / 28.89 ± 0.74@@5.136418557799803,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,-@@0,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/ibm-granite/granite-20b-code-instruct'>ibm-granite/granite-20b-code-instruct (few-shot)</a>,📝,-@@100,20066993152.0,49152.0,8192.0,✓,✗,14.34 ± 2.06 / 27.39 ± 2.13@@14.337181440004857,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.4.2.dev0@@150402,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
fresh-xlm-roberta-base,🔍,-@@100,278885778.0,250002.0,512.0,✓,✗,6.91 ± 4.81 / 29.37 ± 7.17@@6.911334838274072,25.06 ± 1.90 / 24.55 ± 1.96@@25.057943057929556,-0.46 ± 1.47 / 36.10 ± 3.20@@-0.4581012101548611,3.92 ± 2.22 / 0.22 ± 0.13@@3.9229552019406264,-@@-1,0.23 ± 1.12 / 22.82 ± 0.65@@0.23359645661649694,-0.87 ± 1.40 / 24.60 ± 0.80@@-0.8654611778399484,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,-@@0,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/sentence-transformers/distiluse-base-multilingual-cased'>sentence-transformers/distiluse-base-multilingual-cased</a>,🔍,-@@100,134734080.0,119547.0,512.0,✓,✗,20.81 ± 7.06 / 40.25 ± 8.28@@20.81411762659792,57.75 ± 1.83 / 61.54 ± 1.78@@57.75132003667982,1.23 ± 0.98 / 47.47 ± 1.75@@1.2258671251700426,-@@-1,-@@-1,-@@-1,-@@-1,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/NovaSky-AI/Sky-T1-32B-Preview'>NovaSky-AI/Sky-T1-32B-Preview (few-shot)</a>,📝,-@@100,32763876352.0,152064.0,32768.0,✓,✗,50.63 ± 1.31 / 64.73 ± 1.22@@50.628040129836236,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.4.2.dev0@@150402,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/sentence-transformers/distiluse-base-multilingual-cased-v1'>sentence-transformers/distiluse-base-multilingual-cased-v1</a>,🔍,-@@100,134734080.0,119547.0,512.0,✓,✗,28.45 ± 5.31 / 50.94 ± 5.25@@28.447651122749733,52.67 ± 2.42 / 55.92 ± 2.35@@52.6744907192042,0.30 ± 1.83 / 43.40 ± 2.44@@0.29825926805757164,10.33 ± 0.66 / 1.12 ± 0.26@@10.325244116623228,-@@-1,-1.53 ± 0.98 / 22.83 ± 0.79@@-1.525331713954672,3.87 ± 0.91 / 27.86 ± 0.63@@3.8659618609574857,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,-@@0,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/microsoft/xlm-align-base'>microsoft/xlm-align-base</a>,🔍,-@@100,278045955.0,250002.0,514.0,✓,✗,7.22 ± 9.60 / 31.16 ± 8.08@@7.219210191582465,81.41 ± 0.80 / 82.34 ± 0.55@@81.4101920553749,3.01 ± 2.94 / 48.19 ± 2.27@@3.007287994711924,19.93 ± 3.26 / 6.91 ± 1.86@@19.933739579330926,-@@-1,0.43 ± 0.86 / 25.15 ± 0.63@@0.4303240473031128,3.60 ± 1.28 / 27.73 ± 0.94@@3.600159145724333,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,-@@0,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/ZurichNLP/unsup-simcse-xlm-roberta-base'>ZurichNLP/unsup-simcse-xlm-roberta-base</a>,🔍,-@@100,277453570.0,250002.0,514.0,✓,✗,27.15 ± 8.85 / 48.24 ± 7.69@@27.14701966172615,82.10 ± 0.70 / 82.82 ± 0.62@@82.10467603936247,2.76 ± 2.03 / 47.16 ± 3.80@@2.75988377397169,21.30 ± 3.30 / 8.10 ± 1.86@@21.297236126033447,-@@-1,0.14 ± 0.55 / 24.91 ± 0.43@@0.14497968020569177,1.84 ± 1.44 / 26.39 ± 1.08@@1.8366808688202576,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,-@@0,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/microsoft/phi-4'>microsoft/phi-4 (few-shot)</a>,📝,-@@100,14659507200.0,100352.0,16384.0,✓,✗,49.55 ± 1.69 / 65.85 ± 1.17@@49.5499289460361,-@@-1,38.73 ± 2.98 / 67.80 ± 2.36@@38.732315539273785,-@@-1,-@@-1,-@@-1,-@@-1,15.5.0@@150500,-@@0,15.5.0@@150500,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/intfloat/multilingual-e5-large'>intfloat/multilingual-e5-large</a>,🔍,-@@100,559890946.0,250002.0,512.0,✓,✗,50.03 ± 2.97 / 65.88 ± 3.22@@50.030066753796795,84.40 ± 0.54 / 84.21 ± 0.56@@84.40258789460758,9.06 ± 6.86 / 52.98 ± 4.18@@9.062405314059305,51.46 ± 2.59 / 29.74 ± 1.56@@51.46411531060604,-@@-1,0.09 ± 1.16 / 24.80 ± 0.93@@0.09137586578918452,3.21 ± 1.26 / 27.42 ± 0.95@@3.2052590022042304,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,-@@0,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/intfloat/multilingual-e5-large-instruct'>intfloat/multilingual-e5-large-instruct</a>,🔍,-@@100,559890432.0,250002.0,512.0,✓,✗,-@@-1,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,15.6.1.dev0@@150601,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/norallm/normistral-11b-warm'>norallm/normistral-11b-warm (few-shot)</a>,🧠,-@@100,11429893120.0,51200.0,1024000.0,✓,✗,31.70 ± 2.49 / 46.74 ± 2.53@@31.702178201422242,-@@-1,0.38 ± 0.75 / 33.40 ± 0.27@@0.3815201671872209,62.62 ± 1.10 / 38.89 ± 1.70@@62.622926769803904,61.52 ± 0.42 / 15.95 ± 0.92@@61.5224481329642,13.15 ± 1.09 / 34.65 ± 0.83@@13.15410668089742,4.95 ± 0.43 / 27.67 ± 0.79@@4.951517678183247,15.4.1@@150401,-@@0,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/intfloat/multilingual-e5-base'>intfloat/multilingual-e5-base</a>,🔍,-@@100,278044162.0,250002.0,512.0,✓,✗,47.29 ± 2.29 / 64.53 ± 1.69@@47.28985539235503,83.16 ± 0.54 / 84.10 ± 0.54@@83.16291382849998,10.64 ± 9.74 / 52.04 ± 5.90@@10.642853751021745,40.22 ± 1.77 / 20.71 ± 1.51@@40.221756148092055,-@@-1,0.42 ± 1.16 / 25.09 ± 0.92@@0.4154995631287688,1.44 ± 1.29 / 26.09 ± 0.96@@1.4419451038716233,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,-@@0,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/cardiffnlp/twitter-xlm-roberta-base'>cardiffnlp/twitter-xlm-roberta-base</a>,🔍,-@@100,278045955.0,250002.0,514.0,✓,✗,22.07 ± 10.26 / 41.73 ± 10.52@@22.073677770787427,80.02 ± 0.77 / 80.89 ± 0.44@@80.0166179967386,3.82 ± 4.94 / 41.09 ± 6.48@@3.824532544134054,13.77 ± 0.48 / 3.91 ± 0.40@@13.767217426911438,-@@-1,0.26 ± 1.03 / 25.04 ± 0.75@@0.26256860572475893,1.16 ± 1.28 / 25.90 ± 0.95@@1.1648586217783106,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,-@@0,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/answerdotai/ModernBERT-large'>answerdotai/ModernBERT-large</a>,🔍,-@@100,395881664.0,50368.0,8192.0,✓,✗,10.60 ± 2.27 / 34.57 ± 3.70@@10.595033616011415,61.82 ± 1.35 / 65.38 ± 1.17@@61.82379471580288,7.83 ± 3.28 / 52.60 ± 2.49@@7.830119788769961,20.64 ± 1.74 / 7.28 ± 1.01@@20.644908845401506,-@@-1,0.78 ± 1.04 / 25.49 ± 0.77@@0.7781674039123203,3.30 ± 1.74 / 27.50 ± 1.31@@3.2969562186532855,15.5.0.dev0@@150500,15.6.1.dev0@@150601,15.5.0.dev0@@150500,15.5.0.dev0@@150500,-@@0,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking'>sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking</a>,🔍,-@@100,134734080.0,119547.0,512.0,✓,✗,36.39 ± 4.07 / 56.99 ± 2.91@@36.387925193030476,73.91 ± 0.48 / 75.64 ± 0.74@@73.90519186090762,0.42 ± 1.49 / 44.59 ± 4.33@@0.4193067372000154,11.55 ± 0.45 / 2.23 ± 0.19@@11.547556933225632,-@@-1,0.66 ± 0.84 / 25.02 ± 0.64@@0.6608499586828539,4.86 ± 1.32 / 28.69 ± 1.01@@4.855357588168925,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,-@@0,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/answerdotai/ModernBERT-base'>answerdotai/ModernBERT-base</a>,🔍,-@@100,149655232.0,50368.0,8192.0,✓,✗,14.40 ± 2.51 / 39.84 ± 1.76@@14.395881630330656,60.66 ± 1.36 / 64.65 ± 1.13@@60.66388151704074,0.62 ± 1.51 / 48.33 ± 0.80@@0.6177928072106218,13.56 ± 1.39 / 3.58 ± 0.96@@13.555051864972082,-@@-1,-1.21 ± 1.46 / 24.00 ± 1.12@@-1.20642064806783,0.73 ± 1.85 / 25.56 ± 1.39@@0.7304775288903937,15.5.0.dev0@@150500,15.6.1.dev0@@150601,15.5.0.dev0@@150500,15.5.0.dev0@@150500,-@@0,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/Geotrend/distilbert-base-25lang-cased'>Geotrend/distilbert-base-25lang-cased</a>,🔍,-@@100,108867577.0,84985.0,512.0,✓,✗,20.91 ± 7.91 / 43.21 ± 7.98@@20.913224300742996,79.43 ± 0.73 / 80.58 ± 0.49@@79.43397085957648,2.27 ± 3.05 / 43.67 ± 5.57@@2.2685971407291436,14.32 ± 0.39 / 5.00 ± 0.39@@14.323847910214628,-@@-1,-0.25 ± 1.10 / 24.44 ± 0.76@@-0.246576894059248,0.41 ± 1.12 / 25.34 ± 0.83@@0.41251070791698263,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,-@@0,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://ollama.com/library/gemma3:1b'>ollama_chat/gemma3:1b (few-shot)</a>,📝,-@@100,999885952.0,,32768.0,✓,✗,26.06 ± 10.46 / 48.06 ± 7.14@@26.0632398199526,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.7.2.dev0@@150702,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://ollama.com/library/gemma3:4b-it-q4_K_M'>ollama_chat/gemma3:4b-it-q4_K_M (few-shot)</a>,📝,-@@100,4299915632.0,,131072.0,✓,✗,33.44 ± 10.49 / 51.45 ± 6.53@@33.44352077909372,-@@-1,6.13 ± 3.32 / 51.68 ± 1.91@@6.12633971372303,-@@-1,-@@-1,-@@-1,-@@-1,15.7.2.dev0@@150702,-@@0,15.7.2.dev0@@150702,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/FacebookAI/xlm-roberta-large'>FacebookAI/xlm-roberta-large</a>,🔍,-@@100,561192082.0,250002.0,512.0,✓,✗,12.48 ± 11.46 / 31.42 ± 11.06@@12.479400331670366,83.63 ± 0.96 / 83.59 ± 0.78@@83.63460231909819,10.19 ± 8.11 / 46.97 ± 7.12@@10.192589315081484,50.70 ± 1.96 / 29.66 ± 1.30@@50.701340072747826,-@@-1,0.72 ± 1.15 / 25.27 ± 0.87@@0.7166662837284755,1.72 ± 1.73 / 26.31 ± 1.30@@1.7201369406911606,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,-@@0,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/EuropeanParliament/EUBERT'>EuropeanParliament/EUBERT</a>,🔍,-@@100,93990500.0,65636.0,512.0,✓,✗,17.69 ± 4.90 / 42.64 ± 5.35@@17.68934330450303,59.23 ± 1.19 / 57.77 ± 0.97@@59.22737364127566,2.29 ± 2.30 / 48.54 ± 2.47@@2.29121079313051,14.00 ± 0.60 / 4.35 ± 0.42@@13.997213394213622,-@@-1,-0.46 ± 1.10 / 24.42 ± 0.85@@-0.4614710470236194,1.02 ± 1.27 / 25.78 ± 0.96@@1.0166001457459966,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,-@@0,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/microsoft/mdeberta-v3-base'>microsoft/mdeberta-v3-base</a>,🔍,-@@100,278811651.0,251000.0,512.0,✓,✗,10.64 ± 9.98 / 29.26 ± 10.01@@10.642647847011776,81.60 ± 0.88 / 82.58 ± 0.65@@81.60414798072983,40.48 ± 7.82 / 68.69 ± 4.29@@40.482809745275716,44.50 ± 1.00 / 23.86 ± 1.00@@44.49787769172561,-@@-1,-0.35 ± 1.13 / 24.69 ± 0.83@@-0.3453222542315221,2.08 ± 3.72 / 26.56 ± 2.79@@2.075414627810908,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,-@@0,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/PleIAs/Pleias-Nano'>PleIAs/Pleias-Nano (few-shot)</a>,🧠,-@@100,1195468800.0,65536.0,2048.0,✓,✗,28.15 ± 3.94 / 40.92 ± 4.97@@28.151595011340735,25.71 ± 4.41 / 28.11 ± 3.55@@25.712686846497533,0.11 ± 0.95 / 35.08 ± 3.28@@0.10668015477394803,41.52 ± 3.40 / 21.28 ± 3.11@@41.51897042860035,46.59 ± 5.03 / 6.77 ± 1.67@@46.59494392297347,-@@-1,-@@-1,15.7.2.dev0@@150702,15.8.0@@150800,15.7.2.dev0@@150702,15.8.0@@150800,15.8.1@@150801,-@@0,-@@0
fresh-electra-small,🔍,-@@100,13738755.0,32000.0,128.0,✓,✗,0.00 ± 0.00 / 19.15 ± 0.28@@0.0,21.57 ± 0.99 / 20.45 ± 0.95@@21.566102639877172,0.19 ± 0.37 / 33.42 ± 0.27@@0.1899837703138306,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,-@@-1,2.14 ± 0.95 / 23.93 ± 0.83@@2.141110135487752,0.72 ± 1.04 / 25.70 ± 0.75@@0.7207756079061417,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,-@@0,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/dbmdz/bert-tiny-historic-multilingual-cased'>dbmdz/bert-tiny-historic-multilingual-cased</a>,🔍,-@@100,4624642.0,32000.0,512.0,✓,✗,2.01 ± 2.28 / 22.44 ± 3.03@@2.0070256285817276,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.44 ± 1.57 / 38.42 ± 3.84@@0.44022854941476913,8.40 ± 1.49 / 0.38 ± 0.13@@8.40034583507561,-@@-1,0.83 ± 1.63 / 25.48 ± 1.24@@0.8289958682441225,1.44 ± 0.66 / 26.10 ± 0.52@@1.4365004710311955,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,-@@0,15.6.1.dev0@@150601,15.6.1.dev0@@150601
