model,rank,parameters,vocabulary_size,context,speed,generative_type,commercial,merge,norec,norne_nb,norne_nn,scala_nb,scala_nn,norquad,no_sammendrag,nrk_quiz_qa,nor_common_sense_qa,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version,no_sammendrag_version,nrk_quiz_qa_version,nor_common_sense_qa_version
AI-Sweden-Models/gpt-sw3-6.7b-v2 (few-shot),3.37,7111057408.0,64000.0,2048,2350.93,🧠,✓,✗,34.67 ± 5.23 / 54.62 ± 5.71@@34.67193013063989,29.62 ± 4.17 / 24.40 ± 2.42@@29.615567830595346,32.30 ± 5.27 / 29.23 ± 3.22@@32.29831939050219,8.37 ± 1.71 / 48.94 ± 2.72@@8.370372753413688,7.76 ± 2.86 / 46.16 ± 4.77@@7.7573054327754605,67.57 ± 3.03 / 44.62 ± 3.31@@67.57318954107441,61.61 ± 2.04 / 14.34 ± 1.84@@61.606905953449306,5.36 ± 1.55 / 30.81 ± 0.82@@5.357249476893257,2.51 ± 1.74 / 21.97 ± 1.07@@2.5087498612195316,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,12.5.1@@120501,11.0.0@@110000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
AI-Sweden-Models/gpt-sw3-40b (few-shot),3.42,39926513664.0,64000.0,1793,408.99,🧠,✓,✗,31.05 ± 7.03 / 45.69 ± 8.29@@31.05262683544924,24.07 ± 5.59 / 19.09 ± 2.55@@24.07168569768483,26.67 ± 6.24 / 21.18 ± 2.80@@26.667367646405438,10.80 ± 1.96 / 52.29 ± 2.55@@10.79816428085952,8.89 ± 2.52 / 47.62 ± 4.31@@8.892878649266702,71.66 ± 3.34 / 48.78 ± 3.64@@71.65927531589722,61.58 ± 2.25 / 15.13 ± 2.44@@61.58110867429058,5.35 ± 1.24 / 30.78 ± 0.97@@5.35275172643651,6.07 ± 1.39 / 23.74 ± 0.91@@6.073399184420712,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900,12.9.1@@120901,15.2.0.dev0@@150200,15.2.0.dev0@@150200
norallm/normistral-7b-warm (few-shot),3.43,7248023552.0,32768.0,2048,3174.78,🧠,✓,✗,27.05 ± 3.33 / 45.30 ± 3.46@@27.048163096728512,42.29 ± 4.36 / 31.45 ± 1.88@@42.28929078619455,46.29 ± 3.44 / 35.99 ± 4.20@@46.28921684374539,1.63 ± 2.58 / 38.29 ± 4.05@@1.628922888323176,2.57 ± 1.78 / 40.92 ± 4.00@@2.56815002156132,61.85 ± 3.07 / 39.18 ± 2.84@@61.850084374978564,62.81 ± 1.69 / 17.08 ± 1.49@@62.80964174009569,6.93 ± 1.65 / 27.57 ± 0.87@@6.9348769679454945,1.32 ± 1.32 / 20.98 ± 0.76@@1.3150652793225681,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
NorwAI/NorwAI-Mistral-7B-instruct (few-shot),3.44,7536586752.0,67993.0,4065,3027.1,📝,✗,✗,47.78 ± 3.12 / 64.33 ± 2.80@@47.78149833298057,27.49 ± 2.13 / 24.26 ± 1.41@@27.489895101211765,32.33 ± 2.92 / 29.29 ± 2.05@@32.33359392608824,3.92 ± 1.56 / 45.78 ± 2.36@@3.9158277060571693,4.27 ± 2.44 / 42.86 ± 3.51@@4.274371460037783,29.01 ± 1.18 / 2.46 ± 0.73@@29.006031189884954,62.75 ± 0.25 / 13.28 ± 0.27@@62.74560133904743,12.17 ± 1.88 / 33.96 ± 1.17@@12.172488027246132,3.69 ± 1.44 / 22.75 ± 0.94@@3.6873770674714605,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,15.2.0.dev0@@150200,15.2.0.dev0@@150200
Qwen/Qwen2.5-Math-7B (few-shot),3.47,7615616512.0,152064.0,4096,1522.74,🧠,✓,✗,27.21 ± 1.32 / 34.05 ± 1.33@@27.2076567340766,49.28 ± 1.08 / 29.20 ± 2.13@@49.281941866258165,49.53 ± 1.59 / 34.20 ± 2.37@@49.53387339277742,10.02 ± 2.53 / 47.17 ± 4.69@@10.017502664739396,7.25 ± 3.11 / 42.27 ± 4.81@@7.253893187955065,24.95 ± 4.50 / 3.04 ± 2.72@@24.95000806943238,57.13 ± 1.01 / 8.15 ± 0.64@@57.12558105631616,11.33 ± 1.09 / 34.99 ± 0.95@@11.328830511572033,29.52 ± 1.41 / 43.11 ± 1.20@@29.52063904450189,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200
AI-Sweden-Models/gpt-sw3-1.3b-instruct (few-shot),3.49,1444532224.0,64000.0,2048,4544.34,📝,✓,✗,35.58 ± 2.13 / 44.49 ± 2.52@@35.584032456728046,33.08 ± 2.22 / 34.51 ± 2.24@@33.08292662760518,38.28 ± 2.63 / 40.50 ± 2.72@@38.27933366838321,0.82 ± 1.46 / 34.78 ± 1.54@@0.8180745389804057,1.43 ± 1.70 / 34.19 ± 1.10@@1.4265476597486515,58.71 ± 1.63 / 36.06 ± 1.76@@58.70890687700521,63.11 ± 0.71 / 15.22 ± 1.02@@63.1074647870264,3.36 ± 0.98 / 27.41 ± 0.64@@3.3592267791696764,-2.66 ± 1.28 / 19.25 ± 0.63@@-2.6585659482881727,9.3.1@@90301,12.5.2@@120502,12.5.2@@120502,12.1.0@@120100,12.1.0@@120100,12.4.0@@120400,12.4.0@@120400,15.2.0.dev0@@150200,15.2.0.dev0@@150200
ibm-granite/granite-3.0-3b-a800m-instruct (few-shot),3.5,3374295552.0,49155.0,4096,6762.6,📝,✓,✗,19.95 ± 1.91 / 25.11 ± 2.48@@19.951243455814975,45.22 ± 2.31 / 35.94 ± 1.56@@45.21617770344858,46.46 ± 2.15 / 37.39 ± 3.27@@46.459691891958556,5.07 ± 0.85 / 46.57 ± 4.00@@5.0693913314214285,2.20 ± 1.53 / 47.42 ± 2.51@@2.2005800657618573,49.55 ± 1.40 / 28.10 ± 1.16@@49.55399521371695,60.92 ± 0.37 / 11.61 ± 0.60@@60.9216754562658,12.20 ± 0.99 / 30.81 ± 0.75@@12.202927832002656,11.60 ± 1.07 / 27.81 ± 1.18@@11.603510055324609,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200
openGPT-X/Teuken-7B-instruct-research-v0.4 (few-shot),3.53,7452725248.0,250680.0,4096,2907.53,📝,✗,✗,16.02 ± 6.40 / 30.81 ± 5.11@@16.020317609322998,37.36 ± 1.61 / 24.19 ± 1.65@@37.35853390193914,42.83 ± 1.41 / 28.06 ± 1.69@@42.83263929239568,-0.08 ± 0.82 / 33.74 ± 0.41@@-0.080992277574155,2.29 ± 1.78 / 35.36 ± 1.11@@2.287537114810544,56.15 ± 1.66 / 31.60 ± 1.36@@56.14805222015188,61.93 ± 0.08 / 9.94 ± 0.21@@61.92943470334284,9.93 ± 1.13 / 28.90 ± 0.94@@9.934138755804774,14.42 ± 1.19 / 28.73 ± 1.11@@14.421693305618938,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,15.2.0.dev0@@150200,15.2.0.dev0@@150200
openGPT-X/Teuken-7B-instruct-commercial-v0.4 (few-shot),3.55,7452725248.0,250680.0,4096,3316.35,📝,✓,✗,11.44 ± 6.41 / 28.94 ± 3.94@@11.444569445502871,38.88 ± 1.25 / 28.97 ± 1.64@@38.883370695189754,41.84 ± 1.56 / 31.87 ± 2.29@@41.839731709024456,6.46 ± 1.76 / 50.59 ± 1.97@@6.463574461740443,3.82 ± 1.61 / 48.38 ± 2.74@@3.821078730767978,55.25 ± 2.25 / 31.29 ± 1.98@@55.24891869190164,62.76 ± 0.26 / 13.35 ± 0.24@@62.75764305362828,8.86 ± 0.89 / 29.95 ± 0.72@@8.863076163307097,15.59 ± 1.35 / 29.85 ± 1.11@@15.594522107053294,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200
meta-llama/Llama-3.2-1B-Instruct (few-shot),3.62,1235814400.0,128256.0,131073,7435.78,📝,✓,✗,27.43 ± 1.89 / 42.83 ± 3.08@@27.42841939252379,44.66 ± 0.68 / 41.13 ± 2.11@@44.66460494905717,47.78 ± 1.22 / 44.30 ± 1.57@@47.77830408187026,0.07 ± 1.51 / 34.07 ± 0.78@@0.07341694065687285,1.14 ± 1.23 / 33.17 ± 0.47@@1.1397960587574645,39.37 ± 4.69 / 18.00 ± 3.56@@39.37358978919968,57.67 ± 1.45 / 10.42 ± 1.07@@57.67089153545385,8.11 ± 0.90 / 31.38 ± 0.52@@8.114599015695866,4.74 ± 1.64 / 22.61 ± 0.91@@4.740834828709975,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
ibm-granite/granite-3.0-3b-a800m-base (few-shot),3.63,3374286336.0,49152.0,4096,1601.49,🧠,✓,✗,24.76 ± 1.25 / 31.92 ± 1.68@@24.758845494532437,41.10 ± 2.29 / 30.80 ± 3.33@@41.09988744380506,41.31 ± 2.54 / 30.37 ± 2.76@@41.30597150142536,0.13 ± 1.12 / 35.90 ± 2.84@@0.12803135229343707,0.11 ± 0.35 / 35.00 ± 1.58@@0.11135793531304834,42.95 ± 2.68 / 23.95 ± 1.58@@42.94796918537752,60.07 ± 1.43 / 11.42 ± 1.89@@60.07227334535855,5.01 ± 1.30 / 28.35 ± 0.96@@5.009286472532628,2.24 ± 1.66 / 21.39 ± 0.95@@2.2422500466264474,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200
HPLT/gpt-33b-nordic-prerelease (few-shot),3.65,33119034368.0,131072.0,4097,501.12,🧠,✓,✗,38.88 ± 4.12 / 54.92 ± 4.66@@38.88045126504294,31.38 ± 5.44 / 24.32 ± 2.75@@31.384530061454218,37.84 ± 4.65 / 29.35 ± 4.10@@37.84278626405361,3.41 ± 2.16 / 35.53 ± 2.75@@3.4056033081291917,3.11 ± 1.55 / 39.80 ± 4.20@@3.110864409980129,51.24 ± 2.87 / 30.39 ± 2.51@@51.24208770047225,55.01 ± 1.93 / 8.21 ± 0.98@@55.009626897081034,0.25 ± 0.86 / 27.89 ± 0.52@@0.25099159232866086,-0.16 ± 0.92 / 20.60 ± 0.81@@-0.15957028332366283,12.9.1@@120901,12.9.1@@120901,12.10.0@@121000,12.10.0@@121000,12.10.0@@121000,12.10.0@@121000,12.10.0@@121000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
BSC-LT/salamandra-2b-instruct (few-shot),3.69,2253490176.0,256000.0,8192,10891.84,📝,✓,✗,21.09 ± 2.64 / 23.43 ± 2.78@@21.08923776539174,35.70 ± 2.94 / 35.05 ± 2.07@@35.697478068429916,34.31 ± 3.66 / 34.16 ± 3.62@@34.312673872423005,-1.16 ± 1.47 / 44.32 ± 3.65@@-1.1568250608113295,-1.04 ± 1.53 / 45.99 ± 3.22@@-1.0417090412088759,59.03 ± 0.73 / 34.39 ± 1.26@@59.0271137628161,59.06 ± 0.55 / 10.25 ± 0.44@@59.05512639343215,4.72 ± 2.19 / 27.12 ± 0.69@@4.723395392708054,-1.76 ± 1.40 / 18.82 ± 0.96@@-1.7550785470256465,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,15.2.0.dev0@@150200,15.2.0.dev0@@150200
LumiOpen/Viking-13B (few-shot),3.7,14030361600.0,131072.0,4096,908.37,🧠,✓,✗,28.54 ± 3.59 / 38.38 ± 3.10@@28.539674037297697,33.92 ± 5.16 / 25.36 ± 2.95@@33.92079059316166,27.79 ± 4.52 / 24.23 ± 2.54@@27.788371487345938,5.19 ± 1.55 / 39.93 ± 2.61@@5.1913122294073455,2.85 ± 2.05 / 42.57 ± 3.24@@2.8461955723890897,53.76 ± 4.10 / 34.68 ± 3.41@@53.75627338207643,55.71 ± 2.31 / 8.49 ± 1.22@@55.705000668094726,1.37 ± 0.68 / 25.76 ± 0.68@@1.3657430034228824,0.58 ± 1.64 / 20.24 ± 1.04@@0.576301052370434,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
AI-Sweden-Models/gpt-sw3-6.7b (few-shot),3.72,7111057408.0,64000.0,2048,2285.21,🧠,✓,✗,18.23 ± 9.28 / 38.93 ± 6.44@@18.23278825084591,22.35 ± 7.84 / 23.89 ± 4.74@@22.3466839388815,21.98 ± 7.52 / 27.22 ± 4.97@@21.979001488143727,1.68 ± 1.35 / 39.93 ± 2.78@@1.6766517784285957,2.49 ± 1.88 / 40.26 ± 3.23@@2.4898604369812785,64.25 ± 3.13 / 41.80 ± 3.14@@64.25135183282516,60.38 ± 1.78 / 12.50 ± 1.62@@60.37518825098231,5.39 ± 2.12 / 27.69 ± 1.00@@5.388161184148575,-1.53 ± 1.62 / 19.27 ± 1.17@@-1.5329271029777825,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
AI-Sweden-Models/gpt-sw3-356m-instruct (few-shot),3.72,470607872.0,64000.0,2048,5854.62,📝,✓,✗,30.88 ± 2.75 / 46.07 ± 3.07@@30.882089057697804,24.38 ± 2.13 / 25.79 ± 2.29@@24.384113560869416,31.28 ± 1.60 / 33.48 ± 1.60@@31.27709203832331,-0.30 ± 1.46 / 34.93 ± 1.25@@-0.2991083610873529,0.45 ± 0.57 / 33.74 ± 1.25@@0.4468266422210003,42.69 ± 1.94 / 23.99 ± 1.59@@42.68865821368609,60.73 ± 0.70 / 11.71 ± 0.76@@60.734882176620886,2.59 ± 1.69 / 20.10 ± 1.85@@2.58543759115073,0.77 ± 1.65 / 20.60 ± 1.09@@0.7661670379781205,9.3.2@@90302,12.5.2@@120502,12.5.2@@120502,12.1.0@@120100,12.1.0@@120100,12.4.0@@120400,12.4.0@@120400,15.2.0.dev0@@150200,15.2.0.dev0@@150200
ibm-granite/granite-7b-instruct (few-shot),3.72,6738481152.0,32008.0,4096,3136.16,📝,✓,✗,21.50 ± 2.19 / 36.73 ± 3.30@@21.503593367072757,37.73 ± 2.53 / 31.57 ± 3.65@@37.734288424633334,40.07 ± 1.68 / 35.25 ± 2.70@@40.072961258904705,0.86 ± 1.18 / 44.09 ± 2.96@@0.8614360568871937,2.01 ± 1.11 / 41.46 ± 3.24@@2.0095214349758876,48.70 ± 1.69 / 27.03 ± 1.40@@48.69749065255371,59.05 ± 0.69 / 11.70 ± 0.58@@59.0539779773826,0.16 ± 0.41 / 16.91 ± 0.40@@0.15619455471140928,0.00 ± 0.00 / 19.96 ± 0.95@@0.0,13.0.0@@130000,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,15.2.0.dev0@@150200,15.2.0.dev0@@150200
google/gemma-2b (few-shot),3.73,2506172416.0,256000.0,8192,6087.12,🧠,✓,✗,31.39 ± 0.94 / 36.35 ± 0.82@@31.393615639493188,15.53 ± 5.69 / 15.49 ± 5.08@@15.533908882688404,19.78 ± 4.54 / 18.86 ± 4.22@@19.78384081657996,1.18 ± 1.00 / 33.34 ± 0.26@@1.182805894838812,0.00 ± 0.00 / 32.79 ± 0.34@@0.0,53.15 ± 4.42 / 33.33 ± 3.73@@53.15475767184093,57.65 ± 2.16 / 10.13 ± 1.30@@57.647998195679975,2.84 ± 0.94 / 27.46 ± 1.09@@2.8431365761754663,4.31 ± 1.77 / 22.88 ± 1.21@@4.311819237089534,15.0.0@@150000,12.5.2@@120502,12.5.2@@120502,12.1.0@@120100,12.1.0@@120100,12.1.0@@120100,12.1.0@@120100,15.2.0.dev0@@150200,15.2.0.dev0@@150200
NbAiLab/nb-gpt-j-6B-alpaca (few-shot),3.73,6055077088.0,50400.0,1024,2606.86,📝,✗,✗,32.60 ± 1.84 / 47.47 ± 3.33@@32.601051658442934,23.82 ± 4.25 / 22.08 ± 2.50@@23.81987986853792,26.04 ± 6.38 / 24.47 ± 3.69@@26.038656278392207,0.34 ± 1.43 / 44.47 ± 2.44@@0.3380615238417017,2.26 ± 2.27 / 45.41 ± 3.25@@2.2636782842635714,42.76 ± 1.02 / 21.33 ± 0.98@@42.75625323207419,58.08 ± 0.42 / 11.74 ± 0.50@@58.07529710800736,5.74 ± 0.81 / 29.02 ± 0.84@@5.737184932285105,4.22 ± 1.80 / 23.22 ± 1.38@@4.218479043494447,10.0.1@@100001,9.3.2@@90302,9.3.2@@90302,10.0.1@@100001,10.0.1@@100001,12.4.0@@120400,12.4.0@@120400,15.2.0.dev0@@150200,15.2.0.dev0@@150200
mhenrichsen/danskgpt-tiny-chat (few-shot),3.75,1100056576.0,32002.0,2048,1744.69,📝,✓,✗,27.49 ± 3.13 / 48.00 ± 3.89@@27.486517942666733,28.74 ± 4.18 / 28.29 ± 4.37@@28.739213972622657,30.34 ± 6.08 / 30.02 ± 6.42@@30.338036439488203,-2.17 ± 1.06 / 33.52 ± 0.37@@-2.17120079029684,0.26 ± 1.08 / 34.12 ± 0.45@@0.25614954654193006,38.96 ± 2.78 / 19.10 ± 2.33@@38.95656989055156,60.01 ± 0.81 / 9.76 ± 0.87@@60.01220847989316,4.38 ± 2.23 / 24.65 ± 0.78@@4.377841741399955,0.28 ± 1.27 / 19.95 ± 1.17@@0.28071884091524946,9.1.2@@90102,9.1.2@@90102,9.1.2@@90102,9.1.2@@90102,9.1.2@@90102,12.4.0@@120400,12.4.0@@120400,15.2.0.dev0@@150200,15.2.0.dev0@@150200
stabilityai/stablelm-2-1_6b (few-shot),3.75,1644515328.0,100352.0,4096,7258.53,🧠,✓,✗,33.71 ± 2.57 / 55.00 ± 1.41@@33.706864079561825,41.64 ± 3.64 / 39.43 ± 3.55@@41.63607378112085,42.37 ± 3.13 / 40.79 ± 3.10@@42.36535707386484,-0.19 ± 0.77 / 33.29 ± 0.30@@-0.19229521630305066,-0.01 ± 1.25 / 34.51 ± 2.09@@-0.014153992822661093,50.96 ± 3.46 / 30.14 ± 2.44@@50.95594519318033,49.22 ± 1.24 / 6.32 ± 0.45@@49.2189794130536,4.40 ± 0.86 / 29.88 ± 1.24@@4.401898568468275,3.66 ± 1.19 / 22.27 ± 0.80@@3.656522187481052,12.10.8@@121008,12.10.8@@121008,12.10.8@@121008,12.10.8@@121008,12.10.8@@121008,12.10.8@@121008,12.10.8@@121008,15.2.0.dev0@@150200,15.2.0.dev0@@150200
LumiOpen/Viking-7B (few-shot),3.76,7550013440.0,131072.0,4096,1430.69,🧠,✓,✗,35.86 ± 3.52 / 52.28 ± 3.76@@35.85639850745257,22.37 ± 5.96 / 23.75 ± 3.97@@22.374375875961068,29.90 ± 4.44 / 26.84 ± 3.45@@29.90451919798911,1.03 ± 2.07 / 36.12 ± 2.97@@1.0275412881441155,2.92 ± 1.89 / 36.47 ± 2.72@@2.916585931864154,54.65 ± 3.56 / 34.39 ± 3.15@@54.64786734175798,53.25 ± 1.69 / 6.87 ± 0.67@@53.24695960909593,0.80 ± 0.98 / 25.02 ± 0.72@@0.796227114735111,-3.17 ± 1.41 / 18.37 ± 0.65@@-3.1671060901611723,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,15.2.0.dev0@@150200,15.2.0.dev0@@150200
AI-Sweden-Models/gpt-sw3-1.3b (few-shot),3.76,1444532224.0,64000.0,2048,4607.55,🧠,✓,✗,27.28 ± 4.39 / 49.18 ± 4.23@@27.27649338603727,13.49 ± 7.98 / 14.80 ± 7.68@@13.490444952145552,14.74 ± 8.45 / 15.09 ± 7.85@@14.743126782716368,3.09 ± 0.79 / 42.87 ± 3.49@@3.089959840546765,1.86 ± 1.90 / 38.18 ± 1.44@@1.8579175536445713,54.30 ± 2.96 / 34.91 ± 2.65@@54.30103531323972,58.46 ± 2.59 / 11.38 ± 1.45@@58.455463376303676,5.15 ± 1.11 / 28.59 ± 0.48@@5.151258500753044,-0.49 ± 1.43 / 19.74 ± 1.11@@-0.49127470627214315,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,12.5.1@@120501,11.0.0@@110000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
BSC-LT/salamandra-2b (few-shot),3.76,2253490176.0,256000.0,8192,7146.49,🧠,✓,✗,27.70 ± 4.59 / 49.98 ± 2.99@@27.703603233105095,32.98 ± 4.98 / 33.04 ± 5.30@@32.98137377248529,33.22 ± 4.41 / 32.35 ± 4.93@@33.22110338026002,0.70 ± 1.39 / 44.26 ± 3.90@@0.6976927417818644,2.31 ± 1.76 / 46.14 ± 3.50@@2.306635021790066,46.06 ± 6.12 / 27.52 ± 5.39@@46.062829099171225,55.17 ± 2.37 / 8.66 ± 1.24@@55.174637919553795,2.63 ± 1.62 / 24.76 ± 0.72@@2.63465710515898,-0.99 ± 1.68 / 19.29 ± 0.84@@-0.9941476971282461,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,15.2.0.dev0@@150200,15.2.0.dev0@@150200
infly/OpenCoder-8B-Base (few-shot),3.76,7771263040.0,96640.0,8192,2978.18,🧠,✓,✗,18.69 ± 3.02 / 31.08 ± 2.19@@18.688694600503965,57.85 ± 1.86 / 32.68 ± 2.80@@57.84824158242956,56.67 ± 1.53 / 35.26 ± 4.42@@56.67108755281271,2.87 ± 1.36 / 39.49 ± 2.67@@2.870574245260126,2.36 ± 1.70 / 41.98 ± 3.66@@2.3644550309464933,38.91 ± 3.68 / 6.09 ± 3.56@@38.910813551117855,53.25 ± 2.19 / 7.03 ± 0.74@@53.249928803925286,3.88 ± 1.81 / 27.98 ± 1.11@@3.883759747941569,3.46 ± 1.94 / 21.67 ± 1.44@@3.4563143743204834,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,15.0.0@@150000,15.2.0.dev0@@150200,15.2.0.dev0@@150200
utter-project/EuroLLM-1.7B-Instruct (few-shot),3.77,1656850432.0,128000.0,4096,7892.76,📝,✓,✗,19.46 ± 2.09 / 30.93 ± 2.10@@19.46324923978311,36.24 ± 2.04 / 35.28 ± 2.22@@36.237056854736394,34.54 ± 2.26 / 33.20 ± 2.62@@34.53837932354134,-0.80 ± 1.55 / 34.09 ± 0.57@@-0.8031691896278247,0.03 ± 1.62 / 34.36 ± 0.77@@0.03135452024827505,50.13 ± 3.10 / 26.67 ± 3.37@@50.12520705728141,59.45 ± 1.98 / 10.85 ± 1.59@@59.446781404549256,1.60 ± 1.02 / 28.50 ± 1.27@@1.6043707752119483,0.30 ± 2.20 / 20.01 ± 1.48@@0.30157935526032875,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,13.1.0@@130100,15.2.0.dev0@@150200,15.2.0.dev0@@150200
HPLT/gpt-13b-nordic-prerelease (few-shot),3.78,14030361600.0,131072.0,4096,931.13,🧠,✓,✗,27.69 ± 2.70 / 38.32 ± 2.05@@27.691951014705552,42.21 ± 2.86 / 36.97 ± 4.26@@42.21195668451402,41.38 ± 2.49 / 35.64 ± 3.12@@41.382603249456515,1.72 ± 1.58 / 48.85 ± 1.78@@1.7211286868155848,0.19 ± 1.50 / 42.88 ± 3.03@@0.1877993725595145,42.57 ± 6.16 / 26.75 ± 4.33@@42.57372121383372,54.55 ± 1.90 / 7.99 ± 1.06@@54.55310830475355,1.60 ± 0.79 / 29.05 ± 0.88@@1.6047023506848137,2.07 ± 0.98 / 21.49 ± 0.77@@2.067955140335724,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,15.2.0.dev0@@150200,15.2.0.dev0@@150200
HuggingFaceTB/SmolLM2-1.7B-Instruct (few-shot),3.8,1711376384.0,49152.0,8192,7577.58,📝,✓,✗,19.51 ± 1.52 / 25.26 ± 2.18@@19.51346239416398,31.19 ± 3.35 / 22.74 ± 2.46@@31.194274273027776,29.78 ± 2.65 / 22.13 ± 2.14@@29.78350719672596,5.28 ± 2.48 / 39.63 ± 3.12@@5.281899375087793,3.71 ± 1.04 / 40.82 ± 2.49@@3.713806924441658,36.15 ± 1.01 / 17.55 ± 0.97@@36.1516521165734,58.13 ± 0.48 / 8.84 ± 0.23@@58.125951566617005,8.63 ± 1.83 / 31.92 ± 1.15@@8.633801814202247,1.67 ± 1.32 / 20.90 ± 1.22@@1.6687931309882231,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200
ibm-granite/granite-7b-base (few-shot),3.81,6738415616.0,32000.0,2048,4405.37,🧠,✓,✗,16.98 ± 3.42 / 27.01 ± 3.17@@16.978062133722045,32.21 ± 1.63 / 31.19 ± 1.29@@32.211068383421235,36.62 ± 1.94 / 36.40 ± 2.17@@36.61876971850534,1.57 ± 1.20 / 41.68 ± 4.20@@1.5680850185146193,0.97 ± 1.79 / 40.10 ± 4.50@@0.9672936762252348,44.62 ± 2.11 / 26.28 ± 1.51@@44.62023604124662,55.91 ± 2.53 / 9.21 ± 1.23@@55.906373772741055,9.06 ± 1.75 / 30.53 ± 1.30@@9.056430336233682,2.87 ± 0.81 / 21.93 ± 0.75@@2.873000000396931,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,15.2.0.dev0@@150200,15.2.0.dev0@@150200
utter-project/EuroLLM-1.7B (few-shot),3.81,,128000.0,4096,7912.54,🧠,✓,✗,20.34 ± 3.06 / 31.72 ± 3.07@@20.339927331814835,35.24 ± 2.46 / 36.27 ± 2.37@@35.23932971644942,37.07 ± 0.64 / 38.12 ± 0.73@@37.068041925717715,1.42 ± 1.10 / 48.02 ± 2.66@@1.415089128747051,-1.18 ± 0.96 / 36.32 ± 2.96@@-1.1822431393153312,42.62 ± 5.08 / 26.97 ± 3.98@@42.615966575960826,58.35 ± 1.08 / 10.27 ± 1.14@@58.35096601382247,0.40 ± 0.69 / 24.27 ± 0.47@@0.40239822843313783,0.20 ± 0.39 / 19.82 ± 0.57@@0.20085436891805905,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.2.0.dev0@@150200
