model,generative_type,rank,french,italian,spanish,parameters,vocabulary_size,context,commercial,merge,allocine,eltec,scala_fr,fquad,sentipolc16,multinerd_it,scala_it,squad_it,sentiment_headlines_es,conll_es,scala_es,mlqa_es,allocine_version,eltec_version,scala_fr_version,fquad_version,sentipolc16_version,multinerd_it_version,scala_it_version,squad_it_version,sentiment_headlines_es_version,conll_es_version,scala_es_version,mlqa_es_version
<a href='https://huggingface.co/CohereForAI/aya-expanse-32b'>CohereForAI/aya-expanse-32b (few-shot)</a>,📝,1.66@@1.66,1.84@@1.84,1.52@@1.52,1.61@@1.61,32296476672.0,256000.0,8192.0,✗,✗,93.26 ± 0.88 / 96.56 ± 0.47@@93.26215261798009,60.13 ± 1.98 / 51.40 ± 2.89@@60.12564785983041,38.15 ± 2.70 / 68.03 ± 1.09@@38.15273231497321,68.53 ± 1.03 / 38.44 ± 0.79@@68.52838398392299,65.35 ± 1.98 / 75.62 ± 2.01@@65.35017159764848,73.34 ± 1.46 / 52.63 ± 2.04@@73.33727563710387,29.71 ± 1.88 / 64.06 ± 1.36@@29.70690434871549,72.10 ± 0.68 / 50.43 ± 1.79@@72.10382788044367,48.75 ± 1.90 / 65.43 ± 1.41@@48.753732528895846,67.72 ± 0.99 / 58.57 ± 1.36@@67.71697065711393,27.76 ± 2.91 / 62.92 ± 2.09@@27.76384165676806,66.52 ± 0.46 / 38.66 ± 1.01@@66.52080856333347,15.4.1@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1.dev0@@150401,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1.dev0@@150401,15.4.1.dev0@@150401
"<a href='https://platform.openai.com/docs/models/gpt-4o-mini'>gpt-4o-mini-2024-07-18 (few-shot, val)</a>",📝,1.66@@1.66,1.74@@1.74,1.74@@1.74,1.51@@1.51,,200019.0,128000.0,✓,✗,92.88 ± 1.37 / 96.36 ± 0.71@@92.88383512012162,58.85 ± 2.72 / 52.10 ± 2.72@@58.85070940888032,41.60 ± 3.34 / 62.05 ± 2.32@@41.6033776395203,71.95 ± 1.63 / 38.21 ± 1.77@@71.9491786470527,52.64 ± 3.65 / 58.71 ± 5.80@@52.63813494258491,72.68 ± 1.81 / 48.23 ± 2.52@@72.68375593904308,26.54 ± 2.71 / 50.68 ± 1.85@@26.538050021763055,75.69 ± 1.46 / 50.01 ± 2.13@@75.68508235735186,51.12 ± 2.57 / 64.50 ± 2.17@@51.122460641898826,72.49 ± 1.94 / 58.91 ± 3.38@@72.49352698143754,29.24 ± 3.10 / 57.10 ± 1.90@@29.240424338256254,66.40 ± 1.42 / 33.13 ± 2.25@@66.3988695435224,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.6.1.dev0@@150601,15.4.2@@150402,15.4.2@@150402
<a href='https://huggingface.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B (few-shot)</a>,🤔,1.70@@1.70,1.78@@1.78,1.71@@1.71,1.59@@1.59,32762123264.0,151936.0,40960.0,✓,✗,94.24 ± 0.52 / 97.12 ± 0.26@@94.24209902484708,64.61 ± 1.76 / 62.03 ± 2.03@@64.61370245340656,38.09 ± 2.28 / 61.20 ± 1.34@@38.087291825281596,69.27 ± 0.82 / 42.53 ± 0.70@@69.27021053636784,65.22 ± 1.25 / 74.60 ± 1.17@@65.22150250713172,69.47 ± 1.28 / 50.71 ± 2.06@@69.47148591179169,27.49 ± 1.14 / 53.54 ± 0.73@@27.49027113753438,70.06 ± 0.81 / 54.11 ± 1.00@@70.05883823140087,47.50 ± 1.70 / 63.73 ± 1.20@@47.503863707826476,72.91 ± 1.45 / 65.84 ± 1.53@@72.90646244357517,36.13 ± 0.90 / 60.97 ± 0.70@@36.125547910640385,51.79 ± 15.82 / 32.76 ± 10.72@@51.78761523875986,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt (few-shot)</a>,🧠,1.71@@1.71,1.88@@1.88,1.78@@1.78,1.46@@1.46,27432406640.0,262144.0,,✓,✗,93.42 ± 0.43 / 96.66 ± 0.23@@93.42415695606059,51.12 ± 4.79 / 49.83 ± 4.74@@51.12150218704974,38.53 ± 2.10 / 63.96 ± 2.16@@38.53107738975075,76.08 ± 1.83 / 46.65 ± 1.52@@76.07720082754913,59.39 ± 3.20 / 70.94 ± 3.23@@59.39059532806586,65.20 ± 3.17 / 55.94 ± 2.90@@65.20227035789267,25.79 ± 4.63 / 59.34 ± 3.09@@25.79046826731131,72.87 ± 5.07 / 54.31 ± 4.25@@72.87021829999895,45.76 ± 2.22 / 60.83 ± 2.39@@45.763477371487994,60.36 ± 1.70 / 56.98 ± 1.54@@60.36071422849973,40.39 ± 1.73 / 69.58 ± 1.14@@40.38518654355686,66.26 ± 2.64 / 37.82 ± 4.14@@66.25898883777754,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
"<a href='https://platform.openai.com/docs/models/o4-mini'>o4-mini-2025-04-16 (zero-shot, val)</a>",🤔,1.71@@1.71,1.78@@1.78,1.65@@1.65,1.69@@1.69,,,200000.0,✓,✗,96.01 ± 1.00 / 97.99 ± 0.50@@96.00751483703499,67.91 ± 3.44 / 58.41 ± 3.41@@67.91356063112259,35.38 ± 3.57 / 56.23 ± 2.66@@35.37929829964286,65.28 ± 1.06 / 34.50 ± 1.56@@65.28136353453598,70.34 ± 1.74 / 79.44 ± 1.17@@70.34468396326788,70.58 ± 2.08 / 45.39 ± 1.31@@70.5808270577168,25.40 ± 2.33 / 48.71 ± 1.91@@25.403177820331646,69.93 ± 0.84 / 45.99 ± 1.21@@69.93138641832734,40.73 ± 1.99 / 54.06 ± 1.48@@40.72608096526468,68.41 ± 1.48 / 46.23 ± 1.78@@68.4064487613614,32.44 ± 3.13 / 57.43 ± 2.09@@32.44156954368044,60.53 ± 1.00 / 27.40 ± 1.26@@60.52581636272911,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct (few-shot)</a>,📝,1.71@@1.71,1.71@@1.71,1.88@@1.88,1.53@@1.53,70553706496.0,128256.0,131072.0,✓,✗,94.71 ± 0.51 / 97.35 ± 0.26@@94.70722374699048,68.16 ± 1.97 / 62.15 ± 2.31@@68.16048649437094,40.63 ± 1.70 / 63.78 ± 1.64@@40.62918065084098,65.10 ± 0.97 / 33.68 ± 0.94@@65.09773817604189,49.78 ± 0.61 / 49.73 ± 0.31@@49.78099709246962,83.25 ± 1.02 / 57.76 ± 2.17@@83.25423942274546,22.47 ± 2.13 / 55.30 ± 1.53@@22.474688834927523,66.82 ± 1.04 / 36.83 ± 1.77@@66.81971648779822,53.31 ± 1.30 / 67.48 ± 1.13@@53.313391189189396,76.14 ± 0.94 / 69.80 ± 1.27@@76.1411139612955,30.04 ± 0.98 / 58.32 ± 0.79@@30.037894521432285,55.86 ± 1.09 / 26.33 ± 1.17@@55.86324744781551,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/meta-llama/Meta-Llama-3-70B-Instruct'>meta-llama/Meta-Llama-3-70B-Instruct (few-shot)</a>,📝,1.72@@1.72,1.72@@1.72,1.89@@1.89,1.55@@1.55,70553706496.0,128256.0,8192.0,✓,✗,94.07 ± 0.33 / 97.01 ± 0.17@@94.0666795660911,65.43 ± 2.55 / 58.78 ± 2.87@@65.43078651391114,40.16 ± 1.09 / 65.14 ± 1.19@@40.16387721359611,68.57 ± 0.70 / 35.58 ± 0.66@@68.57216024964944,49.11 ± 0.82 / 49.45 ± 0.45@@49.114268271991214,80.71 ± 0.98 / 61.33 ± 1.82@@80.71483154737697,22.28 ± 1.86 / 54.39 ± 1.25@@22.281574886842222,69.48 ± 0.92 / 41.65 ± 2.28@@69.47914782428246,50.45 ± 0.87 / 65.98 ± 0.89@@50.45015354839519,75.20 ± 0.88 / 67.90 ± 0.95@@75.20229989052594,27.24 ± 1.61 / 57.81 ± 0.66@@27.237238748419035,60.16 ± 0.70 / 29.72 ± 1.45@@60.163089295239445,15.6.1.dev0@@150601,15.7.0.dev0@@150700,15.6.1.dev0@@150601,15.7.0.dev0@@150700,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700
"<a href='https://docs.anthropic.com/en/docs/about-claude/models/all-models'>claude-3-5-sonnet-20241022 (zero-shot, val)</a>",📝,1.73@@1.73,1.68@@1.68,1.63@@1.63,1.88@@1.88,,,200000.0,✓,✗,89.83 ± 1.71 / 94.71 ± 0.91@@89.82825055562304,73.35 ± 3.04 / 69.37 ± 3.29@@73.34777277240022,41.76 ± 3.91 / 66.85 ± 1.96@@41.76032575022618,62.19 ± 0.88 / 25.82 ± 1.00@@62.194143379333,70.47 ± 1.65 / 79.35 ± 1.17@@70.46509166526856,70.71 ± 1.90 / 53.69 ± 1.70@@70.70860202655783,25.65 ± 1.73 / 50.14 ± 1.55@@25.64671578825782,67.95 ± 0.73 / 35.48 ± 1.04@@67.9519918640969,39.43 ± 2.19 / 48.45 ± 1.55@@39.42721660347991,68.62 ± 0.96 / 66.07 ± 1.20@@68.62009142975232,28.34 ± 3.73 / 56.72 ± 2.21@@28.343115422142983,56.11 ± 0.94 / 20.02 ± 1.05@@56.10691422570725,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,15.3.1@@150301,15.3.1.dev0@@150301,15.3.1@@150301,15.3.1@@150301,15.4.1@@150401,15.6.1.dev0@@150601,15.4.2@@150402,15.4.2@@150402
<a href='https://huggingface.co/allenai/Llama-3.1-Tulu-3-8B-SFT'>allenai/Llama-3.1-Tulu-3-8B-SFT (few-shot)</a>,📝,1.76@@1.76,1.85@@1.85,1.68@@1.68,1.76@@1.76,8030326784.0,128264.0,131072.0,✓,✗,93.76 ± 0.43 / 96.86 ± 0.22@@93.76292083363738,53.17 ± 2.08 / 52.36 ± 2.23@@53.16736281144896,41.10 ± 1.94 / 67.27 ± 1.69@@41.0987403133974,71.97 ± 2.42 / 43.47 ± 1.66@@71.96652232521497,57.38 ± 1.77 / 70.22 ± 1.33@@57.38001893320111,63.32 ± 3.32 / 56.41 ± 2.19@@63.32190260481124,35.02 ± 2.13 / 65.13 ± 2.23@@35.02201243491869,70.66 ± 1.45 / 51.39 ± 1.79@@70.6645592799453,48.28 ± 3.07 / 64.95 ± 2.14@@48.27736779463018,63.34 ± 1.47 / 59.90 ± 1.42@@63.34451060191052,25.25 ± 3.75 / 60.36 ± 2.50@@25.250940956942962,65.59 ± 0.80 / 40.09 ± 1.78@@65.59204548258565,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
"<a href='https://platform.openai.com/docs/models/gpt-4o'>gpt-4o-2024-05-13 (zero-shot, val)</a>",📝,1.76@@1.76,1.59@@1.59,1.99@@1.99,1.69@@1.69,,200019.0,128000.0,✓,✗,93.73 ± 1.52 / 96.80 ± 0.78@@93.72906818377155,67.03 ± 2.75 / 51.31 ± 3.47@@67.03442480301506,45.51 ± 2.97 / 68.41 ± 1.52@@45.50621073397135,67.96 ± 0.79 / 34.76 ± 1.21@@67.95571208193444,46.19 ± 2.23 / 47.58 ± 1.12@@46.18920151351958,66.14 ± 1.43 / 35.52 ± 1.37@@66.14237025496327,24.47 ± 2.48 / 50.58 ± 1.47@@24.465987419810453,74.30 ± 0.85 / 51.46 ± 1.11@@74.29739579268372,40.21 ± 1.99 / 52.87 ± 1.59@@40.212192327924996,68.93 ± 1.72 / 60.45 ± 2.04@@68.93134327319872,31.47 ± 4.18 / 61.50 ± 2.42@@31.473554525731,65.63 ± 1.09 / 31.04 ± 1.42@@65.63336735705424,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,14.3.0.dev0@@140300,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401
"<a href='https://docs.x.ai/docs/models'>xai/grok-3-beta (zero-shot, val)</a>",📝,1.76@@1.76,1.73@@1.73,1.85@@1.85,1.70@@1.70,,,131072.0,✓,✗,96.47 ± 1.25 / 98.23 ± 0.63@@96.47349425357905,66.38 ± 3.26 / 55.47 ± 3.30@@66.37580594284607,39.96 ± 3.45 / 67.07 ± 1.70@@39.95526092740086,65.50 ± 0.93 / 30.06 ± 1.24@@65.49873847998774,63.29 ± 2.63 / 73.73 ± 1.86@@63.28644172977535,63.81 ± 0.88 / 41.90 ± 1.16@@63.814881892109554,22.01 ± 3.62 / 50.73 ± 1.80@@22.00795618046926,71.44 ± 1.22 / 40.27 ± 1.85@@71.44156754406909,48.10 ± 2.53 / 63.31 ± 2.07@@48.09949993695341,72.80 ± 1.38 / 63.76 ± 1.78@@72.79707734626732,22.05 ± 5.02 / 58.21 ± 2.76@@22.05217457252365,59.35 ± 0.77 / 24.07 ± 0.80@@59.35228172785596,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro-preview-03-25'>gemini/gemini-2.5-pro-preview-03-25 (zero-shot, val)</a>",🤔,1.80@@1.80,1.79@@1.79,1.93@@1.93,1.69@@1.69,,256128.0,1048576.0,✓,✗,94.95 ± 1.03 / 97.43 ± 0.54@@94.95387144844315,57.73 ± 2.47 / 46.77 ± 2.42@@57.73213011217828,41.64 ± 3.18 / 66.52 ± 1.62@@41.639771980687115,65.88 ± 1.18 / 30.07 ± 1.42@@65.8828683845575,65.01 ± 1.47 / 73.18 ± 1.25@@65.00920862118981,61.90 ± 1.62 / 39.16 ± 1.25@@61.90189809256138,19.94 ± 2.43 / 50.23 ± 1.63@@19.93978064320671,72.36 ± 1.14 / 44.90 ± 1.69@@72.36213553022841,41.77 ± 2.19 / 58.72 ± 1.72@@41.77320990044248,72.37 ± 1.84 / 53.72 ± 1.60@@72.37116824128229,29.28 ± 2.92 / 59.33 ± 1.96@@29.28457482506714,61.69 ± 0.78 / 26.54 ± 0.67@@61.69397824968479,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801,15.8.1@@150801
<a href='https://huggingface.co/152334H/miqu-1-70b-sf'>152334H/miqu-1-70b-sf (few-shot)</a>,📝,1.81@@1.81,1.96@@1.96,1.66@@1.66,1.81@@1.81,68976648192.0,32000.0,32764.0,✓,✗,93.56 ± 0.59 / 96.77 ± 0.29@@93.55752386773905,51.89 ± 2.64 / 40.46 ± 2.34@@51.88830831690524,38.67 ± 4.11 / 68.50 ± 2.27@@38.67467821081953,65.35 ± 1.27 / 32.10 ± 2.08@@65.34550389152446,60.69 ± 1.74 / 71.94 ± 1.54@@60.69426940415708,68.11 ± 1.75 / 47.01 ± 3.29@@68.11335340654271,32.89 ± 2.03 / 64.75 ± 1.74@@32.89158347135205,59.67 ± 2.37 / 34.52 ± 3.48@@59.6664506255691,51.27 ± 1.60 / 67.29 ± 1.09@@51.27363147721034,59.86 ± 1.34 / 45.11 ± 2.01@@59.86121269525842,28.65 ± 2.87 / 61.92 ± 1.98@@28.647745274451374,53.72 ± 3.28 / 23.50 ± 4.42@@53.72002094643655,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701,15.7.1.dev0@@150701
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-preview-04-17'>gemini/gemini-2.5-flash-preview-04-17 (zero-shot, val)</a>",🤔,1.81@@1.81,1.67@@1.67,1.79@@1.79,1.97@@1.97,,256128.0,1048576.0,✓,✗,93.69 ± 1.20 / 96.80 ± 0.61@@93.69384534148824,69.85 ± 2.61 / 63.75 ± 2.86@@69.85272747776061,38.99 ± 3.61 / 64.75 ± 1.93@@38.9894200550504,67.21 ± 0.96 / 36.78 ± 1.43@@67.21221645116323,67.02 ± 2.12 / 75.66 ± 1.71@@67.02030975127164,55.48 ± 1.77 / 35.41 ± 1.44@@55.48418827169296,27.15 ± 2.47 / 52.24 ± 1.38@@27.152205937267848,73.29 ± 0.71 / 51.78 ± 1.04@@73.28800351829926,42.99 ± 2.02 / 57.76 ± 1.69@@42.9884946519173,47.47 ± 1.92 / 36.53 ± 1.36@@47.47133443811505,30.56 ± 3.44 / 59.37 ± 2.25@@30.562294857809647,61.57 ± 1.09 / 34.90 ± 0.84@@61.565656522401795,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.82@@1.82,1.81@@1.81,1.94@@1.94,1.73@@1.73,,,1047576.0,✓,✗,96.02 ± 0.82 / 97.99 ± 0.42@@96.01845533561523,59.17 ± 1.88 / 41.18 ± 1.72@@59.16624271754423,42.95 ± 2.63 / 67.37 ± 1.33@@42.95353784209356,64.37 ± 0.75 / 26.93 ± 0.82@@64.36979613623457,53.49 ± 1.35 / 56.32 ± 1.10@@53.492491195977244,65.26 ± 2.07 / 36.83 ± 1.60@@65.2577234568842,24.77 ± 2.76 / 50.73 ± 1.49@@24.767389143668915,68.37 ± 1.09 / 40.38 ± 1.47@@68.36815404547694,40.41 ± 2.49 / 54.35 ± 1.92@@40.40924529752729,68.69 ± 1.81 / 54.51 ± 2.22@@68.68563664970517,31.72 ± 3.87 / 61.77 ± 2.32@@31.72331912555605,59.74 ± 0.83 / 21.99 ± 0.93@@59.73705248658471,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (few-shot, val)</a>",📝,1.82@@1.82,1.93@@1.93,1.86@@1.86,1.67@@1.67,,,1047576.0,✓,✗,96.70 ± 1.19 / 98.34 ± 0.59@@96.70362056522961,57.18 ± 2.00 / 45.06 ± 2.38@@57.176340639118195,34.12 ± 3.08 / 58.81 ± 1.88@@34.121830486524765,66.49 ± 1.72 / 33.71 ± 2.01@@66.48572248013299,59.70 ± 2.02 / 72.19 ± 1.71@@59.697673571534374,66.68 ± 5.09 / 43.90 ± 4.05@@66.68081688413795,23.74 ± 3.14 / 50.48 ± 2.78@@23.742575594935257,69.09 ± 0.79 / 44.95 ± 1.21@@69.08734992754125,42.63 ± 2.64 / 57.81 ± 2.39@@42.63253597273485,66.90 ± 1.48 / 55.39 ± 2.05@@66.89603064026002,33.11 ± 3.87 / 63.00 ± 2.64@@33.10576422746283,62.18 ± 2.63 / 30.00 ± 3.27@@62.18333384310991,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-001'>gemini/gemini-2.0-flash-001 (zero-shot, val)</a>",📝,1.82@@1.82,1.83@@1.83,1.80@@1.80,1.82@@1.82,,256128.0,1048576.0,✓,✗,92.97 ± 1.29 / 96.39 ± 0.68@@92.96892581508898,67.20 ± 1.98 / 61.03 ± 2.18@@67.20168230823896,34.57 ± 2.97 / 65.78 ± 1.39@@34.572839865088426,67.22 ± 1.11 / 33.51 ± 1.44@@67.2188294903079,65.10 ± 2.49 / 74.27 ± 1.85@@65.09912613182136,62.92 ± 1.92 / 45.82 ± 1.69@@62.92190117747653,23.79 ± 4.42 / 52.97 ± 2.03@@23.788510585669314,72.79 ± 0.82 / 49.96 ± 1.66@@72.79455787688072,47.71 ± 1.62 / 61.16 ± 1.40@@47.709955092657566,68.75 ± 1.48 / 60.13 ± 1.31@@68.74782594933306,19.90 ± 4.35 / 55.96 ± 2.18@@19.904651837766536,60.66 ± 0.95 / 26.47 ± 1.08@@60.658528081058726,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.6.1.dev0@@150601,15.5.0@@150500,15.5.0@@150500
<a href='https://huggingface.co/nvidia/Llama-3.1-Nemotron-70B-Instruct-HF'>nvidia/Llama-3.1-Nemotron-70B-Instruct-HF (few-shot)</a>,📝,1.83@@1.83,1.83@@1.83,2.02@@2.02,1.63@@1.63,70553706496.0,128256.0,131072.0,✓,✗,94.57 ± 0.33 / 97.27 ± 0.16@@94.56820257294866,53.68 ± 2.22 / 38.19 ± 1.96@@53.6765559947751,42.21 ± 1.10 / 66.64 ± 0.77@@42.20857945463413,70.02 ± 0.58 / 37.42 ± 1.03@@70.01768213896415,48.91 ± 0.59 / 49.34 ± 0.32@@48.912119287933926,75.62 ± 1.71 / 35.78 ± 1.61@@75.62333260955752,20.38 ± 1.59 / 54.59 ± 0.89@@20.380384021179626,69.74 ± 0.91 / 44.29 ± 1.88@@69.73508012146428,51.12 ± 1.44 / 66.22 ± 1.19@@51.11656925882263,69.99 ± 0.79 / 43.53 ± 1.53@@69.98588818945618,29.25 ± 1.64 / 60.68 ± 0.91@@29.24599779350727,59.40 ± 0.37 / 28.73 ± 0.90@@59.401214409577925,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700,15.7.0.dev0@@150700
<a href='https://huggingface.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B (few-shot)</a>,🤔,1.83@@1.83,2.13@@2.13,1.77@@1.77,1.58@@1.58,8190735360.0,151936.0,40960.0,✓,✗,93.05 ± 0.43 / 96.52 ± 0.22@@93.0527879635902,39.21 ± 2.20 / 35.53 ± 1.78@@39.21062515751079,37.98 ± 1.67 / 62.54 ± 0.80@@37.9811092963347,69.91 ± 0.75 / 39.92 ± 0.74@@69.90534716424114,62.95 ± 2.08 / 74.09 ± 1.48@@62.94559298740763,76.98 ± 1.25 / 46.16 ± 1.90@@76.97809287807115,25.61 ± 1.28 / 53.44 ± 0.62@@25.60786043523678,62.62 ± 12.63 / 44.81 ± 9.59@@62.62290863386185,45.24 ± 2.13 / 61.14 ± 1.70@@45.24225862761463,74.63 ± 1.45 / 59.81 ± 2.94@@74.6290284569142,30.54 ± 1.17 / 57.83 ± 1.02@@30.53687942296812,62.58 ± 0.50 / 35.83 ± 1.07@@62.57716786549744,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.2@@150702,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct (few-shot)</a>,📝,1.83@@1.83,1.80@@1.80,1.88@@1.88,1.82@@1.82,11168796672.0,32128.0,32768.0,✓,✓,94.36 ± 0.30 / 97.16 ± 0.15@@94.36474849130548,62.20 ± 1.93 / 56.14 ± 2.51@@62.202069538708905,35.77 ± 1.94 / 65.80 ± 1.28@@35.77411705928728,74.61 ± 0.61 / 43.94 ± 0.81@@74.61002130420515,57.51 ± 1.70 / 71.30 ± 1.20@@57.51007123482375,68.18 ± 1.99 / 55.72 ± 1.92@@68.18028085275513,21.82 ± 2.75 / 58.10 ± 2.28@@21.821642375545697,73.29 ± 0.64 / 53.13 ± 1.80@@73.28601160007764,44.69 ± 2.97 / 62.12 ± 2.31@@44.68993960311698,64.73 ± 1.86 / 57.36 ± 1.83@@64.73075261865485,21.23 ± 1.92 / 59.44 ± 1.33@@21.233867719260992,68.15 ± 1.00 / 40.24 ± 2.36@@68.14757000809398,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.4.1@@150401,15.6.1.dev0@@150601,15.4.1@@150401,15.4.1@@150401
